brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Σύνολοκατόχων,Κίνηση,Χρώμαεσωτερικού,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας
Mercedes-Benz,A180,2013,Mercedes-Benz A 180 '13 ¤¤  BlueEfficiency ¤¤ ΕURO 6,Mercedes-BenzA180¤¤BlueEfficiency¤¤ΕURO6¤¤'13,334058168,14.890€,"262,85€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2013,199.000χλμ,Βενζίνη,1.461cc,122bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,12/2025,17ίντσες,153€,Άγνωστο,10,5,5,6ώρεςπριν,737,www.car.gr/334058168,"2721110463,6946297771,6944821090","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,Δίχρωμο,128g/km,Euro6,,,,,
Smart,ForFour,2022,Smart ForFour '22,SmartForFourelectric/passion/Οθονη'22,331327796,18.500€,,,Κόμπακτ/Hatchback,3/2022Καινούριο,5.000χλμ,Ηλεκτρικό,,88bhp,Αυτόματο,Κόκκινο(Μεταλλικό),Ύφασμα,3/2025,15ίντσες,,Άγνωστο,5,5,5,1ώραπριν,5295,www.car.gr/331327796,"2102461538,6980488392,6989820739","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1,Πισωκίνητο(RWD),Μαύρο,,,,66kw,160χλμ,5ώρες,3ώρες
Ford,Fiesta,2016,Ford Fiesta '16 1.0 ¤¤¤¤ CELEBRATION  EDITION,FordFiesta1.0¤¤¤¤CELEBRATIONEDITION¤¤¤¤'16,332914580,10.690€,"188,71€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2016,120.000χλμ,Βενζίνη,1.000cc,80bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,11/2024,15ίντσες,102€,Άγνωστο,7,4,5,6ώρεςπριν,664,www.car.gr/332914580,"2721110463,6946297771,6944821090","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,Γκρι,105g/km,Euro6,,,,,
Nissan,Qashqai,2018,Nissan Qashqai '18 ¤1.6 dCi  ¤ N-CONNECTA 360° ¤ NAVI ¤ PANORAMA,NissanQashqai¤1.6dCi¤N-CONNECTA360°¤NAVI¤PANORAMA¤'18,333990388,22.610€,"399,13€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2018,129.000χλμ,Πετρέλαιο,1.598cc,130bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,7/2025,18ίντσες,113€,Άγνωστο,10,5,5,6ώρεςπριν,376,www.car.gr/333990388,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,Προσθιοκίνητο(FWD),Δίχρωμο,116g/km,Euro6,,,,,
Hyundai,i20,2021,Hyundai i 20 '21,Hyundaii2048V/DISTINCTIVE/ΑΥΤΟΜΑΤΟ'21,332272928,20.000€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2021,20.000χλμ,Βενζίνη,1.000cc,100bhp,Αυτόματο,Μπλέ(Μεταλλικό),Δέρμα-ύφασμα,1/2024,17ίντσες,,Άγνωστο,8,5,5,12ώρεςπριν,3271,www.car.gr/332272928,"2102461538,6980488392,6989820739","['Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",1,Προσθιοκίνητο(FWD),Μαύρο,120g/km,Euro6d-temp,"4(Εντός)/4,70(Εκτός)/4,50(Μικτό)λ/100χλμ",,,,
Dacia,Sandero,2017,Dacia Sandero '17 ¤¤ Sandero II ¤¤ 1.5 dCi Stepway,DaciaSandero¤¤SanderoII¤¤1.5dCiStepway¤¤'17,332885630,12.490€,"220,48€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2017,125.000χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,11/2025,16ίντσες,88€,Άγνωστο,6,4,5,6ώρεςπριν,715,www.car.gr/332885630,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Προσθιοκίνητο(FWD),Δίχρωμο,98g/km,Euro6,,,,,
Hyundai,i30,2015,Hyundai i 30 '15 1.6 CRDi ¤¤ Style Edition ¤¤ EURO 6,Hyundaii301.6CRDi¤¤StyleEdition¤¤EURO6¤¤'15,333743010,12.990€,"229,31€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2015,128.000χλμ,Πετρέλαιο,1.582cc,110bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Ύφασμα,10/2025,16ίντσες,89€,Άγνωστο,8,4,5,6ώρεςπριν,469,www.car.gr/333743010,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,Προσθιοκίνητο(FWD),Γκρι,99g/km,Euro6,,,,,
Mercedes-Benz,GLA180,2017,Mercedes-Benz GLA 180 '17 LIFTING ¤ ΑΥΤΟΜΑΤΟ ¤ 7G-DCT ¤ NAVI,Mercedes-BenzGLA180LIFTING¤ΑΥΤΟΜΑΤΟ¤7G-DCT¤NAVI¤'17,327147320,25.990€,"458,79€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2017,164.000χλμ,Πετρέλαιο,1.461cc,110bhp,Αυτόματο,Ασημί(Μεταλλικό),Ύφασμα,10/2024,17ίντσες,101€,Άγνωστο,10,5,5,6ώρεςπριν,4582,www.car.gr/327147320,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού']",,,Γκρι,103g/km,Euro6,,,,,
Fiat,500,2017,Fiat 500 '17 Abarth 595,Fiat500Abarth595Turismo/ΚΛΙΜΑ/ΟΘΟΝΗ'17,331436390,23.000€,,Μεταχειρισμένο,Κουπέ-Σπόρ,8/2017,60.000χλμ,Βενζίνη,1.400cc,165bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα,2/2025,17ίντσες,150€,Άγνωστο,6,3,4,4ώρεςπριν,5634,www.car.gr/331436390,"2102461538,6980488392,6989820739","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1,Προσθιοκίνητο(FWD),Μαύρο,134g/km,Euro6d,,,,,
Toyota,Yaris,2015,Toyota Yaris '15 ¤¤ 1.0 VVT-i ¤¤ EURO 6 ¤¤ CAMERA,ToyotaYaris¤¤1.0VVT-i¤¤EURO6¤¤CAMERA¤¤'15,330866981,10.990€,"194,00€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2015,145.000χλμ,Βενζίνη,998cc,70bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,10/2025,15ίντσες,89€,Άγνωστο,8,4,5,6ώρεςπριν,2840,www.car.gr/330866981,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)']",,Προσθιοκίνητο(FWD),Γκρι,99g/km,Euro6,,,,,
Opel,Astra,2015,Opel Astra '15 1.6 CDTi ¤ Cosmo Edition ¤ NAVI ¤ EURO 6,OpelAstra1.6CDTi¤CosmoEdition¤NAVI¤EURO6¤'15,334207051,11.700€,"206,54€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2015,136.000χλμ,Πετρέλαιο,1.598cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δέρμα-ύφασμα,7/2025,17ίντσες,102€,Άγνωστο,8,4,5,6ώρεςπριν,76,www.car.gr/334207051,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Προσθιοκίνητο(FWD),Δίχρωμο,104g/km,Euro6,,,,,
