brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κλάσηρύπων,Κίνηση,Κτέομέχρι,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση,Χρηματοδότηση
Mercedes-Benz,C180,2010,Mercedes-Benz C 180 '10,Mercedes-BenzC180KOMPRESSOR'10,333202044,14.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2010,133.678χλμ,Βενζίνη,1.800cc,156bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα,16ίντσες,Άγνωστο,1,,5,5,2ώρεςπριν,1574,www.car.gr/333202044,"6945312312,2109580095,6945312312","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,4/2025,,,,
Mitsubishi,Asx,2016,Mitsubishi Asx '16  1.6 DI-D ClearTec Plus 4WD,MitsubishiAsx1.6DI-DClearTecPlus4WDPANORAMA'16,323281246,19.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2016,135.000χλμ,Πετρέλαιο,1.560cc,120bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,18ίντσες,Άγνωστο,1,,5,5,2ώρεςπριν,3042,www.car.gr/323281246,"2842024190,2842080245","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,4x4(4WD),,,,,
AlfaRomeo,Alfa159,2006,Alfa Romeo Alfa 159 '06 2.4,AlfaRomeoAlfa1592.4DIESEL'06,3575740,10.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2006,135.000χλμ,Πετρέλαιο,2.400cc,250bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,18ίντσες,Άγνωστο,,8,4,5,2ώρεςπριν,186058,www.car.gr/3575740,"2842024190,2842080245","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Turbo', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,Προσθιοκίνητο(FWD),,,,"7(Εντός)/5,80(Εκτός)/6,30(Μικτό)λ/100χλμ","166,73€/μήνα"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volvo,XC90,2005,Volvo XC 90,VolvoXC90'05,333214073,15.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2005,120.600χλμ,Βενζίνη,2.500cc,210bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),,Δέρμα,17ίντσες,Άγνωστο,1,6,5,5,2ώρεςπριν,365,www.car.gr/333214073,"2842024190,2842080245",[],,4x4(4WD),,,,,
Mercedes-Benz,GLA200,2016,Mercedes-Benz GLA 200 '16  GLA,Mercedes-BenzGLA200GLA200'16,332007423,25.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2016,62.000χλμ,Βενζίνη,1.600cc,156bhp,Χειροκίνητο,Γκρι,,,17ίντσες,Άγνωστο,1,,5,5,2ώρεςπριν,1557,www.car.gr/332007423,"2842024190,2842080245","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος']",,,,,,,
Peugeot,2008,2016,Peugeot 2008,Peugeot2008'16,334352574,11.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2016,146.000χλμ,Πετρέλαιο,1.560cc,110bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,15ίντσες,Άγνωστο,2,6,5,5,2ώρεςπριν,1850,www.car.gr/334352574,6908813701,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",Euro6,Προσθιοκίνητο(FWD),5/2024,,,,
Mitsubishi,EclipseCross,2018,Mitsubishi Eclipse Cross,MitsubishiEclipseCross'18,334168184,22.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2018,115.000χλμ,Βενζίνη,1.500cc,163bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),,,17ίντσες,Άγνωστο,1,7,5,5,2ώρεςπριν,322,www.car.gr/334168184,"2842024190,2842080245","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού']",,,,,,,
Peugeot,3008,2019,Peugeot 3008 '19  1.2 PureTech 130 S&S ACTIVE,Peugeot30081.2PureTech130S&SACTIVEGRIP'19,332574583,24.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2019,45.800χλμ,Βενζίνη,1.200cc,130bhp,Χειροκίνητο,Ασπρο,,,18ίντσες,Άγνωστο,1,,5,5,2ώρεςπριν,912,www.car.gr/332574583,"2842024190,2842080245","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)']",,,,,,,
Mercedes-Benz,Citan,2018,Mercedes-Benz Citan '18  Van Compact 109 CDI,Mercedes-BenzCitanVanCompact109CDIBlueEFFICIENCY'18,334121696,11.500€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,11/2018,128.727χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Ασπρο,,,,Άγνωστο,1,4,3,2,2ώρεςπριν,235,www.car.gr/334121696,"2842024190,2842080245","['Abs', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Turbo', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Τιμή χωρίς φπα']",,,,112g/km,,,
Honda,CR-V,2015,Honda CR-V,HondaCR-V'15,314071602,24.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2015,44.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,17ίντσες,Άγνωστο,,6,5,5,2ώρεςπριν,12322,www.car.gr/314071602,"2842024190,2842080245","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),,,107€,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seat,Leon,2008,Seat Leon '08  1.8 ΤSI SPORT,SeatLeon1.8ΤSISPORTUP'08,333150132,11.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2008,191χλμ,Βενζίνη,1.800cc,310bhp,Χειροκίνητο,Ασημί,,,17ίντσες,Μονό,,6,5,5,1ώραπριν,727,www.car.gr/333150132,6981865537,[],,,1/2025,,320€,,
Opel,Astra,2018,Opel Astra '18 DYNAMIC,OpelAstraDYNAMIC136HP'18,334337104,13.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2018,147.000χλμ,Πετρέλαιο,1.600cc,136bhp,Χειροκίνητο,Ασπρο,,,17ίντσες,Άγνωστο,1,6,5,5,2ώρεςπριν,66,www.car.gr/334337104,"2842024190,2842080245","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Φώτα led']",Euro6d,,,99g/km,,,
Toyota,Avensis,2008,Toyota Avensis '08 1.8 VVTI CLIMA-ΔΕΡΜΑ-ΕΛΛΗΝΚΟ-1ο,ToyotaAvensis1.8VVTICLIMA-ΔΕΡΜΑ-ΕΛΛΗΝΚΟ-1οΧΕΡΙ!!!'08,334508007,8.250€,Μεταχειρισμένο,Λιμουζίνα/Sedan,2/2008,166.940χλμ,Αέριο(lpg)-βενζίνη,1.800cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Δέρμα,16ίντσες,Μονό,1,8,4,5,14ώρεςπριν,89,www.car.gr/334508007,"2108920920,6936538822","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Euro4,,11/2023,,,,
Mercedes-Benz,C180,2016,"Mercedes-Benz C 180 '16 AMG ΠΑΚΕΤΟ , ΠΑΝΟΡΑΜΙΚΗ ΘΕΑ","Mercedes-BenzC180AMGΠΑΚΕΤΟ,ΠΑΝΟΡΑΜΙΚΗΘΕΑ,DIESEL'16",330557242,25.000€Ξένανούμερα,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2016,114.000χλμ,Πετρέλαιο,1.598cc,116bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δερματίνη,18ίντσες,Άγνωστο,,,5,5,1ημέραπριν,6835,www.car.gr/330557242,6970384295,"['Taxfree -ξένα νούμερα', 'Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Euro6,,10/2023,106g/km,,"6,50(Εντός)/4,50(Εκτός)/5(Μικτό)λ/100χλμ",
Audi,Q5,2010,Audi Q5 '10  2.0 TFSI quattro,AudiQ52.0TFSIquattroΕΛΛΗΝΙΚΟ'10,333428103,18.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2010,123.100χλμ,Βενζίνη,2.000cc,211bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,17ίντσες,Άγνωστο,1,4,5,5,2ώρεςπριν,242,www.car.gr/333428103,"6945312312,2109580095,6945312312","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Ford,EcoSport,2019,Ford EcoSport '19 ΑΝΤΙΠΡΟΣΩΠΕΙΑΣ ΠΡΩΤΟΣ ΙΔΙΟΚΤΗΤΗΣ,FordEcoSportΑΝΤΙΠΡΟΣΩΠΕΙΑΣΠΡΩΤΟΣΙΔΙΟΚΤΗΤΗΣ1.500cc'19,333937375,16.998€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2019,38.000χλμ,Πετρέλαιο,1.499cc,100bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Μαύρο,Ύφασμα,,Άγνωστο,1,4,5,5,2ώρεςπριν,1547,www.car.gr/333937375,"6945312312,2109580095,6945312312","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αερανάρτηση', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,12/2024,,,,
