brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Κλάσηρύπων,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Κατανάλωση,Ρύποι(co2),Χρηματοδότηση
Mini,Countryman,2011,Mini Countryman '11 COOPER,"MiniCountrymanCOOPERDiesel,ΠΡΟΣΦΟΡΑ'11",331616929,11.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2011,228.000χλμ,Πετρέλαιο,1.568cc,110bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Μαύρο,Δέρμα,17ίντσες,,Ζυγό,5,5,17ώρεςπριν,877,www.car.gr/331616929,"2310684122,6977501121,6977501121","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,Euro5,1,Προσθιοκίνητο(FWD),8,,,
Renault,Twingo,2016,Renault Twingo '16 ΗΛΕΚΤΡΙΚΗ,RenaultTwingoΗΛΕΚΤΡΙΚΗΟΡΟΦΗ'16,330612076,9.990€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2016,73.000χλμ,Βενζίνη,1.000cc,71bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,15ίντσες,,Άγνωστο,5,5,1ημέραπριν,945,www.car.gr/330612076,"2310684122,6977501121,6977501121","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Εισαγωγής', '{Ηλεκτρικά παράθυρα', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,Euro6,1,,7,,,
Opel,Corsa,2016,Opel Corsa '16  CORSA E - 1.3 CDTI,OpelCorsaCORSAE-1.3CDTIDIESEL'16,326214945,8.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,170.000χλμ,Πετρέλαιο,1.247cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,17ίντσες,88€,Ζυγό,5,5,1ημέραπριν,324,www.car.gr/326214945,"2310684122,6977501121,6977501121","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",7/2024,Euro6c,1,Προσθιοκίνητο(FWD),7,,,
Smart,ForTwo,2013,Smart ForTwo '13 Passion cabrio,SmartForTwoPassioncabrio!!ΠΡΟΣΦΟΡΑ!!'13,319110625,7.790€,Μεταχειρισμένο,Κάμπριο/Roadster,7/2013,84.500χλμ,Βενζίνη,999cc,71bhp,Αυτόματο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,15ίντσες,89€,Μονό,2,2,1ημέραπριν,1469,www.car.gr/319110625,"2310684122,6977501121,6977501121","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",12/2023,Euro5,1,Πισωκίνητο(RWD),2,,,
Opel,Corsa,2015,"Opel Corsa '15 Ε, 1.4","OpelCorsaΕ,1.4,ΑΥΤΟΜΑΤΟ'15",331616976,10.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2015,160.000χλμ,Βενζίνη,1.400cc,100bhp,Αυτόματο,Πράσινο(Μεταλλικό),Γκρι,Ύφασμα,15ίντσες,,Άγνωστο,5,5,1ημέραπριν,1032,www.car.gr/331616976,"2310684122,6977501121,6977501121","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,1,Προσθιοκίνητο(FWD),8,,,
Smart,ForTwo,2013,Smart ForTwo,SmartForTwo'13,330611416,7.990€,Μεταχειρισμένο,Αλλο,1/2013,150.000χλμ,Βενζίνη,1.000cc,71bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,15ίντσες,,Άγνωστο,3,2,1ημέραπριν,1145,www.car.gr/330611416,"2310684122,6977501121,6977501121","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Υδραυλικό τιμόνι']",,,1,,2,,,
Smart,ForTwo,2015,Smart ForTwo,SmartForTwo'15,330610868,8.990€,Μεταχειρισμένο,Αλλο,1/2015,135.000χλμ,Βενζίνη,1.000cc,71bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,15ίντσες,,Άγνωστο,3,2,1ημέραπριν,1018,www.car.gr/330610868,"2310684122,6977501121,6977501121","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cruise control', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Euro6,1,,7,,,
Renault,Captur,2015,Renault Captur '15,RenaultCapturINTENS'15,333268119,13.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2015,108.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Γκρι,Ύφασμα,16ίντσες,,Άγνωστο,5,5,1ημέραπριν,238,www.car.gr/333268119,"2310684122,6977501121,6977501121","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Hardtop', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",10/2024,Euro6d,1,,7,,98g/km,
Smart,ForTwo,2012,"Smart ForTwo '12 DIESEL EURO 5, ΗΛΕΚΤΡΙΚΟ","SmartForTwoDIESELEURO5,ΗΛΕΚΤΡΙΚΟΤΙΜΟΝΙ'12",332834403,8.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2012,1χλμ,Πετρέλαιο,800cc,54bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Ύφασμα,15ίντσες,0€,Άγνωστο,3,2,1ημέραπριν,559,www.car.gr/332834403,"2310684122,6977501121,6977501121","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",,Euro5,1,,2,3(Εκτός)/λ/100χλμ,88g/km,
Mini,ONE,2013,Mini ONE '13 !ΠΡΟΣΦΟΡΑ!ΝΕΑ,MiniONE!ΠΡΟΣΦΟΡΑ!ΝΕΑΤΙΜΗ.!'13,326211731,9.499€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2013,190.000χλμ,Πετρέλαιο,1.600cc,105bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,16ίντσες,,Ζυγό,3,5,17ώρεςπριν,483,www.car.gr/326211731,"2310684122,6977501121,6977501121","['Abs', 'Cd player', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",12/2023,Euro5,1,,8,,,
Mercedes-Benz,GLC220,2023,Mercedes-Benz GLC 220 '23,"Mercedes-BenzGLC220AMG,PANORAMA,BURM,DIGI,360,4M,LEATHER'23",333629781,105.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2023,3.050χλμ,Υβριδικόπετρέλαιο,1.993cc,220bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,20ίντσες,201€,Ζυγό,5,5,3ημέρεςπριν,1389,www.car.gr/333629781,6941557769,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",1/2026,Euro6d,1,,5,,144g/km,
Smart,ForTwo,2011,Smart ForTwo '11 CDI Pulse,SmartForTwoCDIPulseEuro5'11,333528635,6.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2011,1χλμ,Πετρέλαιο,799cc,54bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,15ίντσες,0€,Άγνωστο,3,2,17ώρεςπριν,350,www.car.gr/333528635,"2310684122,6977501121,6977501121","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Turbo', 'Usb', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή πανοραμική', 'Υδραυλικό τιμόνι', 'Φώτα led']",,Euro5,,,2,,,
Opel,Astra,2006,Opel Astra '06,OpelAstraGtc'06,333394171,4.600€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2006,200.000χλμ,Βενζίνη,1.600cc,110bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),,,16ίντσες,,Ζυγό,3,4,40λεπτάπριν,2219,www.car.gr/333394171,6983057003,[],12/2023,,1,,5,,,
Renault,Megane,2017,Renault Megane '17 GT,RenaultMeganeGTline'17,322234748,15.900€,Μεταχειρισμένο,Κόμπι/Kάραβαν,7/2017,194.000χλμ,Πετρέλαιο,1.600cc,131bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,,17ίντσες,109€,Μονό,5,5,6λεπτάπριν,1004,www.car.gr/322234748,"6937731620,6945370638","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,,,,,103g/km,
