brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Επένδυσησαλονιού,Χρηματοδότηση,Ρύποι(co2),Τιμήπολύτεκνου,Παράδοσηστοσπίτι
Toyota,Corolla,2001,Toyota Corolla '01,ToyotaCorollaVVTI'01,334495365,3.700€,Μεταχειρισμένο,Λιμουζίνα/Sedan,12/2001,154.000χλμ,Βενζίνη,1.400cc,97bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,5/2025,,,240€,,Μονό,1,,,5,5,5ώρεςπριν,165,www.car.gr/334495365,6974548846,"['Abs', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Συναγερμός', 'Υδραυλικό τιμόνι']",,,,,
Renault,Scenic,2015,Renault Scenic '15 Euro6 diesel,RenaultScenicEuro6dieselΕΥΚΑΙΡΙΑ!!'15,329364706,10.700€,Μεταχειρισμένο,Van/MiniBus,12/2015,150.000χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,4/2023,Euro6,,102€,"5(Εντός)/4,50(Εκτός)/4,50(Μικτό)λ/100χλμ",Ζυγό,1,Προσθιοκίνητο(FWD),6,5,5,1ώραπριν,2491,www.car.gr/329364706,6980160609,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,"238,02€/μήνα",105g/km,,
Nissan,X-Trail,2017,Nissan X-Trail '17,NissanX-Trail7θέσιο!!Άριστο!!'17,330058509,22.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2017,148.000χλμ,Πετρέλαιο,1.600cc,131bhp,Χειροκίνητο,Καφέ(Μεταλλικό),,2/2024,Euro6c,18ίντσες,159€,"6(Εντός)/5,80(Εκτός)/6(Μικτό)λ/100χλμ",Ζυγό,1,,8,5,7,1ώραπριν,1071,www.car.gr/330058509,6980160609,"['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Καθίσματα 7 +', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Κοτσαδόρος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{value:b', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon', '{Φώτα που στρίβουν']",,"356,58€/μήνα",133g/km,€19.900,
Bmw,116,2015,Bmw 116 '15  Advantage,Bmw116AdvantageΕυκαιρία!!'15,328463945,15.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2015,100.000χλμ,Βενζίνη,1.499cc,116bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,12/2023,Euro6d,18ίντσες,,"5(Εντός)/4,50(Εκτός)/4,80(Μικτό)λ/100χλμ",Ζυγό,1,Προσθιοκίνητο(FWD),8,5,5,1ώραπριν,5037,www.car.gr/328463945,6980160609,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,"353,69€/μήνα",,,
AlfaRomeo,Mito,2018,Alfa Romeo Mito '18,AlfaRomeoMitoΆριστο!!!Ατρακάριστο!!!'18,328473017,10.900€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2018,120.000χλμ,Βενζίνη,1.400cc,85bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),,12/2023,Euro6d,,,"5(Εντός)/4,50(Εκτός)/4,80(Μικτό)λ/100χλμ",Ζυγό,1,,6,3,5,1ώραπριν,3819,www.car.gr/328473017,6980160609,"['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Parktronic', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Οθόνη tft', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,"242,46€/μήνα",,,
AlfaRomeo,Giulietta,2014,Alfa Romeo Giulietta '14 Άριστο!!! Euro6!!!Full,AlfaRomeoGiuliettaΆριστο!!!Euro6!!!Fullextra!!'14,331055188,13.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2014,74.000χλμ,Βενζίνη,1.400cc,120bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,2/2024,Euro6c,17ίντσες,,"5,80(Εντός)/4,70(Εκτός)/5,20(Μικτό)λ/100χλμ",Ζυγό,1,,8,5,5,1ώραπριν,2775,www.car.gr/331055188,6980160609,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Δέρμα,"309,20€/μήνα",,,
Seat,Leon,2015,Seat Leon '15,SeatLeonΕλληνικο!!!4x4!!!Αυτόματο!!!'15,329746519,21.900€,Μεταχειρισμένο,Κόμπι/Kάραβαν,10/2015,84.000χλμ,Βενζίνη,1.800cc,180bhp,Αυτόματο,Ασπρο(Μεταλλικό),,9/2023,Euro6,17ίντσες,,"7,80(Εντός)/7,20(Εκτός)/7,50(Μικτό)λ/100χλμ",Ζυγό,1,4x4(4WD),10,5,5,1ώραπριν,3540,www.car.gr/329746519,6980160609,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Δέρμα-ύφασμα,"487,15€/μήνα",,,
Mercedes-Benz,SL350,2005,Mercedes-Benz SL 350 '05,Mercedes-BenzSL350Άριστο!!!'05,318870334,19.900€,Μεταχειρισμένο,Κάμπριο/Roadster,10/2005,150.000χλμ,Βενζίνη,3.500cc,272bhp,Αυτόματο,Ασημί(Μεταλλικό),Γκρι,10/2022,,17ίντσες,,,Ζυγό,,Πισωκίνητο(RWD),8,2,4,1ώραπριν,2536,www.car.gr/318870334,6980160609,"['{Abs', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Esp', '{Immobilizer', '{Keyless', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα xenon']",Δέρμα,"442,66€/μήνα",,,
Fiat,500L,2018,Fiat 500L '18 MIRROR!!! ΦΥΣΙΚΟ ΑΕΡΙΟ,Fiat500LMIRROR!!!ΦΥΣΙΚΟΑΕΡΙΟ'18,332268746,13.990€,Μεταχειρισμένο,Van/MiniBus,12/2018,100.000χλμ,Φυσικόαέριο(cng)-βενζίνη,900cc,105bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),,3/2025,Euro6d,15ίντσες,,"4,50(Εντός)/4(Εκτός)/4,20(Μικτό)λ/100χλμ",Ζυγό,1,Προσθιοκίνητο(FWD),10,5,5,1ώραπριν,1527,www.car.gr/332268746,6980160609,"['{Abs', '{Android auto', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{value:a', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,"248,96€/μήνα",,€12.990,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,Asx,2017,Mitsubishi Asx '17 FULL EXTRA!! 1ο,MitsubishiAsxFULLEXTRA!!1οΧΕΡΙ!!'17,333673670,16.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2017,122.000χλμ,Βενζίνη,1.600cc,117bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,5/2025,Euro6d,18ίντσες,157€,"5,80(Μικτό)λ/100χλμ",Μονό,1,Προσθιοκίνητο(FWD),8,5,5,1ώραπριν,1246,www.car.gr/333673670,6980160609,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'value:a', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,"245,66€/μήνα",131g/km,€15.990,
