brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Κατάσταση,Τύποςαγγελίας,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Τιμή,Χρώμαεσωτερικού,Ρύποι(co2),Κλάσηρύπων,Σύνολοκατόχων,Αερόσακοι,Κατανάλωση
Hyundai,i20,2015,Hyundai i 20,Hyundaii20'15,331211623,Μεταχειρισμένο,,Κόμπακτ/Hatchback,9/2015,126.622χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,1/2024,17ίντσες,99€,Ζυγό,,4,5,3ημέρεςπριν,640,www.car.gr/331211623,6973671804,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",12.499€,Μαύρο,,Euro6,,6,
Citroen,C1,2017,Citroen C1 '17,"CitroenC11,2PURETECH'17",325953977,Μεταχειρισμένο,,Κόμπακτ/Hatchback,6/2017,103.700χλμ,Βενζίνη,1.200cc,82bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Ύφασμα,,,89€,Άγνωστο,,5,5,1ώραπριν,83,www.car.gr/325953977,"2102484484,6944945764,6946248060","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",9.500€,Δίχρωμο,,Euro6,1,6,
Ford,Fiesta,2014,Ford Fiesta,FordFiesta'14,333174047,Μεταχειρισμένο,,Κόμπακτ/Hatchback,7/2014,123.925χλμ,Πετρέλαιο,1.500cc,95bhp,Χειροκίνητο,Ασπρο,,,14ίντσες,,Άγνωστο,,2,5,3ημέρεςπριν,552,www.car.gr/333174047,6973671804,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Hardtop', 'Head-up display', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",8.699€,,,,,,
Volkswagen,Golf,2007,Volkswagen Golf '07 FSI,"VolkswagenGolfFSI1,4'07",328032097,Μεταχειρισμένο,,Κουπέ-Σπόρ,1/2007,124.000χλμ,Βενζίνη,1.400cc,88bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,1/2023,,,Μονό,,3,5,1ώραπριν,346,www.car.gr/328032097,"2102484484,6944945764,6946248060","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",6.500€,Μπεζ,,,1,4,
Bmw,116,2009,Bmw 116,Bmw116'09,327050868,Μεταχειρισμένο,,Κόμπακτ/Hatchback,8/2009,136.000χλμ,Βενζίνη,1.599cc,122bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,Μονό,,5,5,3ημέρεςπριν,1563,www.car.gr/327050868,6944723089,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",9.500€,,,,1,,"8(Εντός)/5,90(Εκτός)/7,50(Μικτό)λ/100χλμ"
Renault,Clio,2016,Renault Clio '16 Dynamic dci 1.5,RenaultClioDynamicdci1.590hp'16,329681936,Μεταχειρισμένο,,Κόμπακτ/Hatchback,7/2016,92.996χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Ύφασμα,,15ίντσες,,Ζυγό,Προσθιοκίνητο(FWD),5,5,3ώρεςπριν,1117,www.car.gr/329681936,"2731044841,6948524233,6948375865","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",13.500€,Μαύρο,85g/km,Euro6,1,6,"3,30(Εντός)/3,10(Εκτός)/3,20(Μικτό)λ/100χλμ"
Renault,Clio,2018,Renault Clio '18 Authentic dci 1.5,RenaultClioAuthenticdci1.5'18,329626220,Μεταχειρισμένο,,Κόμπακτ/Hatchback,8/2018,100.525χλμ,Πετρέλαιο,1.461cc,0bhp,Χειροκίνητο,Ασπρο,Ύφασμα,9/2024,15ίντσες,0€,Ζυγό,Προσθιοκίνητο(FWD),5,5,3ώρεςπριν,1460,www.car.gr/329626220,"2731044841,6948524233,6948375865","['{Abs', '{Android auto', '{Bluetooth', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",12.000€,Γκρι,85g/km,Euro6,1,6,"4,40(Εντός)/3,60(Εκτός)/4(Μικτό)λ/100χλμ"
Renault,R5,1989,Renault R 5 '89 GT,RenaultR5GTTurbo'89,329865438,Μεταχειρισμένο,,Κουπέ-Σπόρ,3/1989,170.000χλμ,Βενζίνη,1.397cc,162bhp,Χειροκίνητο,Ασπρο,Βελούδο,4/2024,13ίντσες,,Μονό,Προσθιοκίνητο(FWD),3,5,3ώρεςπριν,5278,www.car.gr/329865438,"2731044841,6948524233,6948375865","['Abs', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου']",1€,Μαύρο,,Euro3,1,,
Toyota,Yaris,2016,Toyota Yaris '16 ΑΥΤΟΜΑΤΟ ΥΒΡΙΔΙΚΟ,ToyotaYarisΑΥΤΟΜΑΤΟΥΒΡΙΔΙΚΟΒΕΝΖΙΝΗ'16,332050520,Μεταχειρισμένο,,Κόμπακτ/Hatchback,6/2016,84.910χλμ,Υβριδικόβενζίνη,1.497cc,0bhp,Αυτόματο,Ασημί(Μεταλλικό),Ύφασμα,1/2024,15ίντσες,,Μονό,Προσθιοκίνητο(FWD),5,5,3ώρεςπριν,1022,www.car.gr/332050520,"2731044841,6948524233,6948375865","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",15.900€,Μαύρο,82g/km,Euro6,1,8,"3,60(Εντός)/3,30(Εκτός)/3,60(Μικτό)λ/100χλμ"
Mitsubishi,Asx,2012,Mitsubishi Asx '12 PANORAMA FULL EXTRA CRS,MitsubishiAsxPANORAMAFULLEXTRACRSMOTORS!!!'12,334385094,Μεταχειρισμένο,,Αλλο,4/2012,136.583χλμ,Πετρέλαιο,1.798cc,115bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δέρμα,,17ίντσες,,Άγνωστο,,5,5,18ώρεςπριν,29,www.car.gr/334385094,"2106617088,2106617087","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",12.490€,,127g/km,,1,6,
Renault,Megane,2009,Renault Megane '09 F1,RenaultMeganeF1Sport'09,329963043,Μεταχειρισμένο,,Κουπέ-Σπόρ,7/2009,53.200χλμ,Βενζίνη,1.993cc,220bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Alcantara,11/2024,18ίντσες,690€,Μονό,Προσθιοκίνητο(FWD),3,5,3ώρεςπριν,5903,www.car.gr/329963043,"2731044841,6948524233,6948375865","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα xenon']",38.000€,Δίχρωμο,165g/km,Euro5,1,6,
Toyota,Yaris,2016,Toyota Yaris '16 Top line D4D 1.4,ToyotaYarisToplineD4D1.490hp'16,329625135,Μεταχειρισμένο,,Κόμπακτ/Hatchback,6/2016,92.100χλμ,Πετρέλαιο,1.364cc,90bhp,Χειροκίνητο,Ασπρο,Ύφασμα,9/2024,15ίντσες,,Μονό,Προσθιοκίνητο(FWD),5,5,3ώρεςπριν,2854,www.car.gr/329625135,"2731044841,6948524233,6948375865","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",13.200€,Μαύρο,91g/km,Euro6,1,6,"4,60(Εντός)/3,50(Εκτός)/3,90(Μικτό)λ/100χλμ"
Toyota,Corolla,2016,Toyota Corolla '16 Active Plus,ToyotaCorollaActivePlusD4D'16,329681467,Μεταχειρισμένο,,Λιμουζίνα/Sedan,6/2016,106.270χλμ,Πετρέλαιο,1.364cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,,16ίντσες,,Ζυγό,Προσθιοκίνητο(FWD),4,5,3ώρεςπριν,2666,www.car.gr/329681467,"2731044841,6948524233,6948375865","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",16.900€,Μαύρο,89g/km,Euro6,1,7,"4,70(Εντός)/3,30(Εκτός)/3,80(Μικτό)λ/100χλμ"
Honda,Civic,2011,Honda Civic '11 80.000 χιλιόμετρα,HondaCivic80.000χιλιόμετρα'11,331315351,Μεταχειρισμένο,,Λιμουζίνα/Sedan,1/2011,79.938χλμ,Βενζίνη,1.799cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,,16ίντσες,,Μονό,Προσθιοκίνητο(FWD),4,5,3ώρεςπριν,3083,www.car.gr/331315351,"2731044841,6948524233,6948375865","['Abs', 'Adaptive cruise control (acc)', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου']",12.900€,Μαύρο,156g/km,Euro5,1,6,"8,50(Εντός)/5,50(Εκτός)/6,50(Μικτό)λ/100χλμ"
