brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Κατανάλωση,Πινακίδα,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Σύνολοκατόχων,Αερόσακοι,Παράδοσηστοσπίτι,Χρηματοδότηση,Τέληκυκλοφορίας,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Τιμήπολύτεκνου
Suzuki,Swift,2001,Suzuki Swift '01,SuzukiSwiftΑΣΤΕΡΙ/ΥΔΡΚ.ΤΜΝ+AC+998CC/ΕΤΟΙΜΟΠΑΡΑΔΟΤΟ'01,334144282,1.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2001,175.000χλμ,Βενζίνη,998cc,70bhp,Χειροκίνητο,Ασπρο,,,,,,,,Μονό,,3,5,1ημέραπριν,380,www.car.gr/334144282,6971998936,"['Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,,,,,,,,,
Fiat,500,2014,Fiat 500 '14 PANORAMA ΖΑΝΤΕΣ ΑΛΟΥΜΙΝΙΟΥ ΑΡΙΣΤΗ,Fiat500PANORAMAΖΑΝΤΕΣΑΛΟΥΜΙΝΙΟΥΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ!!!'14,331697213,9.499€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2014,119.357χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,,,15ίντσες,Euro6,,Άγνωστο,,3,5,1ώραπριν,558,www.car.gr/331697213,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,
Citroen,C4SpaceTourer,2020,Citroen C4 SpaceTourer '20 FULL EXTRA NAVI CLIMA ΟΘΟΝΗ ΑΡΙΣΤΗ,CitroenC4SpaceTourerFULLEXTRANAVICLIMAΟΘΟΝΗΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ!!!'20,324050296,15.999€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2020,123.000χλμ,Πετρέλαιο,1.499cc,130bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Ύφασμα,,,17ίντσες,Euro6,,Άγνωστο,,5,5,1ώραπριν,3027,www.car.gr/324050296,"2104010982,6936747575,6988908986","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Γραμμάτια δεκτά', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,"239,04€/μήνα",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen,AMI8,2023,Citroen AMI 8 '23,CitroenAMI8POP'23,329999395,8.500€,,Αλλο,1/2023Καινούριο,,Ηλεκτρικό,,8bhp,Αυτόματο,Γαλάζιο,Γκρι,Άλλο,,,14ίντσες,,,Άγνωστο,Προσθιοκίνητο(FWD),2,2,4ώρεςπριν,6278,www.car.gr/329999395,"2421033136,2421084800","['Bluetooth', 'Bucket καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Φώτα led']",,,,,,6kw,75χλμ,4ώρες,6kwh,,
Seat,Arosa,2002,Seat Arosa '02,SeatArosaΑΡΙΣΤΟ/ΑΝΤΑΛΛΑΓΕΣ/ΕΤΟΙΜΟΠΑΡΑΔΟΤΟ'02,333954873,2.900€,Μεταχειρισμένο,Κουπέ-Σπόρ,8/2002,160.000χλμ,Βενζίνη,1.400cc,90bhp,Χειροκίνητο,Ασημί,,,,,,,,Μονό,,3,5,1ημέραπριν,252,www.car.gr/333954873,6971998936,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Tcs - asr', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",,,,,,,,,,,
Jeep,Compass,2022,Jeep Compass '22 PLUG IN HYBRID 4xe,JeepCompassPLUGINHYBRID4xe-LIMITED'22,325076863,Ρώτησετιμή,,4χ4/Τζιπ/Suv,7/2022Καινούριο,,Υβριδικόplug-inβενζίνη,1.300cc,240bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Γκρι,Δέρμα-ύφασμα,,,18ίντσες,Euro6d,,Άγνωστο,4x4(4WD),5,5,4ώρεςπριν,6408,www.car.gr/325076863,"2421033136,2421084800","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,6,,,,,,,,,
Seat,Toledo,2013,Seat Toledo '13 ΜΕ ΕΓΓΥΗΣΗ !!! ΑΡΙΣΤΟ !!! CRS,SeatToledoΜΕΕΓΓΥΗΣΗ!!!ΑΡΙΣΤΟ!!!CRSMOTORS'13,332463507,8.990€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2013,122.000χλμ,Βενζίνη,1.197cc,105bhp,Χειροκίνητο,Μαύρο,,Ύφασμα,,119g/km,,Euro5,,Άγνωστο,Προσθιοκίνητο(FWD),5,5,1ημέραπριν,61,www.car.gr/332463507,"2106617085,2106617086","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1,6,,,117€,,,,,,
Peugeot,308,2017,Peugeot 308 '17 FULL EXTRA NAVI CLIMA ΟΘΟΝΗ ΑΡΙΣΤΗ,Peugeot308FULLEXTRANAVICLIMAΟΘΟΝΗΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ!!!'17,326591647,12.350€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2017,112.730χλμ,Πετρέλαιο,1.560cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Ύφασμα,,94g/km,,Euro6,"4,30(Εντός)/3,60(Μικτό)λ/100χλμ",Άγνωστο,,5,5,1ώραπριν,948,www.car.gr/326591647,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,"184,52€/μήνα",84€,,,,,,
Renault,Clio,2016,Renault Clio '16  Grandtour dCi 90 START/STOP,RenaultClioGrandtourdCi90START/STOPNAVI'16,334035130,10.350€,Μεταχειρισμένο,Κόμπι/Kάραβαν,4/2016,149.000χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Ύφασμα,,85g/km,,,,Άγνωστο,,5,5,1ώραπριν,239,www.car.gr/334035130,"2104010982,6936747575,6988908986","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Ράγες οροφής', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,6,,"154,64€/μήνα",0€,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai,i30,2015,Hyundai i 30 '15 SPORT PACK LED FULL EXTRA,Hyundaii30SPORTPACKLEDFULLEXTRAEURO6'15,334259959,11.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,84.000χλμ,Βενζίνη,1.400cc,100bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,,,,Άγνωστο,,5,5,1ώραπριν,493,www.car.gr/334259959,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,"178,55€/μήνα",,,,,,,
Ford,Fiesta,2017,Ford Fiesta '17 FULL EXTRA EURO,FordFiestaFULLEXTRAEURO6'17,330778261,9.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2017,147.000χλμ,Πετρέλαιο,1.499cc,95bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),,,,,,,"4,50(Μικτό)λ/100χλμ",Ζυγό,,3,5,2ώρεςπριν,11015,www.car.gr/330778261,6977634088,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,,,,,,
