brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Σύνολοκατόχων,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Nissan,Qashqai,2016,Nissan Qashqai,NissanQashqai'16,332617711,18.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2016,97.458χλμ,Βενζίνη,1.200cc,116bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,,,16ίντσες,,"8(Εντός)/5,50(Εκτός)/6,70(Μικτό)λ/100χλμ",Ζυγό,Προσθιοκίνητο(FWD),8,5,5,23ώρεςπριν,578,www.car.gr/332617711,6983801261,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",4/2024,,,,,,
Honda,Civic,2019,Honda Civic '19,HondaCivicΔΕΡΜΑ-NAVI-ΟΡΟΦΗ-LED'19,331950038,24.900€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2019,99.000χλμ,Πετρέλαιο,1.597cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,118g/km,Euro6,17ίντσες,100€,"3,80(Μικτό)λ/100χλμ",Άγνωστο,,10,4,5,8ώρεςπριν,4249,www.car.gr/331950038,"6942408032,2341501313","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",4/2024,1,,,,,
Tesla,Model3,2021,Tesla Model 3 '21 Performance,TeslaModel3Performance'21,326616730,40.000€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2021,88.000χλμ,Ηλεκτρικό,,510bhp,Αυτόματο,Ασπρο,Ασπρο,Δερματίνη,,,20ίντσες,,,Ζυγό,4x4(4WD),10,4,5,1ημέραπριν,13687,www.car.gr/326616730,6949422860,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,1,380kw,547χλμ,7ώρες,1ώρες,77kwh
Mercedes-Benz,CLK200,2005,Mercedes-Benz CLK 200 '05 ΑΥΤΟΜΑΤΟ-ΔΕΡΜΑ-ΑΙΣΘΗΤΗΡΕΣ,Mercedes-BenzCLK200ΑΥΤΟΜΑΤΟ-ΔΕΡΜΑ-ΑΙΣΘΗΤΗΡΕΣΠΑΡΚ'05,334450782,9.990€,,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2005,240χλμ,Βενζίνη,1.800cc,163bhp,Αυτόματο,Μπλέ(Μεταλλικό),Ασπρο,Δέρμα,,,17ίντσες,300€,,Ζυγό,,8,2,4,1ώραπριν,117,www.car.gr/334450782,6989703004,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Kia,Ceed,2015,Kia Ceed '15 NAVI KAMERA,KiaCeedNAVIKAMERAEURO6'15,331881385,15.000€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,119.000χλμ,Πετρέλαιο,1.582cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,Euro6,16ίντσες,90€,"3,50(Μικτό)λ/100χλμ",Άγνωστο,,8,5,5,8ώρεςπριν,849,www.car.gr/331881385,"6942408032,2341501313","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,1,,,,,
Audi,Q7,2007,Audi Q7 '07  quattro tiptronic 7θεσιο,AudiQ7quattrotiptronic7θεσιο'07,328746921,18.800€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2007,319.000χλμ,Πετρέλαιο,2.967cc,240bhp,Αυτόματο,Γκρι(Μεταλλικό),Μπεζ,Δέρμα,,,20ίντσες,920€,,Άγνωστο,4x4(4WD),10,5,7,8ώρεςπριν,1486,www.car.gr/328746921,"6942408032,2341501313","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,1,,,,,
Volkswagen,Up,2014,Volkswagen Up '14 ΜΕ ΕΓΓΥΗΣΗ !! ΑΡΙΣΤΟ !!! CRS,VolkswagenUpΜΕΕΓΓΥΗΣΗ!!ΑΡΙΣΤΟ!!!CRSMOTORS'14,333069016,6.990€,,Μεταχειρισμένο,Αλλο,6/2014,168.000χλμ,Βενζίνη,999cc,60bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,105g/km,Euro5,,103€,,Άγνωστο,Προσθιοκίνητο(FWD),4,3,4,19ώρεςπριν,17,www.car.gr/333069016,"2106617088,2106617087","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,
Opel,Insignia,2009,Opel Insignia '09 1.6,OpelInsignia1.6180psi'09,334029905,8.600€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2009,235.000χλμ,Βενζίνη,1.598cc,180bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,,,18ίντσες,280€,,Άγνωστο,,8,5,5,8ώρεςπριν,410,www.car.gr/334029905,"6942408032,2341501313","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,2,,,,,
Nissan,X-Trail,2016,Nissan X-Trail '16  EURO6,NissanX-TrailEURO6'16,331140562,19.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2016,167.800χλμ,Πετρέλαιο,1.598cc,131bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Alcantara,129g/km,Euro6,17ίντσες,,"4,50(Μικτό)λ/100χλμ",Άγνωστο,,8,5,5,8ώρεςπριν,2307,www.car.gr/331140562,"6942408032,2341501313","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,1,,,,,
Renault,Captur,2014,Renault Captur '14 ΔΕΡΜΑ-NAVI,RenaultCapturΔΕΡΜΑ-NAVI'14,324592838,14.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2014,152.000χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,99g/km,Euro5,17ίντσες,100€,4(Μικτό)λ/100χλμ,Άγνωστο,,8,5,5,8ώρεςπριν,1698,www.car.gr/324592838,"6942408032,2341501313","['{Abs', '{Adaptive cruise control (acc)', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θωρακισμένο', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τηλέφωνο', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,1,,,,,
Citroen,C4,2021,Citroen C4 '21  PureTech 130,CitroenC4PureTech130Shine'21,329702135,23.700€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2021,24.000χλμ,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,,18ίντσες,0€,"7,20(Εντός)/6,50(Εκτός)/6,80(Μικτό)λ/100χλμ",Μονό,,,5,5,3ημέρεςπριν,194,www.car.gr/329702135,6951786223,"['Abs', 'Android auto', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Head-up display', 'Hill assist', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1/2025,1,,,,,
Ford,Focus,2015,Ford Focus '15 EURO 6,FordFocusEURO6120psi'15,330655821,11.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2015,185.000χλμ,Πετρέλαιο,1.499cc,120bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,98g/km,Euro6,,,"3,50(Μικτό)λ/100χλμ",Άγνωστο,,6,5,5,8ώρεςπριν,1062,www.car.gr/330655821,"6942408032,2341501313","['{Abs', '{Bluetooth', '{Cd player', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,1,,,,,
Bmw,318,2003,Bmw 318,Bmw318'03,334462608,6.000€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2003,300.000χλμ,Αέριο(lpg)-βενζίνη,1.900cc,143bhp,Χειροκίνητο,Μαύρο,Μπεζ,Δέρμα,,,16ίντσες,320€,,Ζυγό,Πισωκίνητο(RWD),10,5,4,3ημέρεςπριν,69,www.car.gr/334462608,6993960563,"['Abs', 'Adaptive cruise control (acc)', 'Cruise control', 'Esp', 'Usb', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",1/2024,2,,,,,
Opel,Astra,2016,Opel Astra '16 1.6 DIESEL,OpelAstra1.6DIESELEURO6'16,325880867,12.800€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2016,159.000χλμ,Πετρέλαιο,1.598cc,95bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,97g/km,Euro6,,,"3,50(Μικτό)λ/100χλμ",Άγνωστο,,8,5,5,8ώρεςπριν,1587,www.car.gr/325880867,"6942408032,2341501313","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,1,,,,,
Hyundai,i20,2015,Hyundai i 20 '15 Euro 6 YES diesel,Hyundaii20Euro6YESdiesel5πορτο'15,324072717,12.200€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2015,123.000χλμ,Πετρέλαιο,1.396cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,102g/km,Euro6,16ίντσες,,4(Μικτό)λ/100χλμ,Άγνωστο,,8,5,5,8ώρεςπριν,2549,www.car.gr/324072717,"6942408032,2341501313","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,1,,,,,
Kia,Sportage,2001,Kia Sportage,KiaSportage'01,331813599,1.000€Μεζημιά,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2001,250.000χλμ,Βενζίνη,1.998cc,125bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,,,,,,Ζυγό,4x4(4WD),2,5,5,3ημέρεςπριν,249,www.car.gr/331813599,6986941006,['Abs'],,1,,,,,
Kia,Ceed,2016,Kia Ceed '16  GT Line navi panorama,KiaCeedGTLinenavipanorama'16,328018205,15.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,145.000χλμ,Πετρέλαιο,1.582cc,136bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Γκρι,Δέρμα-ύφασμα,100g/km,Euro6,17ίντσες,95€,"3,80(Μικτό)λ/100χλμ",Άγνωστο,,8,5,5,8ώρεςπριν,272,www.car.gr/328018205,"6942408032,2341501313","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,1,,,,,
Hyundai,Lantra,1997,Hyundai Lantra '97  1.6,HyundaiLantra1.6GLS'97,328795435,3.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/1997,116.500χλμ,Βενζίνη,1.600cc,110bhp,Χειροκίνητο,Μπλεσκούρο,Γκρι,Ύφασμα,,,17ίντσες,,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",Ζυγό,,2,5,5,3ημέρεςπριν,1175,www.car.gr/328795435,6947565771,"['Abs', 'Cd player', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)', 'Ράδιοκασετ\\u002Fνο']",6/2024,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-Benz,GLC250,2016,Mercedes-Benz GLC 250 '16 DIESEL 4MATIC 9G-TRONIC AMG,Mercedes-BenzGLC250DIESEL4MATIC9G-TRONICAMGLINE'16,316455672,48.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2016,78.400χλμ,Πετρέλαιο,2.143cc,204bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,129g/km,Euro6,19ίντσες,154€,,Ζυγό,4x4(4WD),10,5,5,2ώρεςπριν,5430,www.car.gr/316455672,6931126751,"['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",,1,,,,,
Ford,Ka,2015,Ford Ka '15 Titanium EURO,FordKaTitaniumEURO6'15,321884849,7.700€,,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2015,100.000χλμ,Βενζίνη,1.242cc,69bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Γκρι,Ύφασμα,115g/km,Euro6,16ίντσες,,"3,50(Μικτό)λ/100χλμ",Άγνωστο,Προσθιοκίνητο(FWD),6,3,5,8ώρεςπριν,1892,www.car.gr/321884849,"6942408032,2341501313","['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,1,,,,,
