brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Κατανάλωση,Κίνηση,Παράδοσηστοσπίτι
Volkswagen,Polo,2011,Volkswagen Polo '11  1.2 TDI BlueMotion,VolkswagenPolo1.2TDIBlueMotion89g'11,333194326,7.450€,Μεταχειρισμένο,Αλλο,8/2011,195.000χλμ,Πετρέλαιο,1.200cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,,Euro5,,,Μονό,,6,5,5,2ώρεςπριν,255,www.car.gr/333194326,"2106398990,6972079107,6972079106","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,"4(Εντός)/3(Εκτός)/3,50(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),Ναι
Audi,A5,2016,Audi A5 '16 SPORTBACK TDI QUATTRO ΤΕΛΗ,AudiA5SPORTBACKTDIQUATTROΤΕΛΗ2023'16,325459848,27.490€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2016,145.000χλμ,Πετρέλαιο,1.968cc,190bhp,Αυτόματο,Χρυσαφί(Μεταλλικό),Μπεζ,Δέρμα,147g/km,Euro6d,18ίντσες,200€,Μονό,1,10,5,5,2ώρεςπριν,12773,www.car.gr/325459848,"2310925727,6996505656","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",11/2023,5(Μικτό)λ/100χλμ,4x4(4WD),
Ford,Focus,2009,Ford Focus '09 Ambiente ΠΛΟΥΣΙΑ,FordFocusAmbienteΠΛΟΥΣΙΑΕΚΔΟΣΗ'09,334373833,7.750€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2009,88.000χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,,16ίντσες,,Ζυγό,1,6,5,5,2ώρεςπριν,106,www.car.gr/334373833,"2106398990,6972079107,6972079106","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Μη καπνιστή', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι']",2/2024,"7,50(Εντός)/6,50(Εκτός)/7(Μικτό)λ/100χλμ",,Ναι
Mercedes-Benz,CLA200,2018,Mercedes-Benz CLA 200,Mercedes-BenzCLA200'18,330721253,27.000€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2018,178.000χλμ,Πετρέλαιο,2.143cc,156bhp,Αυτόματο,Γκρι,Δίχρωμο,Δέρμα-ύφασμα,,,18ίντσες,,Χωρίς,,,5,5,1ημέραπριν,1954,www.car.gr/330721253,"2105155318,2105155319",[],,,Πισωκίνητο(RWD),
Bmw,X1,2013,Bmw X1 '13 ΝΕΑ ΤΙΜΗ 20Χd,BmwX1ΝΕΑΤΙΜΗ20ΧdPANORAMA'13,329559427,18.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2013,140.000χλμ,Πετρέλαιο,2.000cc,184bhp,Αυτόματο,Χρυσαφί(Μεταλλικό),Μπεζ,Δέρμα,140g/km,,17ίντσες,260€,Μονό,1,8,5,5,2ώρεςπριν,2583,www.car.gr/329559427,"2310925727,6996505656","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",10/2023,"5,50(Μικτό)λ/100χλμ",4x4(4WD),
Peugeot,207,2012,Peugeot 207,Peugeot207'12,333751901,6.450€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2012,149.000χλμ,Βενζίνη,1.400cc,100bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,Euro5,15ίντσες,110€,Ζυγό,1,6,3,5,2ώρεςπριν,523,www.car.gr/333751901,"2106398990,6972079107,6972079106","['Abs', 'Bluetooth', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",2/2024,6(Εντός)/4(Εκτός)/5(Μικτό)λ/100χλμ,,Ναι
Fiat,500,2017,Fiat 500 '17 C 1.2 8V,Fiat500C1.28VLounge-ΑΥΤΟΜΑΤΟ'17,333190363,14.700€,Μεταχειρισμένο,Κουπέ-Σπόρ,12/2017,83.000χλμ,Βενζίνη,1.242cc,70bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δίχρωμο,Δέρμα,,Euro6,16ίντσες,,Μονό,,8,2,4,2ώρεςπριν,765,www.car.gr/333190363,"2106398990,6972079107,6972079106","['{Abs', '{Adaptive cruise control (acc)', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",4/2025,6(Εντός)/4(Εκτός)/5(Μικτό)λ/100χλμ,Προσθιοκίνητο(FWD),Ναι
Toyota,Yaris,2017,Toyota Yaris '17 ACTIVE PLUS HYBRID,ToyotaYarisACTIVEPLUSHYBRIDΠΛΟΥΣΙΟ'17,333597057,15.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2017,111.500χλμ,Υβριδικόβενζίνη,1.500cc,101bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,Euro6,15ίντσες,,Ζυγό,2,8,5,5,2ώρεςπριν,278,www.car.gr/333597057,"2106398990,6972079107,6972079106","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",3/2024,3(Εντός)/5(Εκτός)/4(Μικτό)λ/100χλμ,,Ναι
Toyota,Aygo,2020,Toyota Aygo,ToyotaAygo'20,334337049,11.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2020,16.000χλμ,Βενζίνη,998cc,72bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,,15ίντσες,,Χωρίς,,,4,4,1ημέραπριν,110,www.car.gr/334337049,"2105155318,2105155319",[],,,,
Opel,Corsa,2005,Opel Corsa,OpelCorsa'05,334256354,6.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2005,180.000χλμ,Βενζίνη,1.400cc,90bhp,Χειροκίνητο,Μαύρο,Μαύρο,Ύφασμα,,,15ίντσες,,Ζυγό,,,3,5,1ημέραπριν,108,www.car.gr/334256354,"2105155318,2105155319",[],,,,
Mercedes-Benz,E200,2018,Mercedes-Benz E 200,Mercedes-BenzE200'18,332239511,20€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2018,180.000χλμ,Πετρέλαιο,2.000cc,184bhp,Αυτόματο,Μαύρο,Δίχρωμο,Ύφασμα,,,17ίντσες,,Χωρίς,,,5,5,1ημέραπριν,785,www.car.gr/332239511,"2105155318,2105155319",[],,,Πισωκίνητο(RWD),
Mercedes-Benz,CLA200,2019,Mercedes-Benz CLA 200,Mercedes-BenzCLA200'19,331339705,27.000€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2019,186.000χλμ,Πετρέλαιο,2.143cc,156bhp,Αυτόματο,Μαύρο,Δίχρωμο,Δέρμα-ύφασμα,,,18ίντσες,,Χωρίς,,,5,5,1ημέραπριν,2275,www.car.gr/331339705,"2105155318,2105155319",[],,,Πισωκίνητο(RWD),
Chevrolet,Spark,2011,Chevrolet Spark,ChevroletSpark'11,333752028,6.300€Χωρίςφπα,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2011,145.000χλμ,Βενζίνη,1.200cc,80bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,Euro5,14ίντσες,100€,Ζυγό,1,8,5,5,2ώρεςπριν,202,www.car.gr/333752028,"2106398990,6972079107,6972079106","['{Abs', '{Bluetooth', '{Cd player', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Συναγερμός', '{Τιμή χωρίς φπα', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",2/2024,"5(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",,Ναι
Renault,Laguna,2004,Renault Laguna,RenaultLaguna'04,334495472,2.500€,Μεταχειρισμένο,Κόμπι/Kάραβαν,4/2004,298.000χλμ,Βενζίνη,1.783cc,125bhp,Αυτόματο,Ασημί,,,,,,,Μονό,1,,5,5,2ημέρεςπριν,84,www.car.gr/334495472,6970236096,"['Abs', 'Ράδιοκασετ\\u002Fνο', 'Φώτα xenon']",4/2024,,,
Mini,CooperD,2015,Mini Cooper D,MiniCooperD'15,334373703,16.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,89.000χλμ,Πετρέλαιο,1.500cc,116bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,Euro6,16ίντσες,90€,Ζυγό,1,6,2,5,2ώρεςπριν,61,www.car.gr/334373703,"2106398990,6972079107,6972079106","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",4/2024,"5,50(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",,Ναι
Fiat,500,2017,Fiat 500,Fiat500'17,331961114,14.500€,Μεταχειρισμένο,Κάμπριο/Roadster,1/2017,49.000χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Μαύρο,Δίχρωμο,Ύφασμα,,,15ίντσες,,Ζυγό,,,3,4,1ημέραπριν,254,www.car.gr/331961114,"2105155318,2105155319",[],,,,
