brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατανάλωση,Κίνηση,Αερόσακοι,Χρηματοδότηση,Ρύποι(co2),Κλάσηρύπων,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Ford,B-Max,2013,Ford B-Max '13 TITANIUM,FordB-MaxTITANIUM'13,313675078,11.000€,Μεταχειρισμένο,Κόμπι/Kάραβαν,3/2013,169.000χλμ,Πετρέλαιο,1.600cc,95bhp,Χειροκίνητο,Κόκκινο,Μαύρο,Ύφασμα,2/2022,16ίντσες,100€,Άγνωστο,1,5,5,3ημέρεςπριν,552,www.car.gr/313675078,"6942466912,6944610264,6942466912","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","5,60(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),6,,104g/km,Euro5,,,,
Volkswagen,Passat,2014,Volkswagen Passat '14 DERMA KAPITONE TURBO,VolkswagenPassatDERMAKAPITONETURBODIESEL'14,334268975,11.980€,Μεταχειρισμένο,Λιμουζίνα/Sedan,12/2014,140χλμ,Πετρέλαιο,1.600cc,105bhp,Χειροκίνητο,Γκρι,Ασπρο,,,17ίντσες,,Άγνωστο,1,5,5,16ώρεςπριν,1520,www.car.gr/334268975,"2102446576,6906001617","['Abs', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,10,,,,,,,
Ford,Fiesta,2017,Ford Fiesta '17  1.5 TDCi,FordFiesta1.5TDCiTrend'17,330560694,12.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2017,137.777χλμ,Πετρέλαιο,1.499cc,85bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,11/2025,16ίντσες,89€,Άγνωστο,1,5,5,3ημέρεςπριν,615,www.car.gr/330560694,"6942466912,6944610264,6942466912","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","4,80(Μικτό)λ/100χλμ",,6,,96g/km,Euro6,,,,
Toyota,Celica,1991,"Toyota Celica '91 1,6","ToyotaCelica1,6STI'91",334497236,8.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/1991,298.000χλμ,Βενζίνη,1.600cc,105bhp,Χειροκίνητο,Κόκκινο,Μαύρο,Δερματίνη,1/2024,17ίντσες,,Ζυγό,,3,4,19ώρεςπριν,370,www.car.gr/334497236,6946061592,"['Bucket καθίσματα', 'Cd player', 'Ηλεκτρικοί καθρέφτες']","7,50(Εκτός)/λ/100χλμ",,,,,,,,,
Audi,Q7,2007,Audi Q7 '07 PANORAMA OROFI MPEZ DERMA,AudiQ7PANORAMAOROFIMPEZDERMA'07,325983721,15.890€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2007,186χλμ,Βενζίνη,4.200cc,420bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μπεζ,Δέρμα,8/2019,20ίντσες,,Άγνωστο,,5,5,16ώρεςπριν,786,www.car.gr/325983721,"2102446576,6906001617","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,4x4(4WD),10,,,,,,,
Dacia,Spring,2023,Dacia Spring '23 EXTREME ΠΡΟΣΦΟΡΑ ΜΕΧΡΙ,DaciaSpringEXTREMEΠΡΟΣΦΟΡΑΜΕΧΡΙ30/6'23,334344645,21.188€,,Αλλο,8/2023Καινούριο,,Ηλεκτρικό,,65bhp,Αυτόματο,Άλλο,,Δέρμα,,,,Άγνωστο,,5,4,2ώρεςπριν,914,www.car.gr/334344645,"2109578933,2109532005,6941668010","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,6,"318,75€/μήνα",,,48kw,310χλμ,1ώρες,27kwh
Ford,Fiesta,2018,Ford Fiesta '18  VAN,FordFiestaVAN'18,334471611,12.000€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,4/2018,128.000χλμ,Πετρέλαιο,1.499cc,86bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,,Άγνωστο,,5,2,13ώρεςπριν,47,www.car.gr/334471611,"2103005140,8013000808,6906751793","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",4(Εντός)/λ/100χλμ,Προσθιοκίνητο(FWD),,,,Euro6d,,,,
Citroen,C4,2016,Citroen C4,CitroenC4'16,334450354,15.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2016,45.000χλμ,Πετρέλαιο,1.600cc,101bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,11/2024,16ίντσες,0€,Μονό,1,5,5,2ώρεςπριν,369,www.car.gr/334450354,6973821227,"['Abs', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Φώτα led']","5,50(Εντός)/4,50(Εκτός)/5(Μικτό)λ/100χλμ",,10,,87g/km,Euro6,,,,
Renault,Megane,2018,Renault Megane '18 GT 1.6dCi 165PS EDC TITANIUM,RenaultMeganeGT1.6dCi165PSEDCTITANIUM'18,324435145,32.000€,Μεταχειρισμένο,Αλλο,4/2018,52.000χλμ,Πετρέλαιο,1.600cc,165bhp,Αυτόματο,Μπλέ(Μεταλλικό),Μαύρο,Alcantara,,18ίντσες,99€,Ζυγό,,5,5,13ώρεςπριν,13214,www.car.gr/324435145,"2103005140,8013000808,6906751793","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,4x4(4WD),,,,Euro6d,,,,
Renault,Clio,2018,Renault Clio '18 dCi EDC 90 Edition RS,RenaultCliodCiEDC90EditionRSΑυτόματο'18,330788298,15.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2018,143.373χλμ,Πετρέλαιο,1.461cc,90bhp,Αυτόματο,Ασπρο(Μεταλλικό),,Ύφασμα,,16ίντσες,0€,Άγνωστο,1,5,5,13ώρεςπριν,765,www.car.gr/330788298,"2103005140,8013000808,6906751793","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,Προσθιοκίνητο(FWD),,,,Euro6d-temp,,,,
Porsche,Cayenne,2015,Porsche Cayenne '15 GTS,PorscheCayenneGTSV8'15,313897926,50.000€Ξένανούμερα,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2015,140.000χλμ,Βενζίνη,4.806cc,420bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Alcantara,,20ίντσες,,Άγνωστο,,4,5,13ώρεςπριν,10193,www.car.gr/313897926,"2103005140,8013000808,6906751793","['{Taxfree -ξένα νούμερα', '{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αερανάρτηση', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Αντικλεπτικό gps', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Επέκταση εγγύησης', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κοτσαδόρος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon', '{Φώτα που στρίβουν']",,,,,,,,,,
Fiat,Seicento,2001,Fiat Seicento '01  1.1 8V,FiatSeicento1.18VSporting'01,334499112,2.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,8/2001,120.000χλμ,Βενζίνη,1.108cc,55bhp,Χειροκίνητο,Κίτρινο(Μεταλλικό),,,8/2025,13ίντσες,120€,Μονό,,3,5,17λεπτάπριν,449,www.car.gr/334499112,"6947021815,6907332134","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός']",,,2,,,Euro5,,,,
