brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αερόσακοι,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Χρηματοδότηση
Hyundai,i20,2018,Hyundai i 20 '18  1.1 Diesel_Ελληνικό_διαβάστε,Hyundaii201.1Diesel_Ελληνικό_διαβάστεπεριγραφή'18,329961142,10.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2018,1χλμ,Πετρέλαιο,1.100cc,75bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,15ίντσες,,,Άγνωστο,1,Προσθιοκίνητο(FWD),5,5,37λεπτάπριν,537,www.car.gr/329961142,"2314066717,6945469497","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",6,1/2025,,Euro6,"184,71€/μήνα"
Citroen,C4,2016,Citroen C4,CitroenC4'16,334450354,15.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2016,45.000χλμ,Πετρέλαιο,1.600cc,101bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,16ίντσες,0€,"5,50(Εντός)/4,50(Εκτός)/5(Μικτό)λ/100χλμ",Μονό,1,,5,5,6ώρεςπριν,338,www.car.gr/334450354,6973821227,"['Abs', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Φώτα led']",10,11/2024,87g/km,Euro6,
Bmw,520,2017,Bmw 520 '17 DIESEL ΕΛΛΗΝΙΚΟ,Bmw520DIESELΕΛΛΗΝΙΚΟ'17,333630994,34.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2017,72.000χλμ,Πετρέλαιο,2.000cc,190bhp,Αυτόματο,Μπλεσκούρο,Μαύρο,,17ίντσες,,,Μονό,1,Πισωκίνητο(RWD),5,5,1ώραπριν,2610,www.car.gr/333630994,6907915669,"['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",8,6/2023,,Euro6,
Bmw,218ActiveTourer,2016,Bmw 218 Active Tourer,Bmw218ActiveTourer'16,333622533,18.200€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,73.675χλμ,Βενζίνη,1.500cc,136bhp,Αυτόματο,Γκρι(Μεταλλικό),,,16ίντσες,116€,,Ζυγό,2,Προσθιοκίνητο(FWD),5,5,1ημέραπριν,1027,www.car.gr/333622533,6944502514,"['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,
Bmw,316,2002,Bmw 316,Bmw316'02,333291040,3.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2002,400.000χλμ,Αέριο(lpg)-βενζίνη,1.600cc,117bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Καφέ,Δέρμα,,,,Μονό,1,Πισωκίνητο(RWD),4,5,6ώρεςπριν,2097,www.car.gr/333291040,6945427268,"['Abs', 'Cruise control', 'Esp', 'Immobilizer', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",5,7/2024,,,
Mercedes-Benz,CLA180,2015,Mercedes-Benz CLA 180,Mercedes-BenzCLA180'15,325953740,25.400€,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2015,188.000χλμ,Πετρέλαιο,1.600cc,122bhp,Αυτόματο,Μαύρο,,,18ίντσες,100€,6(Εντός)/4(Εκτός)/5(Μικτό)λ/100χλμ,Άγνωστο,1,,5,5,3ημέρεςπριν,3686,www.car.gr/325953740,6943495760,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,
Mercedes-Benz,E280,2008,Mercedes-Benz E 280,Mercedes-BenzE280'08,331702601,13.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2008,149.000χλμ,Βενζίνη,2.997cc,231bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Γκρι,Δέρμα,,,8(Μικτό)λ/100χλμ,Ζυγό,,Πισωκίνητο(RWD),5,5,1ώραπριν,3517,www.car.gr/331702601,6977634088,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,
Mercedes-Benz,ML300,2013,Mercedes-Benz ML 300 '13 V6 GRAND EDITION Blue,Mercedes-BenzML300V6GRANDEDITIONBlueEFFICIENCY'13,332918767,28.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2013,108.000χλμ,Πετρέλαιο,3.000cc,224bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,17ίντσες,,"8,50(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),5,5,3ώρεςπριν,2666,www.car.gr/332918767,6988113308,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αερανάρτηση', 'Ατρακάριστο', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",10,4/2025,230g/km,Euro5,
Ford,Ranger,2019,Ford Ranger '19 X-BLUE EDITION,FordRangerX-BLUEEDITION@ΜΟΝΑΔΙΚΟ@'19,330037841,41.900€,Μεταχειρισμένο,Αγροτικό/Pickup,1/2019,140.000χλμ,Πετρέλαιο,3.200cc,200bhp,Αυτόματο,Μπλέ(Μεταλλικό),Μαύρο,Δέρμα,18ίντσες,105€,,Άγνωστο,1,,4,5,3ώρεςπριν,3955,www.car.gr/330037841,6988113308,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",10,1/2025,,Euro6c,
Ford,Fiesta,2016,Ford Fiesta '16  ST,FordFiestaST200'16,325918827,16.900€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2016,115.000χλμ,Βενζίνη,1.600cc,182bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,18ίντσες,,,Άγνωστο,1,,3,4,3ώρεςπριν,10399,www.car.gr/325918827,6988113308,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",8,,,Euro6,
Fiat,Doblo,2016,Fiat Doblo '16  Cargo Van 1.3 Multijet,FiatDobloCargoVan1.3MultijetSX'16,322891318,9.800€,Μεταχειρισμένο,Van/MiniBus,1/2016,125.000χλμ,Πετρέλαιο,1.300cc,90bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,15ίντσες,105€,,Άγνωστο,,,4,2,3ώρεςπριν,1501,www.car.gr/322891318,6988113308,[],4,5/2024,133g/km,Euro5,
