brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Τέληκυκλοφορίας,Κατανάλωση,Ρύποι(co2),Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Σύνολοκατόχων,Παράδοσηστοσπίτι
Kia,Picanto,2004,Kia Picanto '04 1.1,KiaPicanto1.1'04,334380567,3.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2004,212.000χλμ,Βενζίνη,1.100cc,70bhp,Χειροκίνητο,Μαύρο,Μαύρο,,1/2025,,13ίντσες,Ζυγό,,2,5,5,1ημέραπριν,201,www.car.gr/334380567,6993079666,"['Κλιματισμός(a\\u002Fc)', 'Συναγερμός']",,135€,,,,,,,,
Peugeot,208,2015,Peugeot 208 '15 DIESEL ΟΘΟΝΗ TFT ΕΛΛΗΝΙΚΗΣ,Peugeot208DIESELΟΘΟΝΗTFTΕΛΛΗΝΙΚΗΣΑΝΤΙΠΡΟΣΩΠΕΙΑΣ'15,334056141,8.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2015,108.000χλμ,Πετρέλαιο,1.400cc,75bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,,Μονό,,,5,5,1ώραπριν,384,www.car.gr/334056141,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","133,72€/μήνα",,,,,,,,,
Renault,Clio,2017,Renault Clio '17 1.500cc VAN START/STOP,RenaultClio1.500ccVANSTART/STOPNAVI'17,332745860,8.950€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,9/2017,170.000χλμ,Πετρέλαιο,1.461cc,75bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Ύφασμα,,,,Άγνωστο,,,5,2,1ώραπριν,1295,www.car.gr/332745860,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","133,72€/μήνα",0€,,85g/km,,,,,,
Peugeot,108,2015,Peugeot 108 '15 5d  LED 1.000cc 70hp ΑΡΙΣΤΗ,Peugeot1085dLED1.000cc70hpΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ'15,332381896,9.350€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2015,92.000χλμ,Βενζίνη,998cc,70bhp,Χειροκίνητο,Άλλο(Μεταλλικό),,Ύφασμα,,,,Άγνωστο,,,5,5,1ώραπριν,495,www.car.gr/332381896,"2104010982,6936747575,6988908986","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","139,70€/μήνα",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai,i30,2015,Hyundai i 30 '15 SPORT PACK LED FULL EXTRA,Hyundaii30SPORTPACKLEDFULLEXTRAEURO6'15,334259959,11.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,84.000χλμ,Βενζίνη,1.400cc,100bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,,Άγνωστο,,,5,5,1ώραπριν,514,www.car.gr/334259959,"2104010982,6936747575,6988908986","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","178,55€/μήνα",,,,,,,,,
Dacia,Spring,2023,Dacia Spring '23 EXTREME ΠΡΟΣΦΟΡΑ ΜΕΧΡΙ,DaciaSpringEXTREMEΠΡΟΣΦΟΡΑΜΕΧΡΙ30/6'23,334344645,21.188€,,Αλλο,8/2023Καινούριο,,Ηλεκτρικό,,65bhp,Αυτόματο,Άλλο,,Δέρμα,,,,Άγνωστο,,6,5,4,6ώρεςπριν,867,www.car.gr/334344645,"2109578933,2109532005,6941668010","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","318,75€/μήνα",,,,48kw,310χλμ,1ώρες,27kwh,,
Mercedes-Benz,C180,2016,"Mercedes-Benz C 180 '16 AMG ΠΑΚΕΤΟ , ΠΑΝΟΡΑΜΙΚΗ ΘΕΑ","Mercedes-BenzC180AMGΠΑΚΕΤΟ,ΠΑΝΟΡΑΜΙΚΗΘΕΑ,DIESEL'16",330557242,25.000€Ξένανούμερα,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2016,114.000χλμ,Πετρέλαιο,1.598cc,116bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δερματίνη,10/2023,Euro6,18ίντσες,Άγνωστο,,,5,5,1ημέραπριν,6832,www.car.gr/330557242,6970384295,"['Taxfree -ξένα νούμερα', 'Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,"6,50(Εντός)/4,50(Εκτός)/5(Μικτό)λ/100χλμ",106g/km,,,,,,
Volkswagen,Passat,2014,Volkswagen Passat '14 DERMA KAPITONE TURBO,VolkswagenPassatDERMAKAPITONETURBODIESEL'14,334268975,11.980€,Μεταχειρισμένο,Λιμουζίνα/Sedan,12/2014,140χλμ,Πετρέλαιο,1.600cc,105bhp,Χειροκίνητο,Γκρι,Ασπρο,,,,17ίντσες,Άγνωστο,,10,5,5,3ώρεςπριν,1504,www.car.gr/334268975,"2102446576,6906001617","['Abs', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,1,
Volkswagen,Polo,2012,Volkswagen Polo '12  GTI DSG,VolkswagenPoloGTIDSG(7-Gear)'12,334249306,15.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2012,106.000χλμ,Βενζίνη,1.400cc,180bhp,Αυτόματο,Ασπρο,Μαύρο,Ύφασμα,4/2024,,17ίντσες,Μονό,,4,4,5,6ώρεςπριν,1975,www.car.gr/334249306,6942845830,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,166€,"7(Εντός)/5,90(Μικτό)λ/100χλμ",,,,,,2,
Dacia,Sandero,2013,Dacia Sandero '13 ECO 0.9 TURBO TCE 90HP,DaciaSanderoECO0.9TURBOTCE90HP!!!'13,333290267,5.999€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2013,180.000χλμ,Βενζίνη,898cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,,Άγνωστο,Προσθιοκίνητο(FWD),,5,5,6ώρεςπριν,2642,www.car.gr/333290267,"2691081793,6982359990","['Abs', 'Android auto', 'Bluetooth', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Τηλέφωνο']",,100€,,,,,,,,
Opel,Karl,2017,Opel Karl '17 ΜΕ ΦΠΑ-Coming Soon- Auto,OpelKarlΜΕΦΠΑ-ComingSoon-AutoΨάλτου'17,333596185,10.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2017,96.000χλμ,Βενζίνη,999cc,80bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2024,Euro6,15ίντσες,Άγνωστο,Προσθιοκίνητο(FWD),6,5,5,7ώρεςπριν,99,www.car.gr/333596185,"2663063100,6944541269","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,90€,"5,50(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ",98g/km,,,,,1,Ναι
Peugeot,308,2015,Peugeot 308 '15 Panorama navi μηδενικά,Peugeot308Panoramanaviμηδενικάτελη'15,324233291,12.800€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2015,130.000χλμ,Πετρέλαιο,1.580cc,120bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,10/2023,Euro6,16ίντσες,Άγνωστο,,6,5,5,6ώρεςπριν,723,www.car.gr/324233291,"6982893554,6982759952","['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,0€,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",,,,,,1,
