brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Επένδυσησαλονιού,Κατανάλωση,Τέληκυκλοφορίας,Χρηματοδότηση,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Κίνηση,Ρύποι(co2)
Audi,A5,2009,Audi A5 '09 ΠΡΟΣΦΟΡΆ,AudiA5ΠΡΟΣΦΟΡΆ-2000€'09,327210009,19.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2009,58.000χλμ,Βενζίνη,1.798cc,170bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,Άγνωστο,1,,2,4,3ημέρεςπριν,3236,www.car.gr/327210009,6936885417,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δέρμα,,,,,,,,,
Suzuki,SJSamurai,1992,Suzuki SJ Samurai '92,SuzukiSJSamuraiSAMURAI'92,10459544,7.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/1992,123.456χλμ,Βενζίνη,2.000cc,140bhp,Χειροκίνητο,Ασπρο,,,,16ίντσες,Άγνωστο,1,0,2,2,3ημέρεςπριν,2230,www.car.gr/10459544,6977649287,[],Άλλο,8(Εντός)/9(Μικτό)λ/100χλμ,,,,,,,4x4(4WD),
Opel,Astra,2008,Opel Astra,OpelAstra'08,329496438,5.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2008,346.474χλμ,Πετρέλαιο,1.300cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,6/2024,,16ίντσες,Άγνωστο,2,6,5,5,3ημέρεςπριν,1131,www.car.gr/329496438,6936885417,"['Abs', 'Adaptive cruise control (acc)', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",Ύφασμα,5(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ,135€,,,,,,,
Fiat,PuntoEvo,2015,Fiat Punto Evo '15 1.3 multijet αγροτική άδεια,FiatPuntoEvo1.3multijetαγροτικήάδεια'15,325963506,6.900€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,7/2015,121.000χλμ,Πετρέλαιο,1.300cc,90bhp,Χειροκίνητο,Ασπρο,,,,,Άγνωστο,,,3,2,3ημέρεςπριν,1868,www.car.gr/325963506,6936885417,"['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Turbo', 'Usb', 'Αγροτικό', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,105€,,,,,,Προσθιοκίνητο(FWD),
Opel,Astra,2008,Opel Astra,OpelAstra'08,333173755,5.000€,Μεταχειρισμένο,Αγροτικό/Pickup,10/2008,5.000χλμ,Πετρέλαιο,1.900cc,90bhp,Χειροκίνητο,Ασπρο,Μαύρο,9/2024,,16ίντσες,Ζυγό,2,2,3,2,3ημέρεςπριν,1228,www.car.gr/333173755,6936885417,"['Abs', 'Adaptive cruise control (acc)', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Turbo', 'Αγροτικό', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",Ύφασμα,"5(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",105€,,,,,,,
Hyundai,Accent,2004,Hyundai Accent '04,HyundaiAccent1.3'04,331373091,2.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2004,152.000χλμ,Βενζίνη,1.300cc,85bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,,14ίντσες,Άγνωστο,1,4,5,5,3ημέρεςπριν,3016,www.car.gr/331373091,6936885417,"['Abs', 'Cd player', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,135€,,,,,,,
Volkswagen,Caddy,2016,Volkswagen Caddy '16,VolkswagenCaddyTGi'16,331302094,18.300€,Μεταχειρισμένο,Van/MiniBus,5/2016,75.000χλμ,Φυσικόαέριο(cng)-βενζίνη,1.395cc,110bhp,Χειροκίνητο,Ασπρο,Μαύρο,9/2024,Euro6,17ίντσες,Ζυγό,1,8,5,7,3ημέρεςπριν,2177,www.car.gr/331302094,6936885417,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συρόμενες πόρτες χ2', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Ύφασμα,,113€,,,,,,Προσθιοκίνητο(FWD),116g/km
AlfaRomeo,Alfa156,1999,Alfa Romeo Alfa 156,AlfaRomeoAlfa156'99,332841319,3.900€Μεζημιά,Μεταχειρισμένο,Αγωνιστικό,9/1999,20.000χλμ,Βενζίνη,1.600cc,300bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,1/2024,,18ίντσες,Μονό,,,5,4,3ημέρεςπριν,2989,www.car.gr/332841319,6942682899,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,260€,,,,,,,
Audi,TT,2007,Audi TT,AudiTT'07,17004505,11.620€,Μεταχειρισμένο,Κάμπριο/Roadster,4/2007,139.800χλμ,Βενζίνη,2.000cc,200bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,,,17ίντσες,Μονό,,,2,2,1ημέραπριν,2240,www.car.gr/17004505,6944414477,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Δέρμα-ύφασμα,,,,,,,,Προσθιοκίνητο(FWD),
Opel,Astra,2009,Opel Astra,OpelAstra'09,334499368,5.900€,Μεταχειρισμένο,Αλλο,1/2009,176.958χλμ,Αέριο(lpg)-βενζίνη,1.400cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,2/2024,,,Ζυγό,,,4,5,2ημέρεςπριν,61,www.car.gr/334499368,6972463145,"['Abs', 'Bluetooth', 'Cd player']",,,240€,,,,,,,
Renault,Clio,2020,Renault Clio,RenaultClio'20,331046380,16.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2020,20.500χλμ,Βενζίνη,999cc,100bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,7/2024,Euro6d-temp,16ίντσες,Άγνωστο,,8,5,5,39λεπτάπριν,569,www.car.gr/331046380,6984525789,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Δέρμα-ύφασμα,,,,,,,,Προσθιοκίνητο(FWD),
