brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κλάσηρύπων,Παράδοσηστοσπίτι
Toyota,Yaris,2013,Toyota Yaris,ToyotaYaris'13,326619770,7.300€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2013,198.562χλμ,Πετρέλαιο,1.400cc,95bhp,Χειροκίνητο,Ασπρο,,,11/2024,,15ίντσες,100€,,Άγνωστο,2,,6,3,5,22ώρεςπριν,7456,www.car.gr/326619770,"6945223855,6981619990,6945223855","['Abs', 'Cd player', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,
Opel,Corsa,2008,Opel Corsa,OpelCorsa'08,332997238,4.500€,Μεταχειρισμένο,Αλλο,1/2008,169.856χλμ,Βενζίνη,1.400cc,90bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),,,6/2024,,15ίντσες,250€,,Άγνωστο,,,4,3,5,22ώρεςπριν,748,www.car.gr/332997238,"6945223855,6981619990,6945223855","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Ναι
Volkswagen,Up,2017,Volkswagen Up '17 AUTOMATIC ! SOUND,VolkswagenUpAUTOMATIC!SOUND!'17,332250082,11.999€,Μεταχειρισμένο,Αλλο,3/2017,80.000χλμ,Βενζίνη,999cc,75bhp,Αυτόματο,Μπλέ(Μεταλλικό),Γκρι,Ύφασμα,,,14ίντσες,99€,,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,7ώρεςπριν,58,www.car.gr/332250082,"6970836431,2392043114","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Usb', '{Ανταλλαγή με car δεκτή', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",Euro6,
Ford,Focus,2007,Ford Focus,FordFocus'07,332974313,6.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2007,293.000χλμ,Αέριο(lpg)-βενζίνη,1.596cc,130bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Ύφασμα,11/2024,,17ίντσες,,"8,30(Μικτό)λ/100χλμ",Άγνωστο,2,,6,3,5,3ημέρεςπριν,322,www.car.gr/332974313,6972133870,"['Abs', 'Cd player', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου']",,
Volkswagen,Caddy,2008,Volkswagen Caddy,VolkswagenCaddy'08,331316601,5.800€,Μεταχειρισμένο,Αλλο,8/2008,440.856χλμ,Αέριο(lpg)-βενζίνη,1.600cc,100bhp,Χειροκίνητο,Μπλέ,Άλλο,,6/2023,,,250€,,Άγνωστο,,Προσθιοκίνητο(FWD),4,4,5,22ώρεςπριν,1505,www.car.gr/331316601,"6945223855,6981619990,6945223855","['{Abs', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Υδραυλικό τιμόνι']",,
Hyundai,i20,2020,Hyundai i 20 '20,Hyundaii20AUTOMATIC/GDI/ΒΕΝΖΙΝΗ/120PS'20,333979032,14.999€,Μεταχειρισμένο,Αλλο,1/2020,90.000χλμ,Βενζίνη,1.000cc,120bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,,,16ίντσες,116€,,Άγνωστο,1,Προσθιοκίνητο(FWD),10,5,5,7ώρεςπριν,116,www.car.gr/333979032,"6970836431,2392043114","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Euro6,
Renault,Megane,2017,Renault Megane '17 BOSE/FULL,RenaultMeganeBOSE/FULLLED/HUD/ΧΕΝΟΝ'17,333886585,16.999€,Μεταχειρισμένο,Αλλο,1/2017,100.000χλμ,Πετρέλαιο,1.600cc,131bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,,117g/km,17ίντσες,114€,,Άγνωστο,1,Προσθιοκίνητο(FWD),10,5,5,7ώρεςπριν,77,www.car.gr/333886585,"6970836431,2392043114","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon', '{Φώτα που στρίβουν']",Euro6,
Hyundai,Accent,2000,Hyundai Accent,HyundaiAccent'00,333297243,2.100€,Μεταχειρισμένο,Αλλο,10/2000,164.456χλμ,Βενζίνη,1.300cc,90bhp,Χειροκίνητο,Ασπρο,,,6/2024,,14ίντσες,135€,,Άγνωστο,1,,4,5,6,22ώρεςπριν,601,www.car.gr/333297243,"6945223855,6981619990,6945223855","['{Abs', '{Cd player', '{Immobilizer', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Υδραυλικό τιμόνι']",,
Mercedes-Benz,C180,1994,Mercedes-Benz C 180 '94 ELEGANCE,Mercedes-BenzC180ELEGANCE'94,333594859,2.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/1994,198.000χλμ,Βενζίνη,1.799cc,122bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),,Ύφασμα,,,,,,Μονό,1,,,5,5,20ώρεςπριν,1260,www.car.gr/333594859,"2106001339,6944914748","['Abs', 'Cd player', 'Immobilizer', 'Tcs - asr', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,
Hyundai,i10,2018,Hyundai i 10 '18 1.0 PASSION 41000,Hyundaii101.0PASSION41000km'18,333380328,10.999€,Μεταχειρισμένο,Αλλο,11/2018,41.000χλμ,Βενζίνη,1.000cc,75bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Ύφασμα,,,16ίντσες,104€,,Άγνωστο,1,Προσθιοκίνητο(FWD),10,5,5,7ώρεςπριν,122,www.car.gr/333380328,"6970836431,2392043114","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Parktronic', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",Euro6,
Mercedes-Benz,GLCCoupe,2019,Mercedes-Benz GLC Coupe '19 AMG 220 4MATIC,Mercedes-BenzGLCCoupeAMG2204MATIC'19,333686810,64.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2019,96.000χλμ,Πετρέλαιο,1.950cc,198bhp,Αυτόματο,Μπλέ(Μεταλλικό),Μαύρο,Δέρμα,9/2024,140g/km,20ίντσες,,,Άγνωστο,1,4x4(4WD),10,5,5,7ώρεςπριν,135,www.car.gr/333686810,"6970836431,2392043114","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Euro6d,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,Fiesta,2009,Ford Fiesta,FordFiesta'09,333300481,6.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,12/2009,197.865χλμ,Βενζίνη,1.600cc,125bhp,Χειροκίνητο,Μαύρο,,,11/2023,,,250€,,Άγνωστο,1,,6,3,5,18ώρεςπριν,92,www.car.gr/333300481,"6945223855,6981619990,6945223855",[],,
Seat,Mii,2019,Seat Mii '19 1.0 / 2019 / RED / ΠΡΟΣΦΟΡΑ,SeatMii1.0/2019/RED/ΠΡΟΣΦΟΡΑ!'19,333657974,8.999€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2019,100.000χλμ,Βενζίνη,999cc,75bhp,Χειροκίνητο,Κόκκινο,Γκρι,Ύφασμα,,,14ίντσες,99€,,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,7ώρεςπριν,47,www.car.gr/333657974,"6970836431,2392043114","['{Abs', '{Cd player', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",Euro6,
Nissan,Qashqai,2017,Nissan Qashqai '17 TEKNA AUTOMATIC 131PS,NissanQashqaiTEKNAAUTOMATIC131PSNAVI'17,333928246,17.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2017,148.000χλμ,Πετρέλαιο,1.600cc,131bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Δέρμα,,115g/km,19ίντσες,,,Άγνωστο,1,Προσθιοκίνητο(FWD),10,5,5,7ώρεςπριν,171,www.car.gr/333928246,"6970836431,2392043114","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Euro6,
Volkswagen,Golf,2018,Volkswagen Golf,VolkswagenGolf'18,333278346,15.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2018,133.000χλμ,Πετρέλαιο,1.600cc,116bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,,1/2024,,16ίντσες,103€,,Ζυγό,1,Προσθιοκίνητο(FWD),,5,5,18ώρεςπριν,531,www.car.gr/333278346,6948149139,"['{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Hill assist', '{Navigation - gps', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",Euro6,
