brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Τέληκυκλοφορίας,Παράδοσηστοσπίτι
Ford,B-Max,2013,Ford B-Max '13 ΣΑΝ ΚΑΙΝΟΥΡΓΙΟ,FordB-MaxΣΑΝΚΑΙΝΟΥΡΓΙΟ!!!'13,331651806,8.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2013,83.000χλμ,Βενζίνη,1.000cc,100bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,8/2024,,,15ίντσες,,Μονό,1,,10,5,5,12ώρεςπριν,2044,www.car.gr/331651806,6994884506,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συρόμενη πόρτα αριστερά', 'Συρόμενη πόρτα δεξιά', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",100€,
Smart,ForFour,2017,Smart ForFour '17 Prime 90ps,SmartForFourPrime90psturbo'17,331816440,11.100€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2017,69.750χλμ,Βενζίνη,898cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,10/2024,94g/km,Euro6,15ίντσες,"5(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",Μονό,1,Πισωκίνητο(RWD),8,5,5,10ώρεςπριν,1837,www.car.gr/331816440,6993838539,"['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",89€,
Fiat,Punto,2002,Fiat Punto '02,FiatPunto1.2cc8v'02,34579551,10.000€Μεζημιά,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2002,136χλμ,Βενζίνη,12cc,80bhp,Χειροκίνητο,Μαύρο,Γκρι,Ύφασμα,,,,14ίντσες,,Άγνωστο,,Προσθιοκίνητο(FWD),1,3,2,10ώρεςπριν,3816,www.car.gr/34579551,"2106020467,2106010806,6946062260","['{Ατρακάριστο', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Ράδιοκασετ\\u002Fνο']",,
Hyundai,i30,2014,Hyundai i 30 '14 Fifa World 1.6,Hyundaii30FifaWorld1.6'14,334067479,13.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2014,155.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,,,,17ίντσες,"5,50(Εντός)/5,50(Εκτός)/λ/100χλμ",Άγνωστο,,,8,4,5,1ημέραπριν,145,www.car.gr/334067479,6907018520,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,
Dacia,Duster,2018,Dacia Duster '18 1.5d 4x4 Sportive,DaciaDuster1.5d4x4SportiveΕΛΛΗΝΙΚΟ.'18,330353546,17.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2018,130.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,Euro6,16ίντσες,,Άγνωστο,,4x4(4WD),,5,5,6ώρεςπριν,2730,www.car.gr/330353546,6976684688,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,
Mazda,CX-3,2016,Mazda CX-3 '16  4x4 SKYACTIV-D,MazdaCX-34x4SKYACTIV-DSports-Line'16,331769125,18.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2016,122.000χλμ,Πετρέλαιο,1.499cc,105bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Δέρμα,2/2025,,Euro6,18ίντσες,,Άγνωστο,2,,6,5,5,8ώρεςπριν,2727,www.car.gr/331769125,"2310318865,6947653335,6944680602","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Ατρακάριστο', '{Δερμάτινα καθίσματα', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,
Fiat,500,2016,Fiat 500 '16  1.2 8V,Fiat5001.28VS'16,333597186,12.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,9/2016,67.194χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,10/2023,115g/km,Euro6,16ίντσες,,Άγνωστο,2,,5,3,5,8ώρεςπριν,509,www.car.gr/333597186,"2310318865,6947653335,6944680602","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Tcs - asr', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",112€,
Renault,Clio,2004,Renault Clio,RenaultClio'04,334510930,2.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2004,252.142χλμ,Βενζίνη,1.145cc,60bhp,Χειροκίνητο,Κόκκινο,Μαύρο,Ύφασμα,11/2023,,,14ίντσες,,Ζυγό,2,,2,5,5,14ώρεςπριν,79,www.car.gr/334510930,"2810310919,6937249455","['Cd player', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Υδραυλικό τιμόνι']",135€,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai,i10,2014,Hyundai i 10 '14 1.2,Hyundaii101.2!!ΑΥΤΟΜΑΤΟ!!'14,331769086,13.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2014,41.265χλμ,Βενζίνη,1.248cc,87bhp,Αυτόματο,Κόκκινοσκούρο(Μεταλλικό),Δίχρωμο,Ύφασμα,1/2024,,Euro5,14ίντσες,,Άγνωστο,2,,5,5,5,8ώρεςπριν,1106,www.car.gr/331769086,"2310318865,6947653335,6944680602","['{Abs', '{Bluetooth', '{Esp', '{Isofix -παιδικά καθίσματα', '{Usb', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,
Seat,Leon,2016,Seat Leon '16 1.2Tsi Elegance 110hp,SeatLeon1.2TsiElegance110hpΕΛΛΗΝΙΚΟ'16,330850406,10.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2016,130.000χλμ,Βενζίνη,1.200cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,Euro6,16ίντσες,,Άγνωστο,,,,5,5,6ώρεςπριν,1541,www.car.gr/330850406,6976684688,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,
Opel,Corsa,2012,Opel Corsa '12  1.3,OpelCorsa1.3'12,331583173,7.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2012,159.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,,,Euro5,15ίντσες,,Άγνωστο,,,5,4,5,3ημέρεςπριν,432,www.car.gr/331583173,6977060025,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,
Seat,Leon,2018,Seat Leon '18  1.4 TGI Start&Stop Style,SeatLeon1.4TGIStart&StopStyle(CNG)'18,333652366,16.500€,Μεταχειρισμένο,Κόμπι/Kάραβαν,4/2018,96.698χλμ,Φυσικόαέριο(cng)-βενζίνη,1.395cc,110bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,8/2023,98g/km,Euro6,17ίντσες,,Άγνωστο,2,,6,5,5,8ώρεςπριν,800,www.car.gr/333652366,"2310318865,6947653335,6944680602",[],,
Seat,Leon,2016,Seat Leon '16 1.2Tsi Elegance 110hp,SeatLeon1.2TsiElegance110hpΕΛΛΗΝΙΚΟ'16,331699406,8.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2016,240.000χλμ,Βενζίνη,1.200cc,110bhp,Χειροκίνητο,Ασπρο,,,,,Euro6,16ίντσες,,Άγνωστο,,,,5,5,6ώρεςπριν,4957,www.car.gr/331699406,6976684688,"['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Γραμμάτια δεκτά', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,
Ford,Fiesta,2016,Ford Fiesta '16  1.5 TDCi ST-Line,FordFiesta1.5TDCiST-Line'16,320863885,11.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,106.000χλμ,Πετρέλαιο,1.500cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Κόκκινο,Ύφασμα,5/2024,,Euro6,17ίντσες,,Μονό,1,,6,3,5,3ημέρεςπριν,907,www.car.gr/320863885,6977060025,"['Abs', 'Android auto', 'Cd player', 'Cruise control', 'Esp', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα xenon']",,
Kia,Stonic,2019,Kia Stonic '19  1.4,KiaStonic1.4Spirit'19,332094341,17.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2019,100.000χλμ,Βενζίνη,1.368cc,99bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,9/2024,,Euro6,17ίντσες,,Άγνωστο,2,,6,5,5,8ώρεςπριν,2311,www.car.gr/332094341,"2310318865,6947653335,6944680602","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",,
