brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Παράδοσηστοσπίτι,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Σύνολοκατόχων,Χρηματοδότηση,Ρύποι(co2)
Ford,Ranger,2019,Ford Ranger '19 WILD,FordRangerWILDTRACK'19,329654786,39.000€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,10/2019,59.000χλμ,Πετρέλαιο,3.200cc,200bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα,,18ίντσες,,,Άγνωστο,4x4(4WD),8,5,5,,19ώρεςπριν,3811,www.car.gr/329654786,6940883903,"['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hardtop', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κλιματισμός(a\\u002Fc)', '{Κοτσαδόρος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,1,,
Audi,A3,2014,Audi A3 '14 SPORTBACK 1.6TDI ΕΥΚΑΙΡΙΑ,AudiA3SPORTBACK1.6TDIΕΥΚΑΙΡΙΑ!!!'14,332263394,13.899€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2014,268.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Γκρι,Ύφασμα,Euro5,17ίντσες,89€,,Ζυγό,Προσθιοκίνητο(FWD),9,5,5,,16ώρεςπριν,1494,www.car.gr/332263394,6977509257,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",3/2025,1,,
Peugeot,3008,2018,Peugeot 3008 '18  1.5 BlueHDi 130HP ACTIVE GRIP,Peugeot30081.5BlueHDi130HPACTIVEGRIPΕΛΛΗΝΙΚΟ'18,334074349,20.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2018,134.000χλμ,Πετρέλαιο,1.500cc,130bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,Euro6,18ίντσες,107€,"5,50(Εντός)/3,50(Εκτός)/4,50(Μικτό)λ/100χλμ",Ζυγό,Προσθιοκίνητο(FWD),6,5,5,,1ώραπριν,162,www.car.gr/334074349,"2314001383,6972855407","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",8/2024,1,"292,84€/μήνα",109g/km
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat,Panda,2005,Fiat Panda '05  1.2 8V,FiatPanda1.28VDynamic'05,334049974,4.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2005,201.000χλμ,Βενζίνη,1.242cc,60bhp,Χειροκίνητο,Κίτρινο,Άλλο,,,14ίντσες,,,Άγνωστο,,4,5,5,,18ώρεςπριν,128,www.car.gr/334049974,6995767373,"['{Abs', '{Cd player', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Υπολογιστής ταξιδιού']",9/2025,2,,
Ford,Fiesta,2010,Ford Fiesta '10,FordFiestaBENZINH*1.4i*ΕΛΛΗΝΙΚΟ*GHIA*ΠΑΥΛΟΥ!'10,333647795,6.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2010,170.000χλμ,Βενζίνη,1.388cc,98bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δίχρωμο,Ύφασμα,,15ίντσες,255€,,Ζυγό,,6,5,5,Ναι,10ώρεςπριν,418,www.car.gr/333647795,"2221076908,6977887387","['{Abs', '{Bucket καθίσματα', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",7/2024,1,,133g/km
Seat,Ibiza,2011,Seat Ibiza '11 1.2TDI 75ps,SeatIbiza1.2TDI75psSW'11,334494640,1€Μεζημιά,Μεταχειρισμένο,Κόμπι/Kάραβαν,2/2011,167.000χλμ,Πετρέλαιο,1.200cc,75bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,,,Άγνωστο,,,5,5,,14ώρεςπριν,83,www.car.gr/334494640,"6907377004,6907377004",[],,,,
Renault,Captur,2015,Renault Captur '15  dCi 90 Dynamique,RenaultCapturdCi90DynamiqueEDC'15,333290655,12.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2015,205.000χλμ,Πετρέλαιο,1.461cc,90bhp,Αυτόματο,Γκρι,Δίχρωμο,Δερματίνη,Euro6,17ίντσες,,,Άγνωστο,,6,5,5,,18ώρεςπριν,595,www.car.gr/333290655,6995767373,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,2,,
Bmw,X3,2007,Bmw X3 '07 2.5si Mpack panorama,BmwX32.5siMpackpanoramaΆριστο!!'07,332247530,9.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2007,161.000χλμ,Αέριο(lpg)-βενζίνη,2.497cc,218bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,,19ίντσες,,,Ζυγό,,7,5,6,,1ώραπριν,6501,www.car.gr/332247530,6977910125,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Parktronic', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,
Volkswagen,Tiguan,2010,Volkswagen Tiguan '10  2.0 TSI,VolkswagenTiguan2.0TSI4MOTION'10,328789673,9.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2010,184.000χλμ,Βενζίνη,1.984cc,200bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,,,,,,Μονό,4x4(4WD),,5,5,,11ώρεςπριν,6450,www.car.gr/328789673,6986649968,"['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Επέκταση εγγύησης', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Υδραυλικό τιμόνι']",8/2024,3,,
Citroen,C3,2011,Citroen C3 '11 ΒΕΝΖΙΝΗ*1.1*ΠΛΗΡ.ΤΕΛΗ,CitroenC3ΒΕΝΖΙΝΗ*1.1*ΠΛΗΡ.ΤΕΛΗ2023*ΠΑΥΛΟΥ!*'11,331935879,6.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2011,122.000χλμ,Βενζίνη,1.100cc,65bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,Euro5,,156€,"5,70(Μικτό)λ/100χλμ",Ζυγό,Προσθιοκίνητο(FWD),6,5,5,Ναι,10ώρεςπριν,1553,www.car.gr/331935879,"2221076908,6977887387","['{Abs', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,130g/km
Citroen,C3,2020,Citroen C3 '20 BlueHD100HP FELL-NAVI,CitroenC3BlueHD100HPFELL-NAVI2020'20,333988883,15.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2020,20.300χλμ,Πετρέλαιο,1.499cc,100bhp,Χειροκίνητο,Ασπρο,,,Euro6,,0€,,Άγνωστο,,6,5,5,,20ώρεςπριν,280,www.car.gr/333988883,"2810372387,6947252851","['{Abs', '{Android auto', '{Bluetooth', '{Cd player', '{Cruise control', '{Immobilizer', '{Navigation - gps', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,1,,90g/km
Hyundai,i30,2018,Hyundai i 30 '18  1.4,Hyundaii301.4Select'18,334031409,12.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2018,177.000χλμ,Βενζίνη,1.368cc,100bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,Euro6,15ίντσες,,,Άγνωστο,,6,5,5,,18ώρεςπριν,807,www.car.gr/334031409,6995767373,"['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Parktronic', '{Usb', '{Αισθητήρας βροχής', '{Εισαγωγής', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",3/2024,2,,
Toyota,C-HR,2021,Toyota C-HR '21 Toyota C-HR,"ToyotaC-HRToyotaC-HRC-LUB,Ελληνικό'21",332509713,27.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2021,69.400χλμ,Υβριδικόβενζίνη,1.800cc,122bhp,Αυτόματο,Μπλέ(Μεταλλικό),,,,18ίντσες,0€,,Άγνωστο,,,5,4,,20ώρεςπριν,1383,www.car.gr/332509713,"2810372387,6947252851","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,1,,
