brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Παράδοσηστοσπίτι,Κλάσηρύπων,Μέγεθοςζάντας,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση,Αερόσακοι,Κίνηση
Renault,Twingo,2004,Renault Twingo,RenaultTwingo'04,331650183,2.100€,,Μεταχειρισμένο,Αλλο,11/2004,245.000χλμ,Βενζίνη,1.148cc,65bhp,Χειροκίνητο,Μπλέ,Γκρι,Άλλο,Ζυγό,2,3,5,6ώρεςπριν,2010,www.car.gr/331650183,6937906716,"['Abs', 'Immobilizer', 'Usb', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής']",5/2024,,,14ίντσες,,135€,,4,
Nissan,Note,2012,Nissan Note '12  1.5 dCi,NissanNote1.5dCiVisia'12,332082542,7.000€,"203,28€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2012,165.750χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,Άγνωστο,1,5,5,2ώρεςπριν,844,www.car.gr/332082542,"6974003211,2641051825,6974003211","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Ναι,Euro5,17ίντσες,,,,6,
Mercedes-Benz,A180,2016,Mercedes-Benz A 180 '16  d Urban,Mercedes-BenzA180dUrban7G-DCT'16,332927628,21.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,81.000χλμ,Πετρέλαιο,1.461cc,109bhp,Αυτόματο,Γκρι,,,Μονό,,5,5,2ημέρεςπριν,2781,www.car.gr/332927628,"6936773401,6981004860","['Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Κάμερα οπισθοπορείας', 'Μη καπνιστή', 'Οθόνη tft', 'Υπολογιστής ταξιδιού']",,,,,,,,,
Citroen,C5Aircross,2020,Citroen C5 Aircross '20 shine,CitroenC5AircrossshineEAT8'20,332700117,29.500€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2020,27.800χλμ,Πετρέλαιο,1.500cc,130bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα,Ζυγό,1,5,5,6ώρεςπριν,784,www.car.gr/332700117,6984271755,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1/2025,,,19ίντσες,,,"6,50(Εντός)/5,50(Εκτός)/λ/100χλμ",,
Nissan,Primera,2005,Nissan Primera '05,NissanPrimeraΑΥΤΟΜΑΤΟ!ΜΟΝΑΔΙΚΟ!!EXCLUSIVE!'05,332504525,4.900€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2005,224.000χλμ,Βενζίνη,1.800cc,120bhp,Αυτόματο,Μπλέ(Μεταλλικό),Γκρι,Ύφασμα,Ζυγό,,4,5,3λεπτάπριν,270,www.car.gr/332504525,"6977217504,6977711072","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",10/2024,,,16ίντσες,,,,6,Προσθιοκίνητο(FWD)
Jeep,Cherokee,2007,Jeep Cherokee '07 2.800 CRD,JeepCherokee2.800CRDFacelift'07,330850736,10.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2007,174.000χλμ,Πετρέλαιο,2.776cc,163bhp,Χειροκίνητο,Μαύρο,,,Μονό,2,5,5,2ημέρεςπριν,356,www.car.gr/330850736,6974024738,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,16ίντσες,,,,2,4x4(4WD)
Toyota,Corolla,2017,Toyota Corolla '17 'ΠΡΟΣΦΟΡΑ'D Active,ToyotaCorolla'ΠΡΟΣΦΟΡΑ'DActiveFACE'ΑΓΓΕΛΙΔΗ'CJL1.4ΕΛΛΗΝ.EURO6'17,332716861,13.990€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2017,145.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,Ζυγό,1,4,5,2ημέρεςπριν,54,www.car.gr/332716861,"2106396766,2108061962,6948235833","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",9/2023,,Euro6,15ίντσες,89g/km,0€,,8,Προσθιοκίνητο(FWD)
Jeep,Renegade,2016,Jeep Renegade '16 limited,JeepRenegadelimitededition'16,332139805,18.450€,"315,91€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2016,102.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Ασπρο,,,Ζυγό,1,5,5,2ημέρεςπριν,358,www.car.gr/332139805,2610433645,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,Euro6,17ίντσες,115g/km,112€,,6,
Porsche,911,2005,Porsche 911 '05  997 CARRERA S CABRIO,Porsche911997CARRERASCABRIO'05,334255839,52.000€,,Μεταχειρισμένο,Κάμπριο/Roadster,5/2005,191.000χλμ,Βενζίνη,3.800cc,370bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Δέρμα,Ζυγό,,2,4,9ώρεςπριν,409,www.car.gr/334255839,6945446483,"['Abs', 'Android auto', 'Bluetooth', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,Euro4,19ίντσες,,,,,Πισωκίνητο(RWD)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmw,116,2013,Bmw 116 '13,Bmw1161.6d'13,333652722,13.490€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2013,113.333χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Μαύρο,Ύφασμα,Ζυγό,1,5,5,2ώρεςπριν,428,www.car.gr/333652722,"2103428671,6978188818","['Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,16ίντσες,,,,6,
Citroen,Jumpy,2004,Citroen Jumpy '04,CitroenJumpyΨΥΓΕΊΑ'04,323249020,4.000€,,Μεταχειρισμένο,Αλλο,1/2004,343.000χλμ,Πετρέλαιο,1.900cc,109bhp,Χειροκίνητο,Ασπρο,,,Ζυγό,,4,2,2ημέρεςπριν,1004,www.car.gr/323249020,"6978001722,6978001722","['Abs', 'Cd player', 'Esp']",,,,,,,,,
Opel,Vectra,2004,Opel Vectra,OpelVectra'04,328837010,3.800€,,Μεταχειρισμένο,Αλλο,1/2004,200.000χλμ,Αέριο(lpg)-βενζίνη,1.600cc,105bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,Άγνωστο,,5,5,2ημέρεςπριν,1312,www.car.gr/328837010,"6978001722,6978001722","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή']",,,,,,,,,
Audi,A4,2009,Audi A4,AudiA4'09,319982362,14.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2009,141.100χλμ,Βενζίνη,2.000cc,290bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Καφέ,Δέρμα,Ζυγό,,4,4,1ημέραπριν,12047,www.car.gr/319982362,6984259552,"['Abs', 'Bluetooth', 'Cd player', 'Dvd', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,19ίντσες,,690€,"10(Εντός)/8,50(Εκτός)/9(Μικτό)λ/100χλμ",,Προσθιοκίνητο(FWD)
Fiat,Strada,2014,Fiat Strada,FiatStrada'14,333600801,14.500€Χωρίςφπα,,Μεταχειρισμένο,Αγροτικό/Pickup,1/2014,87.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,,Ζυγό,,2,2,2ημέρεςπριν,263,www.car.gr/333600801,"6978001722,6978001722","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Turbo', 'Usb', 'Αγροτικό', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Τιμή χωρίς φπα', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,Euro5,,,105€,,,
