brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Παράδοσηστοσπίτι,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Toyota,Yaris,2018,Toyota Yaris '18 D4D SUPERCARS,ToyotaYarisD4DSUPERCARSXANIA'18,333289491,14.200€,"225,60€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2018,131.582χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Ύφασμα,6/2023,91g/km,Euro6,15ίντσες,85€,"5,10(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),7,5,5,Ναι,14ώρεςπριν,196,www.car.gr/333289491,"2821089922,6977088528","['{Abs', '{Cd player', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Turbo', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen,C3,2017,Citroen C3 '17  PureTech 82,CitroenC3PureTech82Shine'17,333280787,13.400€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2017,33.000χλμ,Βενζίνη,1.199cc,82bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,,,Euro6,16ίντσες,,,Άγνωστο,1,,6,5,5,,19ώρεςπριν,494,www.car.gr/333280787,"2261021255,6936954988,6945290198","['{Abs', '{Android auto', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Αισθητήρας βροχής', '{Αντ\\u002Fγή με σκάφος δεκτή', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,
Nissan,Leaf,2013,Nissan Leaf '13 SUPERCARS XANIA,NissanLeafSUPERCARSXANIA'13,333620238,13.990€,"222,27€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2013,55.924χλμ,Ηλεκτρικό,,109bhp,Αυτόματο,Γαλάζιο(Μεταλλικό),Μπεζ,Ύφασμα,2/2024,,,16ίντσες,,,Άγνωστο,2,Προσθιοκίνητο(FWD),6,5,5,Ναι,14ώρεςπριν,267,www.car.gr/333620238,"2821089922,6977088528","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",81kw,150χλμ,8ώρες,,26kwh
Hyundai,i10,2018,Hyundai i 10 '18  SUPERCARS XANIA,Hyundaii10SUPERCARSXANIA'18,333068348,11.800€,"187,47€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2018,89.201χλμ,Βενζίνη,998cc,68bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,4/2024,108g/km,Euro6,15ίντσες,108€,5(Μικτό)λ/100χλμ,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,Ναι,14ώρεςπριν,205,www.car.gr/333068348,"2821089922,6977088528","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
Mercedes-Benz,A160,2019,Mercedes-Benz A 160 '19 SUPERCARS,Mercedes-BenzA160SUPERCARSXANIA'19,334337935,25.500€,"405,13€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2019,26.500χλμ,Βενζίνη,1.330cc,109bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,6/2023,127g/km,Euro6c,16ίντσες,152€,"6,90(Εντός)/4,20(Εκτός)/5,80(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,Ναι,14ώρεςπριν,109,www.car.gr/334337935,"2821089922,6977088528","['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Toyota,Aygo,2018,Toyota Aygo '18 SUPERCARS,ToyotaAygoSUPERCARSXANIA'18,331993215,12.500€,"198,59€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2018,67.013χλμ,Βενζίνη,999cc,68bhp,Χειροκίνητο,Μόβ-βιολετί(Μεταλλικό),Μαύρο,Ύφασμα,7/2021,95g/km,Euro6,15ίντσες,90€,"5,90(Εντός)/4,70(Εκτός)/5,10(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,Ναι,14ώρεςπριν,994,www.car.gr/331993215,"2821089922,6977088528","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Φώτα led']",,,,,
Hyundai,Matrix,2008,Hyundai Matrix '08 SUPERCARS,HyundaiMatrixSUPERCARSXANIA'08,334338373,5.990€,"95,17€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2008,153.404χλμ,Βενζίνη,1.600cc,100bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,1/2024,,Euro4,16ίντσες,265€,"8,40(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),4,5,5,Ναι,14ώρεςπριν,73,www.car.gr/334338373,"2821089922,6977088528","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
Suzuki,Swift,2007,Suzuki Swift '07 ΑΥΤΟΜΑΤΟ GLX SUPERCARS,SuzukiSwiftΑΥΤΟΜΑΤΟGLXSUPERCARSXANIA'07,334482446,6.700€,"106,45€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2007,224.248χλμ,Βενζίνη,1.329cc,92bhp,Αυτόματο,Πορτοκαλί(Μεταλλικό),Μαύρο,Ύφασμα,3/2024,,Euro4,16ίντσες,135€,"6,50(Εντός)/4,80(Εκτός)/5,80(Μικτό)λ/100χλμ",Άγνωστο,2,Προσθιοκίνητο(FWD),8,5,5,Ναι,14ώρεςπριν,64,www.car.gr/334482446,"2821089922,6977088528","['{Abs', '{Cd player', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Parktronic', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
Mercedes-Benz,Vito,2013,Mercedes-Benz Vito '13 116LONG 5ΘΕΣIO ΕΠΑΓΓΕΛΜΑTIKΟ,Mercedes-BenzVito116LONG5ΘΕΣIOΕΠΑΓΓΕΛΜΑTIKΟ'13,23691383,20.000€,,Μεταχειρισμένο,Van/MiniBus,7/2013,310.000χλμ,Πετρέλαιο,2.143cc,163bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Γκρι,Δέρμα-ύφασμα,8/2021,162g/km,Euro5,18ίντσες,105€,"7,70(Εντός)/6,40(Εκτός)/7(Μικτό)λ/100χλμ",Ζυγό,1,Πισωκίνητο(RWD),4,4,5,,1ώραπριν,15385,www.car.gr/23691383,"2321053820,6974036501","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart,ForTwo,2016,Smart ForTwo '16 SUPERCARS,SmartForTwoSUPERCARSXANIA'16,333801060,11.200€,"177,94€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,7/2016,55.208χλμ,Βενζίνη,1.000cc,71bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,6/2021,92g/km,Euro6,15ίντσες,89€,"6(Εντός)/4(Εκτός)/5,20(Μικτό)λ/100χλμ",Άγνωστο,2,Πισωκίνητο(RWD),5,2,2,,14ώρεςπριν,223,www.car.gr/333801060,"2821089922,6977088528","['Abs', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι']",,,,,
