brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κλάσηρύπων
Fiat,500,2016,"Fiat 500 '16 LOUNGE - PANORAMA,NAVI, EURO","Fiat500LOUNGE-PANORAMA,NAVI,EURO6'16",329719789,11.500€,"161,60€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,5/2016,102.000χλμ,Βενζίνη,900cc,105bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μπεζ,Ύφασμα,1/2024,103g/km,16ίντσες,0€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,5ώρεςπριν,3013,www.car.gr/329719789,"6936037758,2100102323","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6
Ford,Fiesta,2017,Ford Fiesta '17 ECOBOOST 125,FordFiestaECOBOOST125HP!TITANIUM!'17,332273003,10.300€,"193,43€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2017,109.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Βελούδο,1/2024,99g/km,16ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,1884,www.car.gr/332273003,"6936037758,2100102323","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Turbo', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",Euro6d
Ford,Focus,2013,Ford Focus '13 PLATINUM ECOBOOST! 125,FordFocusPLATINUMECOBOOST!125HP!!!'13,332085985,9.990€,"140,38€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2013,93.600χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Βελούδο,1/2024,103g/km,16ίντσες,100€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,5ώρεςπριν,1828,www.car.gr/332085985,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",
Renault,Captur,2017,"Renault Captur '17 HELLY HANSEN! ΔΕΡΜΑ,ΑΥΤΟΜΑΤΟ","RenaultCapturHELLYHANSEN!ΔΕΡΜΑ,ΑΥΤΟΜΑΤΟ'17",323044897,15.990€,"224,69€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2017,130.000χλμ,Πετρέλαιο,1.500cc,110bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Γκρι,Δέρμα,1/2024,103g/km,17ίντσες,100€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,10300,www.car.gr/323044897,"6936037758,2100102323","['Abs', 'Android auto', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Euro6d
Ford,Fiesta,2014,Ford Fiesta '14 ECOBOOST 101,FordFiestaECOBOOST101HP!'14,330821756,8.990€,"168,83€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2014,85.400χλμ,Βενζίνη,1.000cc,101bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Βελούδο,1/2024,99g/km,16ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,5ώρεςπριν,2765,www.car.gr/330821756,"6936037758,2100102323","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",
Opel,Corsa,2017,"Opel Corsa '17  INNOVATION 95 HP, EURO","OpelCorsaINNOVATION95HP,EURO6!'17",328795038,10.500€,"147,54€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2017,121.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Βελούδο,1/2024,89g/km,16ίντσες,0€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,3691,www.car.gr/328795038,"6936037758,2100102323","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Turbo', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",Euro6d
Ford,Fiesta,2016,Ford Fiesta '16 ECOBOOST 125,FordFiestaECOBOOST125HP!NAVI!'16,331766809,10.400€,"195,30€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2016,104.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Βελούδο,1/2024,99g/km,16ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,5ώρεςπριν,2739,www.car.gr/331766809,"6936037758,2100102323","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Turbo', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",Euro6d
Ford,Fiesta,2014,Ford Fiesta '14 ECOBOOST 101,FordFiestaECOBOOST101HP!TITANIUM!'14,331558948,8.990€,"168,83€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2014,75.400χλμ,Βενζίνη,1.000cc,101bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Βελούδο,1/2024,99g/km,16ίντσες,90€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,5ώρεςπριν,3467,www.car.gr/331558948,"6936037758,2100102323","['Abs', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",
Toyota,Yaris,2016,Toyota Yaris '16  1.4,ToyotaYaris1.4D-4D'16,333297152,10.300€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,225.000χλμ,Πετρέλαιο,1.364cc,90bhp,Χειροκίνητο,Ασημί,,Ύφασμα,11/2024,,16ίντσες,,,Άγνωστο,1,,,5,5,16ώρεςπριν,625,www.car.gr/333297152,"6949907542,6949907542","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Turbo', '{Tv\\u002Fcamera', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",Euro6
Suzuki,SX4S-Cross,2015,Suzuki SX4 S-Cross '15 GLX - 4WD,"SuzukiSX4S-CrossGLX-4WDALLGRIP,NAVI!'15",334489295,16.500€,"231,86€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2015,95.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Δίχρωμο,Δέρμα,1/2025,112g/km,17ίντσες,110€,"4,90(Εντός)/4,30(Εκτός)/4,60(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),8,5,5,5ώρεςπριν,26,www.car.gr/334489295,"6936037758,2100102323","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Bluetooth', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",
