brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Τιμήπολύτεκνου,Χρηματοδότηση,Τέληκυκλοφορίας
Ford,Ranger,2019,Ford Ranger '19  Extrakabine 2.0 TDCi Wildtrak,FordRangerExtrakabine2.0TDCiWildtrak4x4'19,333229521,39.500€,Μεταχειρισμένο,Αγροτικό/Pickup,12/2019,65.778χλμ,Πετρέλαιο,1.996cc,170bhp,Αυτόματο,Μαύρο(Μεταλλικό),Ζυγό,4,5,9ώρεςπριν,764,www.car.gr/333229521,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,Ύφασμα,12/2023,18ίντσες,,4x4(4WD),6,,,,,,,Euro6,,,,
Smart,ForTwo,2012,Smart ForTwo '12  coupé 0.8 cdi pure,SmartForTwocoupé0.8cdipuresoftouch'12,332875774,7.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2012,103.010χλμ,Πετρέλαιο,799cc,55bhp,Αυτόματο,Ασπρο,Μονό,3,2,9ώρεςπριν,426,www.car.gr/332875774,2105121505,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μαύρο,Ύφασμα,5/2023,15ίντσες,,Πισωκίνητο(RWD),2,,,,,,,Euro5,,,,
Toyota,Hilux,2011,Toyota Hilux,ToyotaHilux'11,332713516,21.500€,Μεταχειρισμένο,Αγροτικό/Pickup,12/2011,270.000χλμ,Πετρέλαιο,2.494cc,171bhp,Χειροκίνητο,Ασημί,Μονό,5,5,9ώρεςπριν,2081,www.car.gr/332713516,2105121505,"['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",Μαύρο,Δέρμα-ύφασμα,,15ίντσες,,4x4(4WD),4,,,,,,,,"8,50(Εντός)/7,50(Εκτός)/8(Μικτό)λ/100χλμ",,,105€
Peugeot,2008,2020,Peugeot 2008 '20  1.2 PureTech 155 GT,Peugeot20081.2PureTech155GTEAT8'20,332841490,28.700€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2020,25.000χλμ,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μονό,5,5,4ώρεςπριν,3848,www.car.gr/332841490,6945935884,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,Δέρμα-ύφασμα,7/2024,18ίντσες,1,Προσθιοκίνητο(FWD),6,,,,,,103g/km,Euro6,"5,10(Εντός)/4,30(Μικτό)λ/100χλμ",,,100€
Ford,Mercury,1971,Ford Mercury,FordMercury'71,21384656,3.888€,Μεταχειρισμένο,Αλλο,1/1971,44.710χλμ,Βενζίνη,4.998cc,290bhp,Αυτόματο,Μπλεσκούρο,Άγνωστο,3,1,4ώρεςπριν,15375,www.car.gr/21384656,6972271749,[],,Δέρμα,,,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen,C3Aircross,2021,Citroen C3 Aircross '21 1.2 110HP SHINE GRIP,CitroenC3Aircross1.2110HPSHINEGRIPCONTROL'21,333085382,19.200€,Μεταχειρισμένο,Αλλο,8/2021,33.639χλμ,Βενζίνη,1.199cc,110bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Ζυγό,5,5,9ώρεςπριν,684,www.car.gr/333085382,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,Δέρμα-ύφασμα,8/2025,17ίντσες,,Προσθιοκίνητο(FWD),6,,,,,,136g/km,Euro6d,,,,
Citroen,Xsara,2001,Citroen Xsara '01 1.6,CitroenXsara1.6110HP'01,332911828,1.500€,Μεταχειρισμένο,Αλλο,7/2001,341.662χλμ,Βενζίνη,1.587cc,110bhp,Χειροκίνητο,Ασημί,Μονό,5,5,9ώρεςπριν,1180,www.car.gr/332911828,2105121505,"['Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μαύρο,Ύφασμα,7/2023,,,Προσθιοκίνητο(FWD),4,,,,,,,,,,,
Opel,Corsa,2011,Opel Corsa '11 #Ecoflex#1.3,OpelCorsa#Ecoflex#1.3multijet#'11,333368036,5.999€,Μεταχειρισμένο,Κουπέ-Σπόρ,11/2011,130.000χλμ,Πετρέλαιο,1.248cc,95bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Άγνωστο,3,5,3ώρεςπριν,3377,www.car.gr/333368036,"6994716403,6947274882","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,,,,,,"100,02€/μήνα",
Renault,Clio,2018,Renault Clio '18 1.5 Dci 90 DYNAMIC NAVI DIESEL,RenaultClio1.5Dci90DYNAMICNAVIDIESEL'18,331099254,13.500€,Μεταχειρισμένο,Αλλο,7/2018,129.381χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Ασπρο,Άγνωστο,5,5,9ώρεςπριν,363,www.car.gr/331099254,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,Ύφασμα,8/2023,16ίντσες,,Προσθιοκίνητο(FWD),6,,,,,,,Euro6,,,,
AlfaRomeo,Mito,2011,Alfa Romeo Mito '11 #1.3 JTD#QUADRIFOGLIO,AlfaRomeoMito#1.3JTD#QUADRIFOGLIOVERDE#'11,333167926,7.300€,Μεταχειρισμένο,Κουπέ-Σπόρ,6/2011,125.000χλμ,Πετρέλαιο,1.248cc,95bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Άγνωστο,3,5,3ώρεςπριν,2510,www.car.gr/333167926,"6994716403,6947274882","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,,,17ίντσες,,,,,,,,,,,,,,
DS,DS7,2019,DS DS7 '19 1.5 130HP EAT8 SO,DSDS71.5130HPEAT8SOCHIC'19,330290164,32.900€,Μεταχειρισμένο,Αλλο,9/2019,84.671χλμ,Πετρέλαιο,1.499cc,130bhp,Αυτόματο,Μαύρο(Μεταλλικό),Ζυγό,5,5,9ώρεςπριν,4563,www.car.gr/330290164,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Δίχρωμο,Ύφασμα,9/2023,18ίντσες,,Προσθιοκίνητο(FWD),6,,,,,,,Euro6d,,,,
