brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Παράδοσηστοσπίτι,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Κτέομέχρι,Kilowatt
Skoda,Octavia,2006,Skoda Octavia '06,SkodaOctavia4Χ4-ΑΒΤ'06,327636733,6.000€,"108,15€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,2/2006,95.000χλμ,Βενζίνη,1.800cc,193bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,16ίντσες,320€,Μονό,1,4x4(4WD),6,5,5,,3ώρεςπριν,12295,www.car.gr/327636733,"6976948220,6980149973,2114205267","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Ford,Ranger,2019,Ford Ranger '19 WILDTRAK BLACK,FordRangerWILDTRAKBLACKEDITION!!'19,334339844,32.900€,,Μεταχειρισμένο,Αγροτικό/Pickup,2/2019,130.000χλμ,Πετρέλαιο,3.200cc,200bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,18ίντσες,105€,Άγνωστο,1,,10,4,5,,1ώραπριν,2669,www.car.gr/334339844,6988113308,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,Euro6c,"8,50(Εντός)/8,50(Μικτό)λ/100χλμ",6/2025,
Audi,A3,2013,Audi A3 '13  Sportback 1.6 TDI,AudiA3Sportback1.6TDIAmbition'13,332294478,14.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2013,145.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Ύφασμα,17ίντσες,,Μονό,1,,10,5,5,,2ώρεςπριν,2708,www.car.gr/332294478,"6945898351,6940860844","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,Euro5,,6/2024,
Nissan,Qashqai,2023,Nissan Qashqai '23 HYBRID PREMIUM-ΔΩΡΟ ΜΕΤΑΛΛ ΧΡΩΜΑ & ΕΞΟΔΑ,NissanQashqaiHYBRIDPREMIUM-ΔΩΡΟΜΕΤΑΛΛΧΡΩΜΑ&ΕΞΟΔΑΠΙΝΑΚΙΔΩΝ'23,334494468,29.950€,"585,53€/μήνα",,4χ4/Τζιπ/Suv,3/2023Καινούριο,7χλμ,Βενζίνη,1.300cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,17ίντσες,100€,Άγνωστο,,,6,5,5,,2ημέρεςπριν,69,www.car.gr/334494468,"2621020000,2621024062,6936119095","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Turbo', 'Αισθητήρας βροχής', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",143g/km,,,,
Audi,Q2,2021,Audi Q2,AudiQ2'21,333399061,12.000€Μεζημιά,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2021,40.000χλμ,Πετρέλαιο,2.000cc,116bhp,Αυτόματο,Μαύρο,,,,,Άγνωστο,,,,5,5,,13λεπτάπριν,2856,www.car.gr/333399061,2310637768,"['Abs', 'Εισαγωγής', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή']",,,,,
Opel,Astra,2012,Opel Astra '12 J,OpelAstraJGTC'12,326828469,12.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2012,117.700χλμ,Βενζίνη,1.362cc,140bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,19ίντσες,168€,Μονό,2,Προσθιοκίνητο(FWD),4,3,5,,1ώραπριν,185,www.car.gr/326828469,6989001000,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",139g/km,Euro5,,6/2025,
Opel,Adam,2018,Opel Adam '18  1.4 Unlimited ΕΛΛΗΝΙΚΟ,OpelAdam1.4UnlimitedΕΛΛΗΝΙΚΟ'18,332934593,11.900€,,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2018,38.000χλμ,Βενζίνη,1.400cc,90bhp,Χειροκίνητο,Κίτρινο,,,,,Άγνωστο,,,,3,4,,13λεπτάπριν,682,www.car.gr/332934593,2310637768,"['Bluetooth', 'Eco start\\u002Fstop', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,1/2027,
Opel,GrandlandX,2020,Opel Grandland X '20  1.2 DI Turbo Business,OpelGrandlandX1.2DITurboBusinessEdition'20,327701784,25.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2020,20.000χλμ,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,17ίντσες,112€,Μονό,,,8,5,5,,2ημέρεςπριν,1322,www.car.gr/327701784,6944763453,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Εγγύηση']",100g/km,Euro6d,7(Εντός)/7(Εκτός)/7(Μικτό)λ/100χλμ,1/2024,
Jaguar,XF,2013,Jaguar XF '13 jaguar xf,JaguarXFjaguarxf2.2cc'13,325915132,15.300€Μεζημιά,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2013,270.000χλμ,Πετρέλαιο,2.200cc,200bhp,Αυτόματο,Μόβ-βιολετί,,,,,Άγνωστο,,,,5,5,,13λεπτάπριν,2085,www.car.gr/325915132,2310637768,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική']",,,,,
Volkswagen,Golf,2009,Volkswagen Golf '09,VolkswagenGolfTsi'09,333782120,9.500€,,Μεταχειρισμένο,Κουπέ-Σπόρ,11/2009,104χλμ,Βενζίνη,14cc,122bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Alcantara,18ίντσες,255€,Άγνωστο,2,Προσθιοκίνητο(FWD),6,3,4,,1ώραπριν,16,www.car.gr/333782120,6987729621,"['Abs', 'Cd player', 'Esp', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων']",,,,,
Honda,Civic,1996,Honda Civic '96 ΕΚ4 1.6Vti 160ps,HondaCivicΕΚ41.6Vti160psγνησιο'96,334426221,3.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/1996,348.000χλμ,Βενζίνη,1.598cc,160bhp,Χειροκίνητο,Μαύρο,Μαύρο,Ύφασμα,15ίντσες,250€,Μονό,2,Προσθιοκίνητο(FWD),2,4,5,,2ημέρεςπριν,439,www.car.gr/334426221,6986705083,"['Abs', 'Bucket καθίσματα', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,Euro3,"8,50(Εντός)/7(Εκτός)/7,50(Μικτό)λ/100χλμ",11/2024,
Opel,Corsa,2015,Opel Corsa '15 1.3 DTE,OpelCorsa1.3DTEecoFLEX'15,334474601,8.700€,,Μεταχειρισμένο,Αλλο,8/2015,186.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,15ίντσες,,Ζυγό,,Προσθιοκίνητο(FWD),,5,5,,2ημέρεςπριν,32,www.car.gr/334474601,6906230339,"['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,1/2025,
Mercedes-Benz,C200,2016,Mercedes-Benz C 200,Mercedes-BenzC200'16,331403244,26.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2016,236.000χλμ,Πετρέλαιο,1.600cc,136bhp,Χειροκίνητο,Μπλεσκούρο,Ασπρο,,,89€,Άγνωστο,,,,4,5,,4ώρεςπριν,52,www.car.gr/331403244,6945245758,"['Bluetooth', 'Navigation - gps', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων']",,,"4,90(Εντός)/3,70(Εκτός)/4,20(Μικτό)λ/100χλμ",,
Bmw,i3,2015,Bmw i3,Bmwi3'15,334425882,16.900€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,110.000χλμ,Ηλεκτρικό,,170bhp,Αυτόματο,Γκρι,Καφέ,Δέρμα,19ίντσες,,Άγνωστο,2,Προσθιοκίνητο(FWD),6,4,5,,5ώρεςπριν,183,www.car.gr/334425882,"2109858010,6939239723,6956112756","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,127kw
