brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατανάλωση,Kilowatt,Χρηματοδότηση,Παράδοσηστοσπίτι,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Mercedes-Benz,CLK200,2004,Mercedes-Benz CLK 200 '04 Avantgarde Ελληνικό 1 χέρι,Mercedes-BenzCLK200AvantgardeΕλληνικό1χέρι'04,22187833,9.950€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2004,211.000χλμ,Βενζίνη,1.800cc,163bhp,Αυτόματο,Μπλέ(Μεταλλικό),,Δέρμα,,,16ίντσες,,300€,Άγνωστο,1,Πισωκίνητο(RWD),6,2,4,3ώρεςπριν,88,www.car.gr/22187833,2105786180,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,,,,
Hyundai,Getz,2008,Hyundai Getz '08 1  χρόνο εγγύηση,HyundaiGetz1χρόνοεγγύηση2008'08,331734242,5.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2008,183.000χλμ,Βενζίνη,1.086cc,70bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,,,14ίντσες,,135€,Άγνωστο,1,Προσθιοκίνητο(FWD),4,4,5,3ώρεςπριν,71,www.car.gr/331734242,2105786180,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Επιταγές δεκτές', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,"122,34€/μήνα",Ναι,,,,
Ford,Fiesta,2016,Ford Fiesta '16  1 χρόνο εγγύησηstart,FordFiesta1χρόνοεγγύησηstartstop-led'16,328966953,9.999€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2016,87.000χλμ,Βενζίνη,999cc,81bhp,Χειροκίνητο,Κόκκινο,,,,1g/km,15ίντσες,Euro6,,Άγνωστο,1,Προσθιοκίνητο(FWD),6,2,5,3ώρεςπριν,40,www.car.gr/328966953,2105786180,"['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,"222,42€/μήνα",,,,,
Mitsubishi,SpaceStar,2016,Mitsubishi Space Star '16  Α Υ Τ Ο Μ Α Τ Ο με,MitsubishiSpaceStarΑΥΤΟΜΑΤΟμε0%πρ/βολή'16,322951085,11.999€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2016,145.000χλμ,Βενζίνη,1.193cc,80bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,,99g/km,15ίντσες,Euro6,,Άγνωστο,1,,6,5,5,3ώρεςπριν,33,www.car.gr/322951085,2105786180,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,"266,91€/μήνα",,,,,
Toyota,Corolla,2006,Toyota Corolla '06 1 Χρόνο εγγύηση LPG πλουσια,ToyotaCorolla1ΧρόνοεγγύησηLPGπλουσιαέκδοση'06,332419674,6.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2006,245.000χλμ,Αέριο(lpg)-βενζίνη,1.400cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,,,15ίντσες,,,Άγνωστο,1,,6,4,5,3ώρεςπριν,62,www.car.gr/332419674,2105786180,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,"144,59€/μήνα",Ναι,,,,
Citroen,C3Picasso,2012,Citroen C3 Picasso '12 ΑΡΙΣΤΗ ΚΑΤΑΣΤΑΣΗ!!Με,CitroenC3PicassoΑΡΙΣΤΗΚΑΤΑΣΤΑΣΗ!!Με0%προκαταβολή'12,324417749,7.500€,Μεταχειρισμένο,Van/MiniBus,6/2012,219.000χλμ,Πετρέλαιο,1.600cc,95bhp,Χειροκίνητο,Χρυσαφί(Μεταλλικό),Δίχρωμο,,,,16ίντσες,Euro5,107€,Άγνωστο,1,,8,5,5,3ώρεςπριν,56,www.car.gr/324417749,2105786180,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Εγγύηση', 'Επιταγές δεκτές', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","4,20(Εντός)/λ/100χλμ",,"166,83€/μήνα",,,,,
Fiat,500,2013,Fiat 500 '13  ABARTH  GQ -edition,Fiat500ABARTHGQ-edition'13,318617777,10.999€,Μεταχειρισμένο,Κουπέ-Σπόρ,11/2013,110.000χλμ,Βενζίνη,900cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,,,16ίντσες,,,Άγνωστο,1,Προσθιοκίνητο(FWD),6,2,5,3ώρεςπριν,47,www.car.gr/318617777,2105786180,"['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,"244,67€/μήνα",,,,,
Hyundai,Lantra,1997,Hyundai Lantra '97 Α ΧΕΡΙ station wagon,HyundaiLantraΑΧΕΡΙstationwagon'97,318142074,2.999€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/1997,163.000χλμ,Βενζίνη,1.600cc,110bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Ύφασμα,,,14ίντσες,,,Άγνωστο,1,Προσθιοκίνητο(FWD),1,4,5,3ώρεςπριν,36,www.car.gr/318142074,2105786180,"['Bucket καθίσματα', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι']",,,"66,71€/μήνα",,,,,
Peugeot,206,2007,Peugeot 206 '07 Diesel,Peugeot206Diesel'07,334072163,3.750€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2007,150.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Μαύρο,,,,,,,,Ζυγό,,,,3,4,6ώρεςπριν,790,www.car.gr/334072163,"6975983431,2296400220,6975983431",[],,,,,,,,
Opel,Mokka,2022,Opel Mokka '22 1.2 100 hp EDITION / OPEL,OpelMokka1.2100hpEDITION/OPELBESIKOSⓇ'22,331643884,22.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2022,1.550χλμ,Βενζίνη,1.199cc,100bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δίχρωμο,Ύφασμα,,125g/km,16ίντσες,Euro6d,,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,2ώρεςπριν,3939,www.car.gr/331643884,"2108313963,6978558499","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","5,50(Μικτό)λ/100χλμ",,"355,78€/μήνα",Ναι,,,,
Hyundai,Tucson,2018,Hyundai Tucson,HyundaiTucson'18,334250394,21.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2018,98.500χλμ,Πετρέλαιο,1.700cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,19ίντσες,,,Μονό,,Προσθιοκίνητο(FWD),,5,5,1ημέραπριν,1665,www.car.gr/334250394,6977454907,"['Android auto', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Navigation - gps', 'Usb', 'Ατρακάριστο', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,
Mercedes-Benz,GLA180,2017,Mercedes-Benz GLA 180 '17 AMG line,Mercedes-BenzGLA180AMGline'17,332264342,34.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2017,36.300χλμ,Πετρέλαιο,1.498cc,110bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,7/2023,,18ίντσες,Euro5,,Μονό,1,,,5,5,17ώρεςπριν,1841,www.car.gr/332264342,6956600414,[],,,,,,,,
Citroen,C3,2017,Citroen C3 '17  BlueHDi SHINE,CitroenC3BlueHDiSHINE90HP'17,333596764,12.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2017,170.000χλμ,Πετρέλαιο,1.560cc,90bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,1/2025,,16ίντσες,Euro6c,,Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,1ημέραπριν,130,www.car.gr/333596764,6983452556,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,,,
Bmw,M4,2014,Bmw M4 '14  Coupé M,BmwM4CoupéMDKG'14,330980661,71.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2014,107.000χλμ,Βενζίνη,2.993cc,431bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,1/2025,293g/km,20ίντσες,Euro6,539€,Ζυγό,,,,2,4,7ώρεςπριν,6202,www.car.gr/330980661,6946068038,"['Parktronic', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Κάμερα οπισθοπορείας', 'Μπλοκέ διαφορικό']",9(Μικτό)λ/100χλμ,,,,,,,
