brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Μέγεθοςζάντας,Κλάσηρύπων,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Αερόσακοι,Παράδοσηστοσπίτι,Χρηματοδότηση,Κίνηση,Κατανάλωση,Τέληκυκλοφορίας,Ρύποι(co2)
Fiat,Punto,2009,Fiat Punto '09 Βενζίνη-Φυσικό,FiatPuntoΒενζίνη-Φυσικόαέριο!!'09,334060144,6.690€,Μεταχειρισμένο,Αλλο,11/2009,131.000χλμ,Φυσικόαέριο(cng)-βενζίνη,1.368cc,77bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,,,Άγνωστο,1,5,5,2ώρεςπριν,16,www.car.gr/334060144,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,10,,,,,,
Fiat,GrandePunto,2009,Fiat Grande Punto '09 Βενζίνη-Φυσικό,FiatGrandePuntoΒενζίνη-Φυσικόαέριο!!'09,334060121,6.690€,Μεταχειρισμένο,Αλλο,11/2009,131.000χλμ,Φυσικόαέριο(cng)-βενζίνη,1.368cc,77bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,,,Άγνωστο,1,5,5,2ώρεςπριν,20,www.car.gr/334060121,6981128411,"['Abs', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,10,,,,,,
Opel,Corsa,2018,Opel Corsa '18 1.3 CDTI,OpelCorsa1.3CDTIExpression'18,333687729,9.490€,Μεταχειρισμένο,Αλλο,10/2018,63.000χλμ,Πετρέλαιο,1.248cc,75bhp,Χειροκίνητο,Ασπρο,Μαύρο,,,,Άγνωστο,1,5,5,2ώρεςπριν,75,www.car.gr/333687729,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,6,,,,,,
Volkswagen,Golf,2014,Volkswagen Golf '14 1.2 TSI,VolkswagenGolf1.2TSITRENDLINE!!'14,321549965,9.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2014,182.000χλμ,Βενζίνη,1.197cc,105bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,,,Άγνωστο,1,5,5,2ώρεςπριν,81,www.car.gr/321549965,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,10,,,,,,
Mercedes-Benz,A140,2007,Mercedes-Benz A 140 '07,Mercedes-BenzA140CLASSIC!!'07,334426421,3.490€,Μεταχειρισμένο,Αλλο,6/2007,167.000χλμ,Βενζίνη,1.397cc,85bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα,,,Άγνωστο,1,5,5,2ώρεςπριν,147,www.car.gr/334426421,6981128411,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']",,6,,,,,,
Nissan,Micra,2008,Nissan Micra,NissanMicra'08,333448839,4.990€,Μεταχειρισμένο,Αλλο,5/2008,220χλμ,Βενζίνη,1.386cc,90bhp,Χειροκίνητο,Άλλο,Δίχρωμο,Ύφασμα,,,Άγνωστο,1,5,5,2ώρεςπριν,41,www.car.gr/333448839,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,6,,,,,,
Opel,Corsa,2015,Opel Corsa '15,OpelCorsaSelective!!NAVI!!'15,333239291,8.990€,Μεταχειρισμένο,Αλλο,10/2015,74.000χλμ,Βενζίνη,1.398cc,9bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,,Άγνωστο,1,5,5,2ώρεςπριν,45,www.car.gr/333239291,6981128411,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Qashqai,2015,Nissan Qashqai '15 1.5,NissanQashqai1.5dci!!ΠΑΝΟΡΑΜΑ!!NAVI!!'15,331918245,15.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2015,114.000χλμ,Πετρέλαιο,1.461cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,,,Άγνωστο,1,5,5,7ώρεςπριν,84,www.car.gr/331918245,6981128411,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,10,,,,,,
AlfaRomeo,Alfa159,2008,"Alfa Romeo Alfa 159 '08 1,9 FULL EXTRA  NAVI","AlfaRomeoAlfa1591,9FULLEXTRANAVI-ΔΕΡΜΑ'08",6546546,7.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,2/2008,153.000χλμ,Βενζίνη,1.859cc,160bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,17ίντσες,,Μονό,2,5,5,2ημέρεςπριν,477,www.car.gr/6546546,6936286608,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",3/2024,8,,,Προσθιοκίνητο(FWD),"10(Εντός)/7(Εκτός)/8,50(Μικτό)λ/100χλμ",320€,
Opel,Corsa,2017,Opel Corsa '17 ENJOY ΣΕ ΑΨΟΓΗ ΚΑΤΑΣΤΑΣΗ ΔΕΚΤΟΣ ΚΑΘΕ,OpelCorsaENJOYΣΕΑΨΟΓΗΚΑΤΑΣΤΑΣΗΔΕΚΤΟΣΚΑΘΕΕΛΕΓΧΟΣ!!!'17,333356337,8.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2017,152.000χλμ,Πετρέλαιο,1.250cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,,Μονό,,5,5,2ημέρεςπριν,2475,www.car.gr/333356337,6937233373,"['Abs', 'Cd player', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,,,,,,
Mazda,RX-8,2005,Mazda RX-8,MazdaRX-8'05,332247114,8.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,6/2005,34.500χλμ,Βενζίνη,1.308cc,192bhp,Χειροκίνητο,Άλλο,Μαύρο,Alcantara,18ίντσες,,Μονό,2,2,4,12ώρεςπριν,1410,www.car.gr/332247114,6978091619,"['Abs', 'Cd player', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)']",7/2023,6,,,,,135€,
Fiat,PuntoEvo,2012,Fiat Punto Evo '12 Diesel  euro,FiatPuntoEvoDieseleuro5'12,334169419,6.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2012,129.600χλμ,Πετρέλαιο,1.248cc,84bhp,Χειροκίνητο,Κόκκινο,Δίχρωμο,,15ίντσες,Euro5,Χωρίς,,3,5,13λεπτάπριν,683,www.car.gr/334169419,6989501066,"['Abs', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,,,,,,,
Mercedes-Benz,E220,2019,Mercedes-Benz E 220 '19 Avantgarde 9G-TRONIC,Mercedes-BenzE220Avantgarde9G-TRONIC'19,330670454,52.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2019,72.000χλμ,Πετρέλαιο,2.000cc,194bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα,17ίντσες,Euro6d,Μονό,,5,5,13λεπτάπριν,1183,www.car.gr/330670454,6989501066,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,Ναι,,Πισωκίνητο(RWD),,146€,122g/km
