brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αυτονομίαμπαταρίας,Χωρητικότηταμπαταρίας,Τέληκυκλοφορίας,Χρόνοςφόρτισηςμπαταρίας,Κτέομέχρι,Σύνολοκατόχων,Kilowatt,Χρόνοςγρήγορηςφόρτισηςμπαταρίας
Porsche,Cayenne,2020,Porsche Cayenne '20 Coupe E-Hybrid Launch,PorscheCayenneCoupeE-HybridLaunchcontrol'20,331086747,124.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2020,41.500χλμ,Υβριδικόβενζίνη,2.995cc,462bhp,Αυτόματο,Γκρι(Μεταλλικό),Μπεζ,Δέρμα,72g/km,Euro6,21ίντσες,"3,20(Μικτό)λ/100χλμ",Ζυγό,AWD,8,5,5,17ώρεςπριν,752,www.car.gr/331086747,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αερανάρτηση', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",36χλμ,14kwh,0€,2ώρες,12/2024,,,
Bmw,225XE,2016,Bmw 225XE '16 Active Tourer Luxury,Bmw225XEActiveTourerLuxuryLine'16,330875923,25.400€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2016,67.760χλμ,Υβριδικόplug-inβενζίνη,1.499cc,224bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,46g/km,Euro6,17ίντσες,2(Μικτό)λ/100χλμ,Χωρίς,AWD,8,5,5,17ώρεςπριν,574,www.car.gr/330875923,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,0€,,,,,
Jaguar,XE,2020,Jaguar XE '20 P250,JaguarXEP250S'20,334425140,39.990€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2020,13.370χλμ,Βενζίνη,1.997cc,250bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,179g/km,Euro6,18ίντσες,7(Μικτό)λ/100χλμ,Χωρίς,Πισωκίνητο(RWD),8,4,5,17ώρεςπριν,102,www.car.gr/334425140,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",,,,,2/2025,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmw,X1,2020,Bmw X1 '20  xDrive25e Sport Line,BmwX1xDrive25eSportLineSteptronic'20,331088046,41.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2020,34.556χλμ,Υβριδικόβενζίνη,1.499cc,220bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,41g/km,Euro6,18ίντσες,"1,80(Μικτό)λ/100χλμ",Χωρίς,AWD,10,5,5,17ώρεςπριν,1035,www.car.gr/331088046,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",50χλμ,10kwh,0€,3ώρες,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmw,X1,2015,Bmw X1 '15  sDrive16,BmwX1sDrive16Auto'15,334245127,17.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2015,137.573χλμ,Βενζίνη,1.592cc,143bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,170g/km,Euro6,18ίντσες,"5,50(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),6,5,5,17ώρεςπριν,392,www.car.gr/334245127,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,416€,,1/2025,,,
Mini,OneClubman,2016,Mini One Clubman '16,MiniOneClubmanD'16,332910038,15.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2016,159.000χλμ,Πετρέλαιο,1.496cc,116bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,102g/km,Euro6,17ίντσες,"4,10(Μικτό)λ/100χλμ",Ζυγό,Προσθιοκίνητο(FWD),8,5,5,17ώρεςπριν,332,www.car.gr/332910038,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,99€,,,,,
Audi,A3,2017,Audi A3 '17 Sportback e-tron S tronic S line,AudiA3Sportbacke-tronStronicSlineAmbition'17,331087628,27.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2017,49.800χλμ,Υβριδικόβενζίνη,1.395cc,204bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,35g/km,Euro6,18ίντσες,"1,60(Μικτό)λ/100χλμ",Χωρίς,Προσθιοκίνητο(FWD),7,5,5,17ώρεςπριν,1153,www.car.gr/331087628,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",50χλμ,,0€,,6/2024,,,
