brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κίνηση,Χρηματοδότηση,Ρύποι(co2),Κλάσηρύπων,Σύνολοκατόχων,Αερόσακοι,Κτέομέχρι,Παράδοσηστοσπίτι,Κατανάλωση
Citroen,C3,2016,Citroen C3 '16   ΑΨΟΓΟ EURO6 AUTOMATIC,CitroenC3ΑΨΟΓΟEURO6AUTOMATICF1'16,333757787,11.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2016,122.800χλμ,Βενζίνη,1.200cc,99bhp,Αυτόματο,Ασημί,Δέρμα-ύφασμα,Άγνωστο,5,5,6ώρεςπριν,232,www.car.gr/333757787,"6947972820,6947972820","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",Δίχρωμο,16ίντσες,,Προσθιοκίνητο(FWD),,,Euro6d,1,6,1/2025,Ναι,
Fiat,500S,2015,Fiat 500S '15 Sport!105hp!Γραμμάτια μεταξύ,Fiat500SSport!105hp!Γραμμάτιαμεταξύμας!'15,333648118,11.995€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,94.600χλμ,Βενζίνη,875cc,105bhp,Χειροκίνητο,Μπλέ,Δέρμα-ύφασμα,Άγνωστο,3,4,3ημέρεςπριν,143,www.car.gr/333648118,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,16ίντσες,90€,,,99g/km,Euro6,,,,,
Hyundai,i10,2015,Hyundai i 10 '15  1.2,Hyundaii101.2Style'15,330230909,9.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2015,80.489χλμ,Βενζίνη,1.248cc,87bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Χωρίς,5,5,9ώρεςπριν,1037,www.car.gr/330230909,"2351045221,2351045224,6976121581","['Abs', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,Euro6,1,,,,
Volvo,V40,2017,Volvo V40 '17 Zάντες!Cruise!5D!Αuto!Με,VolvoV40Zάντες!Cruise!5D!Αuto!ΜεΓραμμάτια'17,328277237,16.198€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2017,151.300χλμ,Βενζίνη,1.500cc,152bhp,Αυτόματο,Γκρι,,Άγνωστο,5,5,3ημέρεςπριν,1346,www.car.gr/328277237,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,Προσθιοκίνητο(FWD),,,,,,,,
Nissan,Navara,2017,Nissan Navara '17 TEKNA 4x4 2.3,NissanNavaraTEKNA4x42.3AUTOMATIC'17,332889719,27.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2017,169.400χλμ,Πετρέλαιο,2.298cc,190bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δέρμα,Άγνωστο,4,5,6ώρεςπριν,1040,www.car.gr/332889719,"6947972820,6947972820","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Μαύρο,17ίντσες,105€,,,,Euro6d,1,8,1/2025,Ναι,
Dacia,Sandero,2020,Dacia Sandero '20 900cc-90hp!stepway!Με,DaciaSandero900cc-90hp!stepway!Μεγραμμάτια!'20,334093300,14.498€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2020,59.092χλμ,Βενζίνη,900cc,90bhp,Χειροκίνητο,Ασπρο,Ύφασμα,Άγνωστο,5,5,3ημέρεςπριν,91,www.car.gr/334093300,"2310705705,6945851831","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,Προσθιοκίνητο(FWD),,,Euro6,,,,,
Mercedes-Benz,E300,2020,Mercedes-Benz E 300 '20 Hybrid plug in diesel! Full extra!Με,Mercedes-BenzE300Hybridplugindiesel!Fullextra!ΜεΓραμμάτια'20,330590729,63.895€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2020,152.000χλμ,Υβριδικόplug-inπετρέλαιο,1.950cc,193bhp,Αυτόματο,Μαύρο,Δέρμα-ύφασμα,Ζυγό,4,5,3ημέρεςπριν,1003,www.car.gr/330590729,"2310705705,6945851831","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,18ίντσες,,,,,,,,,,
Nissan,Navara,2017,Nissan Navara '17 D23 TREK-1 EDITION,NissanNavaraD23TREK-1EDITIONΣΥΛΛΕΚΤΙΚΟ.'17,332902005,28.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2017,122.800χλμ,Πετρέλαιο,2.300cc,190bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα,Άγνωστο,4,5,6ώρεςπριν,1371,www.car.gr/332902005,"6947972820,6947972820","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μαύρο,17ίντσες,105€,4x4(4WD),,,Euro6d,1,8,1/2025,Ναι,
Bmw,X5,2008,Bmw X5 '08 si!3.0!Ηλιοροφή!Mε,BmwX5si!3.0!Ηλιοροφή!MεΓραμμάτια'08,331905555,18.695€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2008,186.513χλμ,Βενζίνη,3.000cc,270bhp,Αυτόματο,Μαύρο,Δέρμα,Μονό,5,5,3ημέρεςπριν,1490,www.car.gr/331905555,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,20ίντσες,,,,,,,,6/2024,,
Seat,Arona,2020,Seat Arona '20 φυσικό αέριο 999cc 90hp!Mε,SeatAronaφυσικόαέριο999cc90hp!MεΓραμμάτια'20,333975236,17.398€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2020,35.980χλμ,Φυσικόαέριο(cng)-βενζίνη,999cc,90bhp,Χειροκίνητο,Κόκκινοσκούρο,Δέρμα-ύφασμα,Ζυγό,5,5,3ημέρεςπριν,245,www.car.gr/333975236,"2310705705,6945851831","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,16ίντσες,88€,,,98g/km,,,,,,
Mercedes-Benz,Sprinter,2017,Mercedes-Benz Sprinter '17 EURO 6 ΕΡΑΣΙΤΕΧΝΙΚΟ,Mercedes-BenzSprinterEURO6ΕΡΑΣΙΤΕΧΝΙΚΟΔΙΠΛΩΜΑ'17,330542903,22.000€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,7/2017,155.000χλμ,Πετρέλαιο,2.200cc,140bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Ύφασμα,Ζυγό,3,3,6ώρεςπριν,1602,www.car.gr/330542903,"6947972820,6947972820","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων']",Δίχρωμο,16ίντσες,105€,,,,Euro6d,1,4,7/2025,,
