brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατανάλωση,Κίνηση,Παράδοσηστοσπίτι
Mercedes-Benz,C300,2017,Mercedes-Benz C 300 '17 AMG,Mercedes-BenzC300AMGLINE'17,334266718,48.500€,,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2017,55.000χλμ,Βενζίνη,2.000cc,245bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,10/2023,154g/km,19ίντσες,Euro6,284€,Άγνωστο,2,10,2,4,2ημέρεςπριν,1857,www.car.gr/334266718,6978466065,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']","8,50(Εντός)/5,40(Εκτός)/6,50(Μικτό)λ/100χλμ",Πισωκίνητο(RWD),
Renault,Clio,2020,Renault Clio '20 ΕΛΛΗΝΙΚΟ-5 ΕΤΗ,RenaultClioΕΛΛΗΝΙΚΟ-5ΕΤΗΕΓΓΥΗΣΗ-DYNAMIC'20,331138418,16.980€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2020,33.000χλμ,Βενζίνη,999cc,100bhp,Χειροκίνητο,Μπορντό(Μεταλλικό),Γκρι,Δέρμα-ύφασμα,,,16ίντσες,,,Ζυγό,1,,5,5,17λεπτάπριν,3149,www.car.gr/331138418,6944884058,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,
Toyota,Yaris,2014,Toyota Yaris '14  1.4 D-4D,ToyotaYaris1.4D-4DLife'14,329648626,10.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2014,130.000χλμ,Πετρέλαιο,1.364cc,90bhp,Χειροκίνητο,Ασπρο,Μαύρο,,,,14ίντσες,,,Άγνωστο,,,5,5,1ώραπριν,33,www.car.gr/329648626,"6951445700,6951445700","['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή']",,,
Lexus,NX300,2015,Lexus NX 300 '15 HYBRID,LexusNX300HYBRIDAUTOMATIC'15,330558559,33.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2015,65.000χλμ,Υβριδικόβενζίνη,2.500cc,197bhp,Αυτόματο,Γκρι,Μαύρο,,,,18ίντσες,,,Άγνωστο,,,5,5,1ώραπριν,84,www.car.gr/330558559,"6951445700,6951445700","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Προσθιοκίνητο(FWD),
Fiat,500,2009,Fiat 500,Fiat500'09,334169829,8.000€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2009,108.000χλμ,Βενζίνη,1.400cc,100bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Ύφασμα,11/2024,,17ίντσες,,255€,Ζυγό,1,6,3,4,24ώρεςπριν,576,www.car.gr/334169829,6944579889,"['Abs', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),
Fiat,500,2016,Fiat 500 '16 New Sport Dualogic,Fiat500NewSportDualogicEuro6'16,334494419,12.990€,"227,95€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,76.000χλμ,Βενζίνη,1.200cc,70bhp,Αυτόματο,Ασπρο,Μαύρο,,,111g/km,15ίντσες,Euro6,109€,Άγνωστο,,6,3,4,2ημέρεςπριν,14,www.car.gr/334494419,"2106219600,2109612100,6973323607","['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","5,10(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),
Opel,Combo,2005,Opel Combo,OpelCombo'05,334250766,4.899€,,Μεταχειρισμένο,Αγροτικό/Pickup,11/2005,231.000χλμ,Πετρέλαιο,1.364cc,70bhp,Χειροκίνητο,Ασπρο,,,1/2024,,,,105€,Άγνωστο,,2,4,2,4ώρεςπριν,366,www.car.gr/334250766,6979744390,"['Esp', 'Immobilizer', 'Turbo', 'Ατρακάριστο', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράγες οροφής', 'Φώτα led']",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,Ranger,2021,Ford Ranger '21 B-tourbo,FordRangerB-tourbo'21,331612156,37.000€Χωρίςφπα,,Μεταχειρισμένο,Αγροτικό/Pickup,2/2021,12.500χλμ,Πετρέλαιο,2.000cc,213bhp,Αυτόματο,Πορτοκαλί(Μεταλλικό),Μαύρο,Δέρμα,,,18ίντσες,Euro6d,105€,Άγνωστο,1,6,4,5,2ημέρεςπριν,1258,www.car.gr/331612156,6942927488,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",10(Εντός)/10(Εκτός)/10(Μικτό)λ/100χλμ,4x4(4WD),
Nissan,Qashqai,2018,Nissan Qashqai '18 ΕΛΛΗΝΙΚΟ ΑΥΤΟΜΑΤΟ ΠΑΝΟΡΑΜΑ ΠΛΟΥΣΙΑ,NissanQashqaiΕΛΛΗΝΙΚΟΑΥΤΟΜΑΤΟΠΑΝΟΡΑΜΑΠΛΟΥΣΙΑΕΚΔΟΣΗ'18,334431060,21.800€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2018,110.000χλμ,Πετρέλαιο,1.598cc,136bhp,Αυτόματο,Μαύρο(Μεταλλικό),,,,,18ίντσες,Euro6,,Ζυγό,,8,5,5,6ώρεςπριν,481,www.car.gr/334431060,6934132045,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,
Ford,Ka,2013,Ford Ka '13 TITANIUM 1.242cc,FordKaTITANIUM1.242cc70HP'13,333795866,7.690€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2013,93.712χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,7/2024,115g/km,15ίντσες,,112€,Μονό,1,2,3,4,2λεπτάπριν,13,www.car.gr/333795866,"2106634900,6974350500","['{Abs', '{Cd player', '{Eco start\\u002Fstop', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),
Ford,Fiesta,2014,Ford Fiesta '14 AUTOMATIC TITANIUM 5 ΘΥΡΩΝ 101 HP ECO,FordFiestaAUTOMATICTITANIUM5ΘΥΡΩΝ101HPECOBOOST'14,333003654,11.890€,"316,62€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2014,83.830χλμ,Βενζίνη,1.000cc,101bhp,Αυτόματο,Ασπρο,Μαύρο,Ύφασμα,6/2024,114g/km,15ίντσες,,111€,Μονό,1,5,5,5,2λεπτάπριν,18,www.car.gr/333003654,"2106634900,6974350500","['{Abs', '{Bluetooth', '{Cd player', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,
Hyundai,i10,2013,Hyundai i 10 '13  1.1 Star Edition 70,Hyundaii101.1StarEdition70HP'13,332767429,7.790€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2013,100.000χλμ,Βενζίνη,1.086cc,70bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,8/2024,110g/km,14ίντσες,Euro5,107€,Μονό,1,4,5,5,2λεπτάπριν,23,www.car.gr/332767429,"2106634900,6974350500","['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ανταλλαγή με car δεκτή', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Συναγερμός', '{Υδραυλικό τιμόνι']",,,Ναι
