brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Κλάσηρύπων,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αερόσακοι,Σύνολοκατόχων,Κίνηση,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Χρώμαεσωτερικού,Επένδυσησαλονιού,Τέληκυκλοφορίας,Κατανάλωση,Χρηματοδότηση,Παράδοσηστοσπίτι
Citroen,C2,2004,Citroen C2 '04 FULL,CitroenC2FULLEXTRA'04,326813269,3.450€,Μεταχειρισμένο,Κουπέ-Σπόρ,10/2004,,Βενζίνη,1.360cc,75bhp,Χειροκίνητο,Πράσινο(Μεταλλικό),,Άγνωστο,3,5,1ημέραπριν,7086,www.car.gr/326813269,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Συναγερμός', 'Υδραυλικό τιμόνι']",,,,11/2023,,,Δίχρωμο,Ύφασμα,,,,
Renault,Clio,2017,Renault Clio '17,RenaultClioΠΡΟΣΦΟΡΑ'17,323777187,11.400€,Μεταχειρισμένο,Αλλο,1/2017,73.000χλμ,Βενζίνη,1.200cc,75bhp,Χειροκίνητο,Άλλο(Μεταλλικό),,Άγνωστο,5,5,1ημέραπριν,2279,www.car.gr/323777187,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,5/2023,,,Μαύρο,Ύφασμα,,,,
Mercedes-Benz,A150,2005,Mercedes-Benz A 150 '05 FULL,Mercedes-BenzA150FULLEXTRA'05,332153909,5.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2005,175.000χλμ,Βενζίνη,1.498cc,95bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Ζυγό,3,5,1ημέραπριν,838,www.car.gr/332153909,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,2,,9/2024,,,Δίχρωμο,Ύφασμα,,,,
Renault,Captur,2018,Renault Captur '18 DCI 90 FULL EXTRA EURO,RenaultCapturDCI90FULLEXTRAEURO6'18,334075249,17.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2018,90.000χλμ,Πετρέλαιο,1.461cc,90bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),,Άγνωστο,5,5,1ημέραπριν,161,www.car.gr/334075249,"2110134334,2102775011,6977250243","['Abs', 'Android auto', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,1/2024,,,Δίχρωμο,Ύφασμα,,,,
Opel,Astra,2016,Opel Astra '16 CDTI DIESEL FULL,OpelAstraCDTIDIESELFULLEXTRA'16,331912156,14.200€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,97.000χλμ,Πετρέλαιο,1.600cc,0bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Μονό,5,5,1ημέραπριν,975,www.car.gr/331912156,"2110134334,2102775011,6977250243","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,1/2024,,,Δίχρωμο,Ύφασμα,,,,
AlfaRomeo,Mito,2018,Alfa Romeo Mito '18 FACELIFT FULL,AlfaRomeoMitoFACELIFTFULLEXTRA'18,331739190,12.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2018,64.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),,Ζυγό,3,5,1ημέραπριν,1000,www.car.gr/331739190,"2110134334,2102775011,6977250243","['Abs', 'Adaptive cruise control (acc)', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,1/2024,,,Δίχρωμο,Ύφασμα,0€,,,
Renault,Scenic,2009,Renault Scenic '09 FULL,RenaultScenicFULLEXTRA'09,330382464,6.250€,Μεταχειρισμένο,Αλλο,10/2009,142.000χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Άγνωστο,5,5,1ημέραπριν,1347,www.car.gr/330382464,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,2,,1/2024,,,Μπεζ,Ύφασμα,,,,
Volkswagen,Jetta,2006,Volkswagen Jetta '06 AUTOMATIC FULL,VolkswagenJettaAUTOMATICFULLEXTRA'06,331611809,6.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2006,228.000χλμ,Βενζίνη,1.600cc,105bhp,Αυτόματο,Ασημί(Μεταλλικό),,Ζυγό,5,5,1ημέραπριν,1102,www.car.gr/331611809,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,8/2024,,,Γκρι,Ύφασμα,,,,
Jaguar,XE,2017,Jaguar XE '17 ΠΡΟΣΦΟΡΑ FULL,JaguarXEΠΡΟΣΦΟΡΑFULLEXTRA'17,319553255,30.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2017,112.000χλμ,Πετρέλαιο,1.999cc,180bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Άγνωστο,5,5,1ημέραπριν,8287,www.car.gr/319553255,"2110134334,2102775011,6977250243","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,1,Πισωκίνητο(RWD),,,,Άλλο,Ύφασμα,,,,
Mercedes-Benz,B150,2006,Mercedes-Benz B 150 '06 AUTOMATIC,Mercedes-BenzB150AUTOMATICLPG'06,331436733,8.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2006,198.000χλμ,Αέριο(lpg)-βενζίνη,1.498cc,95bhp,Αυτόματο,Μπεζ(Μεταλλικό),,Μονό,5,5,1ημέραπριν,1848,www.car.gr/331436733,"2110134334,2102775011,6977250243","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,1/2024,,,Δίχρωμο,Δέρμα-ύφασμα,255€,,,
Fiat,Punto,2003,Fiat Punto,FiatPunto'03,312447841,2.200€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2003,,Βενζίνη,1.390cc,65bhp,Χειροκίνητο,Γαλάζιο,,Άγνωστο,3,5,1ημέραπριν,20684,www.car.gr/312447841,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,Προσθιοκίνητο(FWD),,,,,,,,,
Citroen,C5,2009,Citroen C5 '09 FULL EXTRA 56.000,CitroenC5FULLEXTRA56.000ΧΙΛΟΜΕΤΡΑ'09,331299031,9.750€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2009,56.000χλμ,Αέριο(lpg)-βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Άγνωστο,5,5,1ημέραπριν,1553,www.car.gr/331299031,"2110134334,2102775011,6977250243","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Αερανάρτηση', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,1,,1/2024,,,Μαύρο,Βελούδο,,,,
Chevrolet,Aveo,2013,Chevrolet Aveo '13 DIESEL FULL,ChevroletAveoDIESELFULLEXTRA'13,332995815,6.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2013,166.000χλμ,Πετρέλαιο,1.248cc,97bhp,Χειροκίνητο,Μπλεσκούρο,,Άγνωστο,5,5,1ημέραπριν,521,www.car.gr/332995815,"2110134334,2102775011,6977250243","['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,6/2024,,,Μαύρο,Ύφασμα,,,,
Skoda,Fabia,2012,Skoda Fabia '12,SkodaFabiaTSI'12,334432549,7.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2012,168.000χλμ,Βενζίνη,1.200cc,105bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Μονό,5,5,1ημέραπριν,56,www.car.gr/334432549,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,6/2024,,,Δίχρωμο,Ύφασμα,135€,,,
Mercedes-Benz,C300,2017,Mercedes-Benz C 300 '17 AMG,Mercedes-BenzC300AMGLINE'17,334266718,48.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2017,55.000χλμ,Βενζίνη,2.000cc,245bhp,Αυτόματο,Μαύρο(Μεταλλικό),Euro6,Άγνωστο,2,4,2ημέρεςπριν,1997,www.car.gr/334266718,6978466065,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",10,2,Πισωκίνητο(RWD),10/2023,154g/km,19ίντσες,Μαύρο,Δέρμα,284€,"8,50(Εντός)/5,40(Εκτός)/6,50(Μικτό)λ/100χλμ",,
