brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Κλάσηρύπων,Μέγεθοςζάντας,Ρύποι(co2),Τέληκυκλοφορίας,Σύνολοκατόχων,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Κατανάλωση,Τιμήπολύτεκνου
Citroen,C4Cactus,2014,Citroen C4 Cactus '14 1.6 100HP ETG SHINE 1ο,CitroenC4Cactus1.6100HPETGSHINE1οΧΕΡΙ!!!'14,333648270,11.900€,Μεταχειρισμένο,Αλλο,9/2014,172.651χλμ,Πετρέλαιο,1.560cc,100bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,8/2023,Ζυγό,Προσθιοκίνητο(FWD),6,5,5,9ώρεςπριν,542,www.car.gr/333648270,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,17ίντσες,,,1,,,,,,,
Citroen,AMI8,2023,Citroen AMI 8 '23 MY AMI ORANGE,CitroenAMI8MYAMIORANGE'23,333825670,8.200€,,Αλλο,2/2023Καινούριο,10χλμ,Ηλεκτρικό,,8bhp,Αυτόματο,Μπλέ,Μαύρο,,2/2027,Μονό,Προσθιοκίνητο(FWD),,2,2,9ώρεςπριν,659,www.car.gr/333825670,2105121505,"['Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Μη καπνιστή', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Φώτα led']",,,,,,,6kw,75χλμ,3ώρες,2ώρες,5kwh,,
LandRover,RangeRoverEvoque,2016,Land Rover Range Rover Evoque,LandRoverRangeRoverEvoque'16,322133733,34.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2016,148.800χλμ,Πετρέλαιο,2.000cc,150bhp,Αυτόματο,Ασπρο(Μεταλλικό),,,4/2023,Ζυγό,4x4(4WD),,5,5,3ώρεςπριν,14610,www.car.gr/322133733,"6994716403,6947274882","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,19ίντσες,134g/km,,2,,,,,,,
Citroen,C5Aircross,2022,Citroen C5 Aircross '22  FL 1.5 BHDI 130 EAT8 Launch Edition,CitroenC5AircrossFL1.5BHDI130EAT8LaunchEdition2'22,332711944,37.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2022,4.782χλμ,Πετρέλαιο,1.499cc,130bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Alcantara,10/2026,Ζυγό,Προσθιοκίνητο(FWD),6,5,5,9ώρεςπριν,1103,www.car.gr/332711944,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6d,18ίντσες,145g/km,,1,,,,,,"6(Εντός)/5(Εκτός)/5,50(Μικτό)λ/100χλμ",
Peugeot,Traveller,2018,Peugeot Traveller '18 1.6 115HP 9S,PeugeotTraveller1.6115HP9SXL'18,326889277,40.000€,Μεταχειρισμένο,Van/MiniBus,5/2018,75.990χλμ,Πετρέλαιο,1.560cc,115bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,5/2022,Μονό,Προσθιοκίνητο(FWD),,5,9,9ώρεςπριν,3398,www.car.gr/326889277,2105121505,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,,,
Audi,A5,2016,Audi A5 '16 #2.0 TFSI S LINE#S,AudiA5#2.0TFSISLINE#STRONIC#'16,319160229,57.999€,Μεταχειρισμένο,Κουπέ-Σπόρ,10/2016,80.000χλμ,Βενζίνη,2.000cc,265bhp,Αυτόματο,Μαύρο(Μεταλλικό),,,,Άγνωστο,AWD,3,3,5,3ώρεςπριν,27842,www.car.gr/319160229,"6994716403,6947274882","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'value:b', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,19ίντσες,,,,,,,,,,€55.000
Skoda,Octavia,2013,Skoda Octavia '13 1.2 105HP TSi ΔΩΡΟ ΤΕΛΗ,SkodaOctavia1.2105HPTSiΔΩΡΟΤΕΛΗ2023'13,327349770,7.900€,Μεταχειρισμένο,Αλλο,3/2013,149.898χλμ,Βενζίνη,1.197cc,105bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Μαύρο,Ύφασμα,7/2023,Ζυγό,Προσθιοκίνητο(FWD),6,5,5,9ώρεςπριν,3031,www.car.gr/327349770,2105121505,"['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,16ίντσες,,,,,,,,,,
Mercedes-Benz,E280,2008,Mercedes-Benz E 280,Mercedes-BenzE280'08,331702601,13.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2008,149.000χλμ,Βενζίνη,2.997cc,231bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Γκρι,Δέρμα,,Ζυγό,Πισωκίνητο(RWD),,5,5,7ώρεςπριν,3507,www.car.gr/331702601,6977634088,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,,,,,,,8(Μικτό)λ/100χλμ,
Toyota,Yaris,2020,Toyota Yaris,ToyotaYaris'20,334075755,14.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2020,89.562χλμ,Βενζίνη,1.496cc,110bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Ύφασμα,7/2024,Ζυγό,,,5,5,4ώρεςπριν,1354,www.car.gr/334075755,6981791977,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Euro6,15ίντσες,116g/km,113€,1,,,,,,"6,50(Εντός)/5,50(Εκτός)/6(Μικτό)λ/100χλμ",
Nissan,Juke,2017,Nissan Juke '17 1.2 Ν-CONNECTA,NissanJuke1.2Ν-CONNECTAEURO6'17,334475711,15.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2017,78.100χλμ,Βενζίνη,1.197cc,116bhp,Χειροκίνητο,Μπορντό(Μεταλλικό),Μαύρο,Ύφασμα,,Άγνωστο,Προσθιοκίνητο(FWD),6,5,5,1ημέραπριν,32,www.car.gr/334475711,"2821099151,2821099138","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,17ίντσες,128g/km,153€,1,,,,,,"4,90(Εκτός)/5,70(Μικτό)λ/100χλμ",
Mercedes-Benz,C180,2003,Mercedes-Benz C 180 '03 Avantgarde Automatic,Mercedes-BenzC180AvantgardeAutomaticCompressor'03,334462540,4.600€,Μεταχειρισμένο,Λιμουζίνα/Sedan,8/2003,285.000χλμ,Βενζίνη,1.800cc,163bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Γκρι,Ύφασμα,6/2024,Ζυγό,,6,5,5,1ημέραπριν,326,www.car.gr/334462540,6975905760,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,16ίντσες,,280€,,,,,,,"9,60(Εντός)/6,20(Εκτός)/7,80(Μικτό)λ/100χλμ",
Bmw,116,2016,Bmw 116 '16 Κατόπιν,Bmw116ΚατόπινΡαντεβού!'16,333682736,15.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2016,105.000χλμ,Πετρέλαιο,1.500cc,116bhp,Χειροκίνητο,Μαύρο,,,,Άγνωστο,,,5,5,1ημέραπριν,177,www.car.gr/333682736,"2104971111,6947250080","['Abs', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","218,89€/μήνα",,,,,,,,,,,,
