brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κλάσηρύπων,Παράδοσηστοσπίτι,Ρύποι(co2),Κατανάλωση,Τιμήπολύτεκνου
Dacia,Duster,2017,Dacia Duster '17 DIESEL,DaciaDusterDIESELΑΥΤΟΜΑΤΟ!'17,330687220,14.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2017,112.947χλμ,Πετρέλαιο,1.462cc,110bhp,Αυτόματο,Μαύρο(Μεταλλικό),,Δέρμα,2/2025,,114€,Άγνωστο,1,,,5,5,17λεπτάπριν,5997,www.car.gr/330687220,2102795534,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6,,116g/km,"4,50(Εντός)/4,40(Εκτός)/4,50(Μικτό)λ/100χλμ",
Ford,TransitConnect,2018,Ford Transit Connect '18 1.0 EURO6 ΒΕΝΖΊΝΗ,FordTransitConnect1.0EURO6ΒΕΝΖΊΝΗ'18,333956696,13.700€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,8/2018,127.700χλμ,Βενζίνη,1.000cc,100bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,16ίντσες,105€,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,3,6ώρεςπριν,378,www.car.gr/333956696,"6947972820,6947972820","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Συρόμενη πόρτα αριστερά', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",Euro6d,Ναι,,,
Mitsubishi,SpaceStar,2018,Mitsubishi Space Star '18  1.0 Edition,MitsubishiSpaceStar1.0EditionEURO.6'18,328791055,8.999€,Μεταχειρισμένο,Λιμουζίνα/Sedan,11/2018,64.420χλμ,Βενζίνη,999cc,72bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),,,1/2025,,83€,Άγνωστο,1,,,5,5,18λεπτάπριν,4300,www.car.gr/328791055,2102795534,"['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']",Euro6,,92g/km,"4,80(Εντός)/3,60(Εκτός)/4,20(Μικτό)λ/100χλμ",
Audi,A4,2006,Audi A4 '06,AudiA41.8Τ'06,322960299,6.490€,Μεταχειρισμένο,Λιμουζίνα/Sedan,12/2006,214.000χλμ,Βενζίνη,1.800cc,163bhp,Χειροκίνητο,Μπλεσκούρο,Γκρι,Ύφασμα,12/2023,16ίντσες,320€,Ζυγό,3,Προσθιοκίνητο(FWD),,4,5,14ώρεςπριν,3858,www.car.gr/322960299,6941689892,"['Abs', 'Bluetooth', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,"8,60(Μικτό)λ/100χλμ",
Dacia,Sandero,2017,Dacia Sandero '17 STEPWAY EURO,DaciaSanderoSTEPWAYEURO6'17,334376511,10.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2017,67.549χλμ,Βενζίνη,898cc,90bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),,,6/2025,16ίντσες,,Άγνωστο,1,,,5,5,18λεπτάπριν,231,www.car.gr/334376511,2102795534,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6,,,"5,20(Εντός)/4,30(Εκτός)/4,70(Μικτό)λ/100χλμ",
LandRover,Discovery,2018,Land Rover Discovery,LandRoverDiscovery'18,334494340,69.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2018,63.300χλμ,Πετρέλαιο,2.000cc,240bhp,Αυτόματο,Μπλέ(Μεταλλικό),Μαύρο,,5/2025,,,Μονό,1,4x4(4WD),,5,5,3ώρεςπριν,229,www.car.gr/334494340,"6944347556,2109944544","['Abs', 'Adaptive cruise control (acc)', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,Ranger,2018,Ford Ranger '18 3.2 TDCi Wildtrak,FordRanger3.2TDCiWildtrakAUTOMATIC'18,331390607,28.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2018,94.300χλμ,Πετρέλαιο,3.200cc,200bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,1/2025,17ίντσες,105€,Άγνωστο,1,,8,4,4,6ώρεςπριν,4921,www.car.gr/331390607,"6947972820,6947972820","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αγροτικό', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",Euro6d-temp,,,,
Mercedes-Benz,E220,2003,Mercedes-Benz E 220,Mercedes-BenzE220'03,331086156,1.600€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2003,999.999χλμ,Πετρέλαιο,2.143cc,150bhp,Αυτόματο,Κίτρινο(Μεταλλικό),Μαύρο,Δέρμα,1/2025,,,Μονό,,Πισωκίνητο(RWD),5,5,5,1ημέραπριν,3283,www.car.gr/331086156,"2106528282,6955259259","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,
Smart,ForTwo,2017,Smart ForTwo '17 passion!898cc!90ps!Cruise!Με,SmartForTwopassion!898cc!90ps!Cruise!ΜεΓραμμάτια'17,330539997,13.498€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2017,110.800χλμ,Βενζίνη,898cc,90bhp,Αυτόματο,Γκρι,,Ύφασμα,2/2017,15ίντσες,86€,Άγνωστο,,,,3,2,3ημέρεςπριν,644,www.car.gr/330539997,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Euro6,,96g/km,,
Porsche,Cayenne,2004,Porsche Cayenne '04 Δώρο,PorscheCayenneΔώροΤΚ2023!!!!!!!!!!'04,323121691,17.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2004,70.000χλμ,Βενζίνη,4.400cc,280bhp,Αυτόματο,Μαύρο(Μεταλλικό),Άλλο,Δέρμα,4/2024,18ίντσες,,Μονό,1,4x4(4WD),10,5,5,3ημέρεςπριν,5824,www.car.gr/323121691,"2106528282,6955259259","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,
Audi,A3,2019,Audi A3 '19 Auto!stronic!cruise!Οθονη!Zάντες!Με,AudiA3Auto!stronic!cruise!Οθονη!Zάντες!ΜεΓραμμάτια!'19,328280446,24.898€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2019,118.990χλμ,Βενζίνη,1.498cc,150bhp,Αυτόματο,Μαύρο,,,,,,Μονό,,Προσθιοκίνητο(FWD),,5,5,3ημέρεςπριν,1348,www.car.gr/328280446,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Γραμμάτια δεκτά', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,
