brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Σύνολοκατόχων,Κλάσηρύπων,Τέληκυκλοφορίας,Παράδοσηστοσπίτι,Χρηματοδότηση,Τιμήπολύτεκνου
Chevrolet,Captiva,2008,Chevrolet Captiva '08 Ελληνικό Άριστο Book (7SEAT) Τελη,ChevroletCaptivaΕλληνικόΆριστοBook(7SEAT)Τελη23'08,333390636,6.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2008,89.000χλμ,Βενζίνη,2.398cc,150bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,,,17ίντσες,,Άγνωστο,,6,5,7,20ώρεςπριν,380,www.car.gr/333390636,"6908553944,2102810500","['Abs', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",1,,,,,
Opel,Astra,2017,Opel Astra '17 ΑΥΤΟΜΑΤΟ !!! Excellence !!!! ΑΡΙΣΤΟ,OpelAstraΑΥΤΟΜΑΤΟ!!!Excellence!!!!ΑΡΙΣΤΟ!!!'17,331439748,14.200€,Μεταχειρισμένο,Κόμπι/Kάραβαν,2/2017,180.000χλμ,Πετρέλαιο,1.598cc,136bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,,122g/km,17ίντσες,"4,80(Μικτό)λ/100χλμ",Άγνωστο,Προσθιοκίνητο(FWD),10,5,5,22ώρεςπριν,1191,www.car.gr/331439748,2310529054,"['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Απόσυρσης-δικαίωμα', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Επιταγές δεκτές', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Συναγερμός', '{Τηλέφωνο', '{value:c', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",1,Euro6,146€,,"180,83€/μήνα",€13.000
Suzuki,Jimny,2002,Suzuki Jimny,SuzukiJimny'02,334207365,6.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2002,234.040χλμ,Βενζίνη,1.328cc,82bhp,Χειροκίνητο,Ασημί,Μαύρο,Ύφασμα,,,15ίντσες,,Μονό,,,3,4,3ημέρεςπριν,291,www.car.gr/334207365,"6995653032,6937380337","['Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή']",1,,135€,,,
Toyota,Hilux,2016,Toyota Hilux '16 TORNADO 3.0cc 171HP,ToyotaHiluxTORNADO3.0cc171HPΧΕΙΡΟΚΙΝΗΤΟ!!!'16,334349184,27.900€,Μεταχειρισμένο,Αγροτικό/Pickup,1/2016,140.000χλμ,Πετρέλαιο,3.000cc,171bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,6/2025,,17ίντσες,,Άγνωστο,,8,4,5,16ώρεςπριν,2208,www.car.gr/334349184,6988113308,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1,Euro5,105€,,,
Renault,Kadjar,2015,Renault Kadjar '15 1.5 Auto-Leather-Navi,RenaultKadjar1.5Auto-Leather-Navi'15,332885612,17.250€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2015,141.280χλμ,Πετρέλαιο,1.500cc,110bhp,Αυτόματο,Ασπρο,Δίχρωμο,Δέρμα-ύφασμα,2/2025,,19ίντσες,,Άγνωστο,,6,5,5,1ώραπριν,1692,www.car.gr/332885612,"2102461891,6944942355","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,Euro6,,,,
Ford,Kuga,2018,Ford Kuga '18 TITANIUM !!! 1.5 TDCi,FordKugaTITANIUM!!!1.5TDCiΑΥΤΟΜΑΤΟ'18,324913817,23.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2018,160.000χλμ,Πετρέλαιο,1.499cc,120bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Δέρμα-ύφασμα,,124g/km,17ίντσες,"4,80(Μικτό)λ/100χλμ",Άγνωστο,Προσθιοκίνητο(FWD),8,5,5,22ώρεςπριν,3234,www.car.gr/324913817,2310529054,"['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Απόσυρσης-δικαίωμα', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Συναγερμός', '{Τηλέφωνο', '{value:c', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",1,Euro6,148€,,"292,89€/μήνα",€19.000
Mercedes-Benz,SLK200,2006,Mercedes-Benz SLK 200 '06 Ελληνικό,Mercedes-BenzSLK200ΕλληνικόΑριστο'06,328926522,10.900€,Μεταχειρισμένο,Κάμπριο/Roadster,11/2006,229.000χλμ,Βενζίνη,1.798cc,163bhp,Αυτόματο,Ασημί(Μεταλλικό),Δίχρωμο,Δέρμα,4/2023,,19ίντσες,,Άγνωστο,,6,2,2,20ώρεςπριν,4194,www.car.gr/328926522,"6908553944,2102810500","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Hardtop', '{Immobilizer', '{Parktronic', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα xenon']",,,,,,
Mercedes-Benz,C180,1999,Mercedes-Benz C 180 '99,Mercedes-BenzC180ESPRIT'99,333591655,1.200€,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/1999,270.500χλμ,Βενζίνη,1.800cc,122bhp,Χειροκίνητο,Μπλέ,,,,,,,Άγνωστο,,,5,5,22ώρεςπριν,1286,www.car.gr/333591655,"2810372387,6947252851",[],,,,,,
Nissan,Qashqai,2013,Nissan Qashqai '13,NissanQashqaiΒΕΝΖΙΝΗ+ΕΡΓΟΣΤ.ΑΕΡΙΟ/LPG*4Χ2*117PS*ΠΑΥΛΟΥ!'13,332914405,12.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2013,133.000χλμ,Αέριο(lpg)-βενζίνη,1.600cc,117bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δίχρωμο,Ύφασμα,5/2025,,16ίντσες,,Άγνωστο,Προσθιοκίνητο(FWD),8,5,5,10ώρεςπριν,1199,www.car.gr/332914405,"2221076908,6977887387","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Tv\\u002Fcamera', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Εισαγωγής', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,Euro5,160€,Ναι,,
Toyota,C-HR,2018,Toyota C-HR '18 Hybrid E-Cvt ΑΡΙΣΤΟ !!! FULL EXTRA,ToyotaC-HRHybridE-CvtΑΡΙΣΤΟ!!!FULLEXTRA'18,322545995,22.600€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2018,96.000χλμ,Υβριδικόβενζίνη,1.798cc,122bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,6/2022,86g/km,17ίντσες,,Ζυγό,Προσθιοκίνητο(FWD),9,5,5,22ώρεςπριν,8237,www.car.gr/322545995,2310529054,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1,Euro6d,0€,,"246,68€/μήνα",
Ford,Kuga,2017,Ford Kuga '17  1.5 TDCi ST LINE !!! ΕΛΛΗΝΙΚΗΣ,FordKuga1.5TDCiSTLINE!!!ΕΛΛΗΝΙΚΗΣΑΝΤΙΠΡΟΣΩΠΕΙΑΣ'17,318423519,22.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2017,93.000χλμ,Πετρέλαιο,1.499cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Alcantara,12/2022,124g/km,18ίντσες,"4,80(Μικτό)λ/100χλμ",Άγνωστο,Προσθιοκίνητο(FWD),8,5,5,22ώρεςπριν,7175,www.car.gr/318423519,2310529054,"['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Απόσυρσης-δικαίωμα', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",1,Euro6,112€,,"280,16€/μήνα",
Fiat,500L,2013,Fiat 500L '13 Twin air turbo Euro 6,Fiat500LTwinairturboEuro6εξαταχυτο'13,324709986,10.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2013,89.000χλμ,Βενζίνη,875cc,105bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Alcantara,6/2024,112g/km,15ίντσες,"5,70(Εντός)/4,30(Εκτός)/4,80(Μικτό)λ/100χλμ",Άγνωστο,,6,5,5,20ώρεςπριν,3967,www.car.gr/324709986,"6908553944,2102810500","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",1,Euro6,110€,Ναι,,
