brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Παράδοσηστοσπίτι,Kilowatt
Seat,Arona,2019,Seat Arona '19  1.0 TSI,SeatArona1.0TSIStyle'19,333967359,16.300€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2019,50.000χλμ,Βενζίνη,999cc,115bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Γκρι,Ύφασμα,9/2023,114g/km,Euro6,16ίντσες,112€,"6,70(Εντός)/4,50(Εκτός)/5,30(Μικτό)λ/100χλμ",Μονό,1,Προσθιοκίνητο(FWD),6,5,5,17ώρεςπριν,512,www.car.gr/333967359,6986566136,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,,,,,
Bmw,X3,2016,Bmw X3 '16 X-DRIVE/X-LINE/PANORAMA/FULL,BmwX3X-DRIVE/X-LINE/PANORAMA/FULLEXTRA'16,333391409,33.900€,"523,18€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2016,95.000χλμ,Πετρέλαιο,2.000cc,190bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,,136g/km,Euro6,18ίντσες,163€,,Μονό,,4x4(4WD),,5,5,4ώρεςπριν,55,www.car.gr/333391409,"2109690412,6945894545,6907793788","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,
Bmw,220ActiveTourer,2022,Bmw 220 Active Tourer '22 M,Bmw220ActiveTourerMSPORT'22,332999420,36.800€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2022,20.200χλμ,Υβριδικόβενζίνη,1.499cc,175bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Alcantara,,,,18ίντσες,,,Ζυγό,2,Προσθιοκίνητο(FWD),,5,5,2ώρεςπριν,5740,www.car.gr/332999420,6974306540,"['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Turbo', '{Tv\\u002Fcamera', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Φώτα led']",,,,,,
Mini,Countryman,2020,Mini Countryman '20 Cooper SE Hybrid Petr,MiniCountrymanCooperSEHybridPetrPanorama'20,331208868,39.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2020,30.800χλμ,Υβριδικόplug-inβενζίνη,1.499cc,220bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,10/2023,41g/km,Euro6d-temp,18ίντσες,0€,"3,50(Εντός)/3,80(Εκτός)/3,60(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,4ώρεςπριν,3030,www.car.gr/331208868,"6948835645,6972821014","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",53χλμ,6ώρες,1ώρες,90kwh,,
Opel,Agila,2011,Opel Agila '11 AUTOMATIC ! 5ΘΥΡΟ _ 83 Km Book Service,OpelAgilaAUTOMATIC!5ΘΥΡΟ_83KmBookService!'11,334258038,9.900€,"158,99€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2011,83.000χλμ,Βενζίνη,1.242cc,96bhp,Αυτόματο,Πράσινο(Μεταλλικό),,Ύφασμα,,,,15ίντσες,,"4,70(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,7ώρεςπριν,157,www.car.gr/334258038,"2102843056,2102843455","['Abs', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,
Bmw,440,2020,Bmw 440 '20 M440i coupe xDrive,Bmw440M440icoupexDrive'20,327407957,78.900€,"1.178,85€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,10/2020,32.860χλμ,Βενζίνη,2.998cc,385bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μπεζ,Δέρμα,10/2023,157g/km,Euro6d-temp,19ίντσες,290€,"8,50(Εντός)/9,50(Εκτός)/9(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),8,2,4,4ώρεςπριν,20984,www.car.gr/327407957,"6948835645,6972821014","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,
Bmw,225,2017,Bmw 225 '17 XE M Sport Panorama,Bmw225XEMSportPanorama'17,328355704,29.400€,,Μεταχειρισμένο,Αλλο,8/2017,59.300χλμ,Υβριδικόplug-inβενζίνη,1.496cc,224bhp,Αυτόματο,Ασπρο,Μαύρο,Δέρμα,3/2024,49g/km,Euro6c,18ίντσες,0€,"4,60(Εντός)/5(Εκτός)/4,80(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,4ώρεςπριν,2568,www.car.gr/328355704,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",42χλμ,6ώρες,1ώρες,90kwh,,
Mini,ONE,2015,Mini ONE '15 1200cc _84 Km Book Service Mini ! EURO,MiniONE1200cc_84KmBookServiceMini!EURO6'15,331649326,13.999€,"224,81€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2015,84.000χλμ,Βενζίνη,1.200cc,105bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,,Euro6,15ίντσες,,4(Μικτό)λ/100χλμ,Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,7ώρεςπριν,621,www.car.gr/331649326,"2102843056,2102843455","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,
Smart,ForFour,2020,Smart ForFour '20  electric drive,SmartForFourelectricdrivepanorama'20,331736608,19.200€,,Μεταχειρισμένο,Αλλο,2/2020,21.300χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2023,,,15ίντσες,,,Άγνωστο,1,,8,5,5,4ώρεςπριν,1811,www.car.gr/331736608,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα που στρίβουν']",150χλμ,6ώρες,1ώρες,61kwh,,61kw
Smart,ForTwo,2020,Smart ForTwo '20 Passion electric,SmartForTwoPassionelectric'20,330427315,17.700€,,Μεταχειρισμένο,Αλλο,10/2020,9.500χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Ασπρο,Δίχρωμο,Ύφασμα,10/2023,,,15ίντσες,,,Άγνωστο,1,Προσθιοκίνητο(FWD),4,3,2,4ώρεςπριν,1908,www.car.gr/330427315,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",150χλμ,6ώρες,1ώρες,61kwh,,61kw
Bmw,225XE,2017,Bmw 225XE '17 M Sport Panorama plug in,Bmw225XEMSportPanoramaplugin'17,326715564,28.900€,"431,80€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2017,52.000χλμ,Υβριδικόplug-inβενζίνη,1.499cc,224bhp,Αυτόματο,Ασπρο,Μαύρο,Δέρμα,9/2025,48g/km,Euro6c,18ίντσες,0€,"3,50(Εντός)/4(Εκτός)/3,80(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,4ώρεςπριν,7669,www.car.gr/326715564,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",42χλμ,6ώρες,1ώρες,81kwh,,
