brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Κίνηση,Χρηματοδότηση,Παράδοσηστοσπίτι,Leasing,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Bmw,520,2005,Bmw 520 '05 BMW 522i,Bmw520BMW522i180ps'05,24825054,18.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,2/2005,35.000χλμ,Βενζίνη,2.000cc,185bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,6/2021,16ίντσες,,Άγνωστο,1,7,5,5,10ώρεςπριν,22539,www.car.gr/24825054,6932430194,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Αισθητήρας βροχής', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,Euro4,,Πισωκίνητο(RWD),,Ναι,,,,,,
Bmw,X4,2014,Bmw X4 '14  xDrive20d xLine,BmwX4xDrive20dxLineFULL!!!'14,316577757,36.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2014,169.000χλμ,Πετρέλαιο,1.995cc,190bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα,4/2022,19ίντσες,164€,Άγνωστο,2,8,5,5,10ώρεςπριν,783,www.car.gr/316577757,6932430194,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Απόσυρσης-δικαίωμα', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",136g/km,Euro6,"6,80(Εντός)/5,10(Εκτός)/5,40(Μικτό)λ/100χλμ",4x4(4WD),,,,,,,,
Mini,CooperSD,2015,Mini Cooper SD '15 Πακέτο JCW,MiniCooperSDΠακέτοJCW'15,333162791,24.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2015,124.000χλμ,Πετρέλαιο,1.995cc,170bhp,Αυτόματο,Μπεζ(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,3/2024,17ίντσες,125€,Άγνωστο,1,8,3,4,10ώρεςπριν,387,www.car.gr/333162791,6932430194,"['Abs', 'Adaptive cruise control (acc)', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",130g/km,Euro6,"6,10(Εντός)/4,90(Εκτός)/5,50(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),,,,,,,,
Bmw,X2,2020,Bmw X2 '20 16D sDrive M,BmwX216DsDriveMSPORT'20,330787959,33.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2020,83.500χλμ,Πετρέλαιο,1.496cc,115bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Alcantara,5/2024,19ίντσες,87€,Άγνωστο,1,8,5,5,10ώρεςπριν,1120,www.car.gr/330787959,6932430194,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",135g/km,Euro6,"6,10(Εντός)/4,90(Εκτός)/5,40(Μικτό)λ/100χλμ",,,,,,,,,
Honda,Civic,1984,Honda Civic,HondaCivic'84,330283374,1.999€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/1984,90.000χλμ,Βενζίνη,1.200cc,70bhp,Χειροκίνητο,Γκρι,Γκρι,Alcantara,8/2024,13ίντσες,,Άγνωστο,1,,4,5,5ώρεςπριν,8002,www.car.gr/330283374,"6982893554,6982759952",[],,,"7(Εντός)/8(Εκτός)/7,50(Μικτό)λ/100χλμ",,,,,,,,,
Mercedes-Benz,Citan,2018,Mercedes-Benz Citan '18  Van extralong 111 CDI,Mercedes-BenzCitanVanextralong111CDIBlueEFF'18,333652200,14.000€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,12/2018,118.000χλμ,Πετρέλαιο,1.500cc,115bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,5/2025,15ίντσες,95€,Ζυγό,1,6,5,2,19λεπτάπριν,1869,www.car.gr/333652200,6976580632,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συρόμενες πόρτες χ2', 'Τιμή χωρίς φπα', 'Φώτα led']",,Euro6,"5(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",,,,,,,,,
Renault,Twingo,2015,Renault Twingo '15 GT LINE NAVI CAMERA,RenaultTwingoGTLINENAVICAMERACLIMA'15,326494992,9.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2015,123.500χλμ,Βενζίνη,898cc,90bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,12/2023,17ίντσες,89€,Άγνωστο,1,8,5,5,10ώρεςπριν,2114,www.car.gr/326494992,6932430194,"['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Επέκταση εγγύησης', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",99g/km,Euro6,"5,90(Εντός)/4,90(Εκτός)/5,50(Μικτό)λ/100χλμ",,"207,32€/μήνα",,,,,,,
Abarth,500,2015,Abarth 500 '15 Μοναδικό G-TECH,Abarth500ΜοναδικόG-TECH!!!!'15,329026746,14.998€,Μεταχειρισμένο,Κουπέ-Σπόρ,5/2015,74.800χλμ,Βενζίνη,1.368cc,145bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,5/2024,17ίντσες,,Άγνωστο,1,6,3,4,10ώρεςπριν,3761,www.car.gr/329026746,6932430194,"['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",154g/km,Euro6,"8,50(Εντός)/5,40(Εκτός)/6,50(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),"255,31€/μήνα",,,,,,,
Bmw,X6,2010,Bmw X6 '10 full extra navi panorama,BmwX6fullextranavipanorama'10,325209976,33.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2010,144.500χλμ,Βενζίνη,2.999cc,306bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Alcantara,1/2024,20ίντσες,900€,Άγνωστο,1,8,5,5,10ώρεςπριν,17599,www.car.gr/325209976,6932430194,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'value:b', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",236g/km,Euro4,"15,50(Εντός)/10,50(Εκτός)/12,80(Μικτό)λ/100χλμ",,"556,82€/μήνα",,1.000€/μήνα,,,,,
Mini,Cooper,2015,Mini Cooper '15 NAVI/PANORAMA/αυτοματο,MiniCooperNAVI/PANORAMA/αυτοματοπαρκαρισμα/Κάμερα'15,327943346,16.600€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2015,112.700χλμ,Βενζίνη,1.499cc,136bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,11/2024,17ίντσες,116€,Άγνωστο,,8,5,5,10ώρεςπριν,2345,www.car.gr/327943346,6932430194,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",107g/km,Euro6,"6,80(Εντός)/5,60(Εκτός)/6,40(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),"282,58€/μήνα",,,,,,,
Bmw,523,2007,Bmw 523 '07 NAVI PANORAMA,Bmw523NAVIPANORAMA'07,325021173,13.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,8/2007,96.000χλμ,Βενζίνη,2.498cc,180bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα,6/2024,16ίντσες,660€,Ζυγό,1,8,5,5,10ώρεςπριν,2868,www.car.gr/325021173,6932430194,"['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα xenon', '{Φώτα που στρίβουν']",1g/km,Euro4,"11,20(Εντός)/8(Εκτός)/8,90(Μικτό)λ/100χλμ",,,,,,,,,
Nissan,Micra,2017,Nissan Micra '17 Tekna full,NissanMicraTeknafullextra'17,326520162,11.599€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2017,82.000χλμ,Βενζίνη,999cc,75bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,10/2023,16ίντσες,90€,Άγνωστο,1,8,5,5,10ώρεςπριν,3307,www.car.gr/326520162,6932430194,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",103g/km,Euro6,"5,60(Εντός)/4,50(Εκτός)/4,90(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),"242,90€/μήνα",,,,,,,
Toyota,Auris,2011,Toyota Auris '11,ToyotaAurisDiesel'11,334501283,7.950€,Μεταχειρισμένο,Λιμουζίνα/Sedan,5/2011,121.000χλμ,Πετρέλαιο,1.365cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,,,,Άγνωστο,,8,5,5,22ώρεςπριν,113,www.car.gr/334501283,6980186341,"['Abs', 'Bluetooth', 'Cd player', 'Immobilizer', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,,
Opel,Agila,2008,Opel Agila '08  1.2,OpelAgila1.2Edition'08,334055655,5.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2008,115.000χλμ,Βενζίνη,1.242cc,86bhp,Χειροκίνητο,Μαύρο,,Ύφασμα,9/2023,15ίντσες,135€,Μονό,,,5,5,5ώρεςπριν,1345,www.car.gr/334055655,"6956642201,6977037870",[],,,,,,,,,,,,
Toyota,Celica,1991,"Toyota Celica '91 1,6","ToyotaCelica1,6STI'91",334497236,8.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/1991,298.000χλμ,Βενζίνη,1.600cc,105bhp,Χειροκίνητο,Κόκκινο,Μαύρο,Δερματίνη,1/2024,17ίντσες,,Ζυγό,,,3,4,5ώρεςπριν,364,www.car.gr/334497236,6946061592,"['Bucket καθίσματα', 'Cd player', 'Ηλεκτρικοί καθρέφτες']",,,"7,50(Εκτός)/λ/100χλμ",,,,,,,,,
Fiat,500,2014,Fiat 500 '14 S EDITION CABRIO Έγχρωμη,Fiat500SEDITIONCABRIOΈγχρωμηοθόνη'14,329608485,10.800€,Μεταχειρισμένο,Κάμπριο/Roadster,10/2014,103.000χλμ,Βενζίνη,875cc,105bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,11/2024,17ίντσες,98€,Άγνωστο,1,8,3,4,10ώρεςπριν,2766,www.car.gr/329608485,6932430194,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",117g/km,Euro6,"6,10(Εντός)/4,50(Εκτός)/5,10(Μικτό)λ/100χλμ",,"192,75€/μήνα",,,,,,,
Fiat,500,2014,Fiat 500 '14 SEDITION Έγχρωμη οθόνη,Fiat500SEDITIONΈγχρωμηοθόνη'14,332288588,9.700€,Μεταχειρισμένο,Κουπέ-Σπόρ,8/2014,107.000χλμ,Βενζίνη,875cc,85bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,1/2024,16ίντσες,89€,Άγνωστο,1,6,3,4,10ώρεςπριν,1157,www.car.gr/332288588,6932430194,"['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",92g/km,Euro6,"5,60(Εντός)/4,40(Εκτός)/5,10(Μικτό)λ/100χλμ",,"225,70€/μήνα",,,,,,,
Toyota,Hilux,2016,Toyota Hilux '16 TORNADO 3.0cc 171HP,ToyotaHiluxTORNADO3.0cc171HPΧΕΙΡΟΚΙΝΗΤΟ!!!'16,334349184,27.900€,Μεταχειρισμένο,Αγροτικό/Pickup,1/2016,140.000χλμ,Πετρέλαιο,3.000cc,171bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,6/2025,17ίντσες,105€,Άγνωστο,1,8,4,5,2ώρεςπριν,2258,www.car.gr/334349184,6988113308,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Euro5,,,,,,,,,,
Peugeot,208,2019,Peugeot 208 '19  1.2 PureTech 82,Peugeot2081.2PureTech82Active'19,333677238,11.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2019,100.000χλμ,Βενζίνη,1.199cc,83bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,6/2025,15ίντσες,85€,Άγνωστο,1,6,5,5,5ώρεςπριν,331,www.car.gr/333677238,"6985914331,6948044017","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Βιβλίο service', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",102g/km,Euro6c,"5,20(Εντός)/4,80(Εκτός)/5(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),,,,,,,,
Nissan,Micra,2020,Nissan Micra '20 N sport red,NissanMicraNsportred/ΔΕΡΜ.ALCANT/CLIMA'20,333268387,18.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2020,57.000χλμ,Βενζίνη,1.000cc,101bhp,Αυτόματο,Κόκκινοσκούρο(Μεταλλικό),Μαύρο,Alcantara,7/2025,17ίντσες,120€,Άγνωστο,1,8,4,5,23λεπτάπριν,1207,www.car.gr/333268387,"2102461538,6980488392,6989820739","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Cd player', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",105g/km,Euro6d-temp,"5(Εντός)/4,70(Εκτός)/4,80(Μικτό)λ/100χλμ",Προσθιοκίνητο(FWD),,,,,,,,
