brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρηματοδότηση,Κίνηση,Παράδοσηστοσπίτι
Mercedes-Benz,C200,2001,Mercedes-Benz C 200 '01  Compressor Elegance,Mercedes-BenzC200CompressorEleganceAutomatic'01,326220680,4.950€,Μεταχειρισμένο,Λιμουζίνα/Sedan,2/2001,220.000χλμ,Βενζίνη,1.998cc,163bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Δερματίνη,12/2023,,17ίντσες,,,,Ζυγό,3,,4,5,1ώραπριν,4662,www.car.gr/326220680,"6978332106,6957371886","['Abs', 'Bucket καθίσματα', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Πισωκίνητο(RWD),
Porsche,Cayenne,2008,Porsche Cayenne '08 3.6 290,PorscheCayenne3.6290PS'08,318604137,19.450€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2008,185.000χλμ,Βενζίνη,3.600cc,290bhp,Αυτόματο,Μαύρο(Μεταλλικό),Καφέ,Δέρμα,5/2022,,20ίντσες,,,,Μονό,2,,5,5,1ώραπριν,11289,www.car.gr/318604137,"6978332106,6957371886","['{Abs', '{Bucket καθίσματα', '{Cd player', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα xenon']",,4x4(4WD),
Volkswagen,Scirocco,2010,Volkswagen Scirocco '10 1.4 TSI 160,VolkswagenScirocco1.4TSI160PS'10,330963954,11.750€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2010,116.000χλμ,Βενζίνη,1.400cc,160bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μπεζ,Δέρμα,1/2024,,17ίντσες,Euro5,,,Μονό,1,,3,5,1ώραπριν,5174,www.car.gr/330963954,"6978332106,6957371886","['{Abs', '{Esp', '{Immobilizer', '{Turbo', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,
Audi,A4,2008,Audi A4 '08 1.8 TFSI 163 PS,AudiA41.8TFSI163PS'08,327750662,12.450€,Μεταχειρισμένο,Λιμουζίνα/Sedan,8/2008,72.500χλμ,Βενζίνη,1.800cc,163bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Καφέ,Δέρμα,9/2023,,16ίντσες,,,,Μονό,1,,5,5,1ώραπριν,13163,www.car.gr/327750662,"6978332106,6957371886","['Abs', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,
Citroen,C5,2001,Citroen C5 '01  1.8 16V,CitroenC51.816VAutomatic'01,330985785,3.950€,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2001,109.800χλμ,Βενζίνη,1.800cc,120bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μπεζ,Δέρμα,3/2024,,15ίντσες,,,,Μονό,1,,5,5,1ώραπριν,1833,www.car.gr/330985785,"6978332106,6957371886","['{Abs', '{Bucket καθίσματα', '{Immobilizer', '{Parktronic', '{Αερανάρτηση', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Συναγερμός', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,
Renault,Scenic,2005,Renault Scenic '05  2.0 16V,RenaultScenic2.016VPrivilège'05,331814393,3.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2005,130.000χλμ,Αέριο(lpg)-βενζίνη,2.000cc,135bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Δέρμα,11/2024,,17ίντσες,,,9(Εντός)/8(Εκτός)/8(Μικτό)λ/100χλμ,Ζυγό,,5,5,5,3ημέρεςπριν,654,www.car.gr/331814393,6936520210,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,
Volvo,XC40,2018,Volvo XC40 '18  D3,VolvoXC40D3Momentum'18,326940266,38.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2018,60.000χλμ,Πετρέλαιο,2.000cc,150bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,10/2023,132g/km,17ίντσες,Euro6,,,Ζυγό,,,5,5,1ώραπριν,4023,www.car.gr/326940266,"6978332106,6957371886","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,Προσθιοκίνητο(FWD),
Volvo,V60,2014,Volvo V60 '14 LIVSTYLE  DIESEL,VolvoV60LIVSTYLEDIESELD2'14,325473991,14.500€,Μεταχειρισμένο,Κόμπι/Kάραβαν,9/2014,98.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,8/2023,108g/km,16ίντσες,Euro5,,,Ζυγό,2,,5,5,1ώραπριν,4798,www.car.gr/325473991,"6978332106,6957371886","['Abs', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeep,Cherokee,2007,Jeep Cherokee '07 3.7 204 PS,JeepCherokee3.7204PS'07,334072455,7.750€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2007,96.500χλμ,Βενζίνη,3.700cc,204bhp,Αυτόματο,Πράσινοσκούρο(Μεταλλικό),Μπεζ,Ύφασμα,3/2025,,16ίντσες,,,,Μονό,1,,5,5,1ώραπριν,272,www.car.gr/334072455,"6978332106,6957371886","['{Abs', '{Bucket καθίσματα', '{Cd player', '{Esp', '{Immobilizer', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Προβολείς ομίχλης', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,4x4(4WD),
Audi,Q5,2009,Audi Q5 '09  2.0 TFSI  QUATTRO,AudiQ52.0TFSIQUATTROMANUAL'09,333057236,14.950€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2009,168.000χλμ,Βενζίνη,2.000cc,211bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,2/2024,,17ίντσες,Euro5,,,Ζυγό,,,5,5,1ώραπριν,1027,www.car.gr/333057236,"6978332106,6957371886","['{Abs', '{Bucket καθίσματα', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,4x4(4WD),
Nissan,Primera,2004,Nissan Primera '04 1.6  110 PS,NissanPrimera1.6110PSMOTIVA'04,334150350,3.950€,Μεταχειρισμένο,Λιμουζίνα/Sedan,6/2004,214.000χλμ,Βενζίνη,1.699cc,110bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Γκρι,Ύφασμα,5/2023,,16ίντσες,,,,Ζυγό,,,5,5,1ώραπριν,145,www.car.gr/334150350,"6978332106,6957371886","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Immobilizer', '{Parktronic', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Προβολείς ομίχλης', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,
Mini,CooperD,2017,Mini Cooper D,MiniCooperD'17,332475574,16.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,5/2017,120.000χλμ,Πετρέλαιο,1.500cc,116bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,6/2024,,16ίντσες,Euro6,,,Ζυγό,1,,3,5,1ώραπριν,160,www.car.gr/332475574,"6978332106,6957371886","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Usb', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,Προσθιοκίνητο(FWD),
Mini,JohnCooperWorks,2019,Mini John Cooper Works '19 CLUBMAN,MiniJohnCooperWorksCLUBMANALL4'19,331999306,33.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2019,73.000χλμ,Βενζίνη,2.000cc,231bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,1/2025,,19ίντσες,,,,Ζυγό,1,,5,6,1ώραπριν,1181,www.car.gr/331999306,"6978332106,6957371886","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon']",,4x4(4WD),
Ford,Fusion,2007,Ford Fusion,FordFusion'07,334511125,3.500€,Μεταχειρισμένο,Κόμπι/Kάραβαν,1/2007,1χλμ,Πετρέλαιο,1.399cc,68bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δίχρωμο,Ύφασμα,,,17ίντσες,,,,Άγνωστο,,4,5,4,13ώρεςπριν,137,www.car.gr/334511125,"2541301826,6909195947,6909195947","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης']",,,
Mercedes-Benz,GLA250,2014,Mercedes-Benz GLA 250 '14  Urban 4MATIC 7G-DCT,Mercedes-BenzGLA250Urban4MATIC7G-DCT'14,333363300,27.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2014,97.760χλμ,Βενζίνη,1.991cc,211bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,2/2024,150g/km,18ίντσες,Euro6,285€,,Ζυγό,2,8,5,5,3ώρεςπριν,3059,www.car.gr/333363300,"6972184507,2107010839","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,4x4(4WD),
