brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατηγορία,Χρονολογία,Καύσιμο,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Πινακίδα,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατάσταση,Χιλιόμετρα,Κυβικά,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Σύνολοκατόχων,Κτέομέχρι,Χρώμαεσωτερικού,Ρύποι(co2),Κλάσηρύπων,Κίνηση,Παράδοσηστοσπίτι
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmw,X1,2016,Bmw X1 '16  xDrive-18d-Steptronic-4x4,BmwX1xDrive-18d-Steptronic-4x4'16,331137473,24.900€,"480,35€/μήνα",4χ4/Τζιπ/Suv,5/2016,Πετρέλαιο,,,,,150bhp,Αυτόματο,Ασημί(Μεταλλικό),Δέρμα,Ζυγό,,5,5,1ημέραπριν,1766,www.car.gr/331137473,"2109960860,2109911001","['Abs', 'Adaptive cruise control (acc)', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μεταχειρισμένο,79.000χλμ,1.995cc,17ίντσες,,,,,Μαύρο,124g/km,,4x4(4WD),
Ford,Focus,2020,Ford Focus '20  1.5 ST-Line X,FordFocus1.5ST-LineXAutomatic'20,333002061,24.900€,,Κόμπι/Kάραβαν,4/2020,Βενζίνη,,,,,188bhp,Αυτόματο,Μπορντό(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,13ώρεςπριν,3316,www.car.gr/333002061,"6946994457,2310631122,6946994457","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Μεταχειρισμένο,119.000χλμ,1.500cc,18ίντσες,,,1,,Μαύρο,,,,
Opel,Astra,2007,Opel Astra '07 OPC ΓΝΗΣΙΟ,OpelAstraOPCΓΝΗΣΙΟ'07,325037661,10.000€,,Κόμπακτ/Hatchback,7/2007,Βενζίνη,,,,,240bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δέρμα-ύφασμα,Ζυγό,6,3,5,13ώρεςπριν,12661,www.car.gr/325037661,"6946994457,2310631122,6946994457","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Αερανάρτηση', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,145.000χλμ,1.997cc,19ίντσες,,"10(Εντός)/9,20(Μικτό)λ/100χλμ",1,1/2023,Μαύρο,,,,
Mercedes-Benz,E200,2004,Mercedes-Benz E 200 '04 E 200 CLASSIC,"Mercedes-BenzE200E200CLASSICΑυτόματο,Αέριο'04",36149511,10.000€,,Λιμουζίνα/Sedan,1/2004,Αέριο(lpg)-βενζίνη,,,,,160bhp,Αυτόματο,Μαύρο,Δέρμα,Ζυγό,,4,5,1ημέραπριν,1556,www.car.gr/36149511,6945109995,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",Μεταχειρισμένο,162.000χλμ,1.800cc,,,,,,Γκρι,,,,
Opel,Corsa,2012,Opel Corsa '12 EDITION DIESEL CLIMA-START STOP,OpelCorsaEDITIONDIESELCLIMA-STARTSTOPΕΛΛΗΝΙΚΟ!!!'12,333378198,7.700€,,Κόμπακτ/Hatchback,1/2012,Πετρέλαιο,,,,,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δέρμα-ύφασμα,Ζυγό,8,5,5,24ώρεςπριν,16,www.car.gr/333378198,6973277368,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μεταχειρισμένο,175.000χλμ,1.248cc,15ίντσες,85€,,,,,,,,
Seat,Leon,2017,Seat Leon '17 1.0 TSI Style Business - Αυτόματο - 116,SeatLeon1.0TSIStyleBusiness-Αυτόματο-116hp'17,331265790,14.850€,"391,67€/μήνα",Κόμπι/Kάραβαν,10/2017,Βενζίνη,,,,,116bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δέρμα-ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,2928,www.car.gr/331265790,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,211χλμ,1.000cc,17ίντσες,0€,4(Εντός)/4(Εκτός)/4(Μικτό)λ/100χλμ,1,4/2024,Γκρι,125g/km,Euro6,Προσθιοκίνητο(FWD),Ναι
Ford,Focus,2018,Ford Focus '18 1.5 TDCI Business - Ντίζελ - Αυτόματο - 120,FordFocus1.5TDCIBusiness-Ντίζελ-Αυτόματο-120hp'18,331265592,13.680€,"360,81€/μήνα",Κόμπι/Kάραβαν,10/2018,Πετρέλαιο,,,,,120bhp,Αυτόματο,Γκρι(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,1451,www.car.gr/331265592,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,158.000χλμ,1.500cc,16ίντσες,0€,4(Εντός)/4(Εκτός)/4(Μικτό)λ/100χλμ,1,4/2024,Γκρι,99g/km,Euro6,Προσθιοκίνητο(FWD),Ναι
Toyota,Yaris,2017,Toyota Yaris '17 1.5L HYBRID,ToyotaYaris1.5LHYBRIDNAVI'17,323246257,15.499€,"408,78€/μήνα",Κόμπακτ/Hatchback,10/2017,Υβριδικόβενζίνη,,,,,105bhp,Αυτόματο,Ασημί(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,833,www.car.gr/323246257,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,169χλμ,1.500cc,15ίντσες,0€,"3,50(Εντός)/3,50(Εκτός)/3,50(Μικτό)λ/100χλμ",1,10/2022,Γκρι,95g/km,Euro6,Προσθιοκίνητο(FWD),
Toyota,Yaris,2013,Toyota Yaris '13 Navi 1.5l,ToyotaYarisNavi1.5lHybrid'13,322426798,12.499€,"329,66€/μήνα",Κόμπακτ/Hatchback,10/2013,Υβριδικόβενζίνη,,,,,105bhp,Αυτόματο,Ασπρο(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,1190,www.car.gr/322426798,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,160.000χλμ,1.500cc,16ίντσες,0€,4(Εντός)/4(Εκτός)/4(Μικτό)λ/100χλμ,1,4/2024,Γκρι,98g/km,Euro6,Προσθιοκίνητο(FWD),Ναι
Volkswagen,Golf,2015,Volkswagen Golf,VolkswagenGolf'15,323549934,14.500€,,Κόμπακτ/Hatchback,1/2015,Πετρέλαιο,,,,,116bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Ύφασμα,Ζυγό,7,5,5,4ώρεςπριν,25,www.car.gr/323549934,"2170002658,6970151950","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,115.000χλμ,1.600cc,16ίντσες,85€,,1,5/2023,Μπεζ,99g/km,Euro5,,
