brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κίνηση,Ρύποι(co2),Τέληκυκλοφορίας,Κλάσηρύπων,Τιμήπολύτεκνου,Κατανάλωση
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331494399,15.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2017,160.500χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,2/2025,16ίντσες,Μονό,,8,4,5,14ώρεςπριν,878,www.car.gr/331494399,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Προσθιοκίνητο(FWD),105g/km,103€,Euro6,,
Opel,Astra,2019,"Opel Astra '19 120 YEARS 1,6 DIESEL","OpelAstra120YEARS1,6DIESELΕΛΛΗΝΙΚΟ'19",331491925,12.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2019,191.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,16ίντσες,Μονό,,6,5,5,14ώρεςπριν,1325,www.car.gr/331491925,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,115g/km,,,,
Toyota,Yaris,2018,Toyota Yaris '18 1.4 D-4D ΕΛΛΗΝΙΚΟ,ToyotaYaris1.4D-4DΕΛΛΗΝΙΚΟ5D'18,329635924,10.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2018,238.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,,Ζυγό,,6,5,5,14ώρεςπριν,2083,www.car.gr/329635924,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Turbo', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,91g/km,,,,
Fiat,Sedici,2007,"Fiat Sedici '07 1,6","FiatSedici1,64X4'07",326632979,6.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2007,112.900χλμ,Βενζίνη,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Ύφασμα,,16ίντσες,Ζυγό,,6,5,5,14ώρεςπριν,5162,www.car.gr/326632979,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Tcs - asr', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",4x4(4WD),,,,,
Hyundai,i10,2014,Hyundai i 10 '14  1.2 FIFA World Cup,Hyundaii101.2FIFAWorldCupEdition'14,334482213,9.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2014,125.000χλμ,Βενζίνη,1.250cc,87bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),Δίχρωμο,Ύφασμα,6/2025,15ίντσες,Άγνωστο,1,6,5,5,11ώρεςπριν,179,www.car.gr/334482213,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Προσθιοκίνητο(FWD),,,,,
Volkswagen,Polo,2017,"Volkswagen Polo '17 Volkswagen Polo '17 1,4 tdi Bluemotion","VolkswagenPoloVolkswagenPolo'171,4tdiBluemotionΕλληνικο'17",334049996,9.490€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2017,182.000χλμ,Πετρέλαιο,1.400cc,75bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,,,Μονό,,4,5,5,14ώρεςπριν,243,www.car.gr/334049996,2105690550,"['Abs', 'Bluetooth', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,100g/km,,Euro6,,
Volkswagen,Golf,2019,Volkswagen Golf '19 1.6 TDI COMFORT,VolkswagenGolf1.6TDICOMFORTΕΛΛΗΝΙΚΟ'19,333626070,15.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2019,160.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,16ίντσες,Ζυγό,,6,5,5,14ώρεςπριν,446,www.car.gr/333626070,2105690550,"['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,109g/km,,,,
Opel,Corsa,2018,Opel Corsa '18  1.3 DIESEL ΕΛΛΗΝΙΚΟ ΟΘΟΝΗ,OpelCorsa1.3DIESELΕΛΛΗΝΙΚΟΟΘΟΝΗΖΑΝΤΕΣ'18,332800713,9.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2018,216.000χλμ,Πετρέλαιο,1.248cc,95bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,10/2024,15ίντσες,Ζυγό,,6,5,5,14ώρεςπριν,210,www.car.gr/332800713,2105690550,"['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,94g/km,,Euro6,,
Fiat,Panda,2018,Fiat Panda '18  1.2 LOUNGE,FiatPanda1.2LOUNGEΕΛΛΗΝΙΚΟ'18,333326788,9.200€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2018,215.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,,Μονό,,4,5,5,14ώρεςπριν,157,www.car.gr/333326788,2105690550,"['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Tcs - asr', 'Turbo', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,94g/km,,,,
Opel,Astra,2019,Opel Astra '19 120 YEARS 1400 150HP,OpelAstra120YEARS1400150HPΕΛΛΗΝΙΚΟ'19,331966500,15.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2019,59.000χλμ,Βενζίνη,1.400cc,150bhp,Χειροκίνητο,Μπλεσκούρο,Γκρι,Ύφασμα,,16ίντσες,Ζυγό,,6,5,5,14ώρεςπριν,2380,www.car.gr/331966500,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,125g/km,,,,
Hyundai,i20,2015,Hyundai i 20 '15 Active,Hyundaii20Active'15,333147488,8.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,178.000χλμ,Πετρέλαιο,1.120cc,75bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,,Ζυγό,,,5,5,14ώρεςπριν,527,www.car.gr/333147488,2105690550,"['Abs', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,97g/km,,,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331846922,16.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2017,125.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,16ίντσες,Ζυγό,,8,4,5,14ώρεςπριν,1555,www.car.gr/331846922,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Προσθιοκίνητο(FWD),105g/km,103€,Euro6,,
Bmw,316,1997,Bmw 316 '97 COUPE SUNROOF M-PACK LPG,Bmw316COUPESUNROOFM-PACKLPGA/C'97,332800555,4.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/1997,390χλμ,Αέριο(lpg)-βενζίνη,1.800cc,140bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Γκρι,Δερματίνη,,18ίντσες,Μονό,,,2,4,14ώρεςπριν,3913,www.car.gr/332800555,2105690550,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι']",,,,,,
