brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Κίνηση,Αερόσακοι,Τιμήπολύτεκνου,Χρηματοδότηση
Fiat,Fiorino,2017,Fiat Fiorino '17 euro 6 disel VAN,FiatFiorinoeuro6diselVANFORTIGAKI'17,334206481,7.800€,Μεταχειρισμένο,Van/MiniBus,1/2017,97.000χλμ,Πετρέλαιο,1.300cc,100bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,5,2,1ημέραπριν,46,www.car.gr/334206481,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,
Fiat,GrandePunto,2009,Fiat Grande Punto '09,"FiatGrandePuntoΑΡΙΣΤΟ,Aytomatic,'09",333355519,6.700€,Μεταχειρισμένο,Κουπέ-Σπόρ,3/2009,148.000χλμ,Βενζίνη,1.400cc,80bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2025,14ίντσες,,Άγνωστο,2,5,5,10ώρεςπριν,1163,www.car.gr/333355519,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,Προσθιοκίνητο(FWD),6,,
Toyota,Yaris,2018,Toyota Yaris '18 1400CC DISEI EURO,ToyotaYaris1400CCDISEIEURO6'18,334206372,11.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2018,101.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,5,5,1ημέραπριν,125,www.car.gr/334206372,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Jeep,Compass,2021,Jeep Compass '21 MY21 NEO  Longitude,JeepCompassMY21NEOLongitude'21,323172956,31.400€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2021,18.000χλμ,Βενζίνη,1.300cc,130bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,,,17ίντσες,,Ζυγό,1,5,5,1ώραπριν,297,www.car.gr/323172956,6984159658,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,Προσθιοκίνητο(FWD),,,
Fiat,Punto,2004,Fiat Punto,FiatPunto'04,334474458,3.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2004,220.000χλμ,Βενζίνη,1.200cc,80bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,,Άγνωστο,,5,5,3ώρεςπριν,28,www.car.gr/334474458,6946991699,"['Abs', 'Cd player', 'Immobilizer', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",,,,,,,
Opel,Corsa,2016,Opel Corsa '16 DISEL EURO,OpelCorsaDISELEURO6'16,334206340,9.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2016,137.000χλμ,Πετρέλαιο,1.300cc,80bhp,Χειροκίνητο,Ασπρο,,,,,,Άγνωστο,,5,5,1ημέραπριν,54,www.car.gr/334206340,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Citroen,C3,2019,Citroen C3 '19 EURO 6,CitroenC3EURO6AFTOMATO'19,334059735,15.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2019,80.000χλμ,Βενζίνη,1.200cc,110bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,,,,,Άγνωστο,,5,4,1ημέραπριν,174,www.car.gr/334059735,"2310675675,2310675000,6972916086","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Opel,Meriva,2015,Opel Meriva '15 1.6 CDTI DPF Cosmo Full,OpelMeriva1.6CDTIDPFCosmoFullextra'15,331992357,11.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2015,128.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,3/2025,16ίντσες,,Άγνωστο,1,5,5,10ώρεςπριν,499,www.car.gr/331992357,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,,,8,,
Toyota,Yaris,2019,Toyota Yaris '19 EURO 6 FULL,ToyotaYarisEURO6FULLEXTRA'19,334059828,15.300€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2019,70.000χλμ,Υβριδικόβενζίνη,1.500cc,100bhp,Αυτόματο,Ασπρο,,,,,,Άγνωστο,,5,4,1ημέραπριν,232,www.car.gr/334059828,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Ford,Fiesta,2017,"Ford Fiesta '17  1.25 Ambiente,ΣΑΝ","FordFiesta1.25Ambiente,ΣΑΝΚΑΙΝΟΥΡΓΙΟ'17",333462482,8.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2017,99.200χλμ,Βενζίνη,1.250cc,70bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Ύφασμα,5/2025,15ίντσες,,Άγνωστο,1,3,5,10ώρεςπριν,1472,www.car.gr/333462482,"6936277350,2104316863,6936277350","['Abs', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,Euro6,,Προσθιοκίνητο(FWD),6,,
Toyota,Yaris,2011,Toyota Yaris '11 1.33 Dual VVT-i,ToyotaYaris1.33DualVVT-iAytomatic'11,333982030,9.200€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2011,127.000χλμ,Βενζίνη,1.300cc,100bhp,Αυτόματο,Γαλάζιο(Μεταλλικό),Γκρι,Ύφασμα,5/2025,15ίντσες,,Άγνωστο,1,5,5,10ώρεςπριν,1075,www.car.gr/333982030,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,Προσθιοκίνητο(FWD),6,,
Smart,ForTwo,2005,Smart ForTwo '05,SmartForTwo450'05,334498207,3.800€,Μεταχειρισμένο,Κάμπριο/Roadster,1/2005,114.000χλμ,Βενζίνη,700cc,80bhp,Αυτόματο,Γκρι(Μεταλλικό),Κόκκινο,Δερματίνη,12/2024,16ίντσες,55€,Άγνωστο,1,2,2,1ημέραπριν,60,www.car.gr/334498207,6981688246,"['Cd player', 'Turbo', 'Usb', 'Ανταλλαγή με μοτο', 'Οροφή πανοραμική']",,,,,2,,
Seat,Ibiza,2015,Seat Ibiza '15 Face lift 1200,SeatIbizaFacelift1200CC'15,332806631,7.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2015,164.000χλμ,Βενζίνη,1.200cc,80bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,,,,,Άγνωστο,,5,5,1ημέραπριν,827,www.car.gr/332806631,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Usb', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,
Hyundai,i10,2016,Hyundai i 10 '16,"Hyundaii10Benzin-lpg,ΑΡΙΣΤΟ,'16",333301368,9.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2016,117.000χλμ,Αέριο(lpg)-βενζίνη,1.000cc,75bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δίχρωμο,Ύφασμα,5/2025,14ίντσες,,Άγνωστο,1,5,5,10ώρεςπριν,537,www.car.gr/333301368,"6936277350,2104316863,6936277350","['Abs', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,Euro6,,,6,,
