brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση,Τιμήπολύτεκνου,Χρηματοδότηση,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Παράδοσηστοσπίτι
Opel,Corsa,2019,Opel Corsa '19  1.4 Turbo ecoFlex Innovation,OpelCorsa1.4TurboecoFlexInnovation'19,331049429,13.490€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2019,64.477χλμ,Βενζίνη,1.400cc,100bhp,Χειροκίνητο,Ασπρο,Μονό,5,5,14ώρεςπριν,1619,www.car.gr/331049429,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,,,16ίντσες,1,,6,128g/km,,,,,,,,,
Toyota,Yaris,2007,Toyota Yaris '07,ToyotaYarisΑΥΤΟΜΑΤΟ'07,332407951,7.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2007,155.000χλμ,Πετρέλαιο,1.400cc,90bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μονό,3,5,14ώρεςπριν,2023,www.car.gr/332407951,2105690550,"['Abs', 'Android auto', 'Bluetooth', 'Navigation - gps', 'Parktronic', 'Turbo', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",Γκρι,Ύφασμα,2/2025,,,,,6,119g/km,,,,,,,,,
Kia,Sportage,2017,Kia Sportage '17 CRDI,"KiaSportageCRDIUPGRADE,Navi,ΚΑΜΕΡΑ,'17",333293617,18.700€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2017,144.000χλμ,Πετρέλαιο,1.700cc,120bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Άγνωστο,5,5,10ώρεςπριν,1172,www.car.gr/333293617,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Δίχρωμο,Ύφασμα,5/2025,Euro6,17ίντσες,1,,8,,,,,,,,,,
Hyundai,i30,2018,"Hyundai i 30 '18 1,6 CRDI ACTIVE ΕΛΛΗΝΙΚΟ","Hyundaii301,6CRDIACTIVEΕΛΛΗΝΙΚΟ'18",331790097,13.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2018,155.000χλμ,Πετρέλαιο,1.600cc,95bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μονό,5,5,14ώρεςπριν,2313,www.car.gr/331790097,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,,,16ίντσες,,,6,98g/km,88€,,,,,,,,
Volkswagen,Caddy,2017,"Volkswagen Caddy '17 Highline 2,0tdi 150hp","VolkswagenCaddyHighline2,0tdi150hp6speed'17",330719923,17.500€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,5/2017,125.000χλμ,Πετρέλαιο,2.000cc,150bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Ζυγό,5,2,14ώρεςπριν,1984,www.car.gr/330719923,2105690550,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Navigation - gps', 'Turbo', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συρόμενη πόρτα δεξιά', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,,,16ίντσες,,Προσθιοκίνητο(FWD),4,130g/km,,,,,,,,,
Citroen,C1,2017,Citroen C1 '17  Airscape VTi 72 Urban Ride ΑΥΤΟΜΑΤΟ,CitroenC1AirscapeVTi72UrbanRideΑΥΤΟΜΑΤΟΕΛΛΗΝΙΚΟ'17,331966892,12.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2017,62.000χλμ,Βενζίνη,1.000cc,72bhp,Αυτόματο,Ασπρο,Μονό,5,4,14ώρεςπριν,715,www.car.gr/331966892,2105690550,"['Abs', 'Bluetooth', 'Esp', 'Immobilizer', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,,,,,,6,97g/km,,,,,,,,,
Skoda,Octavia,2018,Skoda Octavia '18 Ambition 1.6 TDI,SkodaOctaviaAmbition1.6TDIΕλληνικο'18,331727951,15.900€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2018,175.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μονό,5,5,14ώρεςπριν,1004,www.car.gr/331727951,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,Ύφασμα,,Euro6,16ίντσες,,,6,106g/km,104€,,,,,,,,
AlfaRomeo,Giulietta,2012,"Alfa Romeo Giulietta '12 1,6jTD VELOCE","AlfaRomeoGiulietta1,6jTDVELOCEΕΛΛΗΝΙΚΟ'12",331848666,12.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2012,103.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Ασπρο,Ζυγό,5,5,14ώρεςπριν,1751,www.car.gr/331848666,2105690550,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μαύρο,Δέρμα-ύφασμα,,,17ίντσες,,,6,114g/km,112€,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,X-Trail,2004,Nissan X-Trail,NissanX-Trail'04,330971834,6.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2004,215.000χλμ,Αέριο(lpg)-βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μαύρο,Μονό,5,5,14ώρεςπριν,3574,www.car.gr/330971834,2105690550,"['Abs', 'Cd player', 'Cruise control', 'Immobilizer', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Δίχρωμο,Δέρμα-ύφασμα,,,16ίντσες,,4x4(4WD),,,,,,,,,,,
Opel,Astra,2010,Opel Astra '10 1.6 TURBO COSMO SUNROOF 480,OpelAstra1.6TURBOCOSMOSUNROOF480HP'10,30752676,12.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2010,84.000χλμ,Βενζίνη,1.600cc,480bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ζυγό,5,5,14ώρεςπριν,5741,www.car.gr/30752676,2105690550,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Γκρι,Δέρμα-ύφασμα,,,18ίντσες,1,Προσθιοκίνητο(FWD),6,,,,,,,,,,
Peugeot,208,2015,Peugeot 208 '15 1.4 DIESEL ΕΛΛΗΝΙΚΟ ΟΘΟΝΗ,Peugeot2081.4DIESELΕΛΛΗΝΙΚΟΟΘΟΝΗTFT'15,330754656,7.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,186.000χλμ,Πετρέλαιο,1.400cc,70bhp,Χειροκίνητο,Ασπρο,Μονό,5,5,14ώρεςπριν,836,www.car.gr/330754656,2105690550,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Γκρι,Ύφασμα,,,,,Προσθιοκίνητο(FWD),6,,,,,,,,,,
Bmw,Z4,2003,Bmw Z4 '03 E85,BmwZ4E85'03,330290637,9.500€,Μεταχειρισμένο,Κάμπριο/Roadster,8/2003,180.000χλμ,Βενζίνη,2.500cc,192bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μονό,2,2,14ώρεςπριν,1432,www.car.gr/330290637,2105690550,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Navigation - gps', 'Tcs - asr', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,Δέρμα,,,18ίντσες,,,4,,,,,,,,,,
